Afghanistan,"Sunni Muslim 80%, Shia Muslim 19%, other 1%"
Barbados,"Protestant 66.3% (includes Anglican 23.9%, other Pentecostal 19.5%, Adventist 5.9%, Methodist 4.2%, Wesleyan 3.4%, Nazarene 3.2%, Church of God 2.4%, Baptist 1.8%, Moravian 1.2%, other Protestant .8%), Roman Catholic 3.8%, other Christian 5.4% (includes Jehovah's Witness 2.0%, other 3.4%), Rastafarian 1%, other 1.5%, none 20.6%, unspecified 1.2% (2010 est.)"
Belarus,"Eastern Orthodox 80%, other (including Roman Catholic, Protestant, Jewish, and Muslim) 20% (1997 est.)"
Belgium,"Roman Catholic 75%, other (includes Protestant) 25%"
Belize,"Roman Catholic 39.3%, Pentacostal 8.3%, Seventh Day Adventist 5.3%, Anglican 4.5%, Mennonite 3.7%, Baptist 3.5%, Methodist 2.8%, Nazarene 2.8%, Jehovah's Witnesses 1.6%, other 9.9% (includes Baha'i Faith, Buddhism, Hinduism, Islam, and Mormon), other (unknown) 3.1%, none 15.2% (2010 census)"
Benin,"Catholic 27.1%, Muslim 24.4%, Vodoun 17.3%, Protestant 10.4% (Celestial 5%, Methodist 3.2%, other Protestant 2.2%), other Christian 5.3%, other 15.5% (2002 census)"
Bermuda,"Protestant 46.1% (Anglican 15.8%, African Methodist Episcopal 8.6%, Seventh Day Adventist 6.7, Pentecostal 3.5%, Methodist 2.7%, Presbyterian 2.0 %, Church of God 1.6%, Baptist 1.2%, Salvation Army 1.1%, Bretheren 1.0%, other Protestant 2.0%), Roman Catholic 14.5%, Jehovah's Witness 1.3%, other Christian 9.1%, Muslim 1%, other 3.9%, none 17.8%, unspecified 6.2% (2010 est.)"
Bhutan,"Lamaistic Buddhist 75.3%, Indian- and Nepalese-influenced Hinduism 22.1%, other 2.6% (2005 est.)"
Bolivia,"Roman Catholic 95%, Protestant (Evangelical Methodist) 5%"
Bosnia and Herzegovina,"Muslim 40%, Orthodox 31%, Roman Catholic 15%, other 14%"
Botswana,"Christian 71.6%, Badimo 6%, other 1.4%, unspecified 0.4%, none 20.6% (2001 census)"
Brazil,"Roman Catholic 64.6%, other Catholic 0.4%, Protestant 22.2% (includes Adventist 6.5%, Assembly of God 2.0%, Christian Congregation of Brazil 1.2%, Universal Kingdom of God 1.0%, other Protestant 11.5%), other Christian 0.7%, Spiritist 2.2%, other 1.4%, none 8%, unspecified 0.4% (2010 est.)"
British Virgin Islands,"Protestant 84% (Methodist 33%, Anglican 17%, Church of God 9%, Seventh-Day Adventist 6%, Baptist 4%, other 15%), Roman Catholic 10%, Jehovah's Witnesses 2%, other 2%, none 2% (1991)"
Brunei,"Muslim (official) 78.8%, Christian 8.7%, Buddhist 7.8%, other (includes indigenous beliefs) 4.7% (2011 est.)"
Bulgaria,"Eastern Orthodox 59.4%, Muslim 7.8%, other (including Catholic, Protestant, Armenian Apostolic Orthodox, and Jewish) 1.7%, none 3.7%, unspecified 27.4% (2011 est.)"
Burkina Faso,"Muslim 60.5%, Catholic 19%, animist 15.3%, Protestant 4.2%, other 0.6%, none 0.4% (2006 est.)"
Burma,"Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, Animist 1%, other 2%"
Burundi,"Catholic 62.1%, Protestant 23.9% (includes Adventist 2.3% and other Protestant 21.6%), Muslim 2.5%, other 3.6%, unspecified 7.9% (2008 est.)"
Cabo Verde,"Roman Catholic 77.3%, Protestant 3.7% (includes Church of the Nazarene 1.7%, Adventist 1.5%, Universal Kingdom of God .4%, and God and Love .1%), other Christian 4.3% (includes Christian Rationalism 1.9%, Jehovah's Witness 1%, Assembly of God .9%, and New Apostolic .5%), Muslim 1.8%, other 1.3%, none 10.8%, unspecified 0.7% (2010 est.)"
Cambodia,"Buddhist (official) 96.9%, Muslim 1.9%, Christian 0.4%, other 0.8% (2008 est.)"
Cameroon,"indigenous beliefs 40%, Christian 40%, Muslim 20%"
Canada,"Catholic 40.6% (includes Roman Catholic 38.8%, Orthodox 1.6%, other Catholic .2%), Protestant 20.3% (includes United Church 6.1%, Anglican 5%, Baptist 1.9%, Lutheran 1.5%, Pentecostal 1.5%, Presbyterian 1.4%, other Protestant 2.9%), other Christian 6.3%, Muslim 3.2%, Hindu 1.5%, Sikh 1.4%, Buddhist 1.1%, Jewish 1%, other 0.6%, none 23.9% (2011 est.)"
Cayman Islands,"Protestant 67.8% (includes Church of God 22.6%, Seventh Day Adventist 9.4%, Presbyterian/United Church 8.6%, Baptist 8.3%,Pentecostal 7.1%, non-denominational 5.3%, Anglican 4.1%, Wesleyan Holiness 2.4%), Roman Catholic 14.1%, Jehovah's Witness 1.1%, other 7%, none 9.3%, unspecified 0.7% (2010 est.)"
Central African Republic,"indigenous beliefs 35%, Protestant 25%, Roman Catholic 25%, Muslim 15% 
      
      
        note: animistic beliefs and practices strongly influence the Christian majority"
Chad,"Muslim 53.1%, Catholic 20.1%, Protestant 14.2%, animist 7.3%, other 0.5%, unknown 1.7%, atheist 3.1% (1993 census)"
Chile,"Roman Catholic 66.7%, Evangelical or Protestant 16.4%, Jehovah's Witnesses 1%, other 3.4%, none 11.5%, unspecified 1.1% (2012 est.)"
China,"Buddhist 18.2%, Christian 5.1%, Muslim 1.8%, folk religion 21.9%, Hindu 
      
        note: officially atheist (2010 est.)"
Christmas Island,"Buddhist 36%, Muslim 25%, Christian 18%, other 21% (1997)"
Cocos (Keeling) Islands,"Sunni Muslim 80%, other 20% (2002 est.)"
Colombia,"Roman Catholic 90%, other 10%"
Comoros,"Sunni Muslim 98%, Roman Catholic 2%"
"Congo, Democratic Republic of the","Roman Catholic 50%, Protestant 20%, Kimbanguist 10%, Muslim 10%, other (includes syncretic sects and indigenous beliefs) 10%"
"Congo, Republic of the","Roman Catholic 33.1%, Awakening Churches/Christian Revival 22.3%, Protestant 19.9%, Salutiste 2.2%, Muslim 1.6%, Kimbanguiste 1.5%, other 8.1%, none 11.3% (2010 est.)"
Cook Islands,"Protestant 62.8% (Cook Islands Christian Church 49.1%, Seventh-Day Adventist 7.9%, Assemblies of God 3.7%, Apostolic Church 2.1%), Roman Catholic 17%, Mormon 4.4%, other 8%, none 5.6%, no response 2.2% (2011 est.)"
Costa Rica,"Roman Catholic 76.3%, Evangelical 13.7%, Jehovah's Witnesses 1.3%, other Protestant 0.7%, other 4.8%, none 3.2%"
Cote d'Ivoire,"Muslim 38.6%, Christian 32.8%, indigenous 11.9%, none 16.7% (2008 est.) 
      
      
        note: the majority of foreigners (migratory workers) are Muslim (70%) and Christian (20%)"
Croatia,"Roman Catholic 86.3%, Orthodox 4.4%, Muslim 1.5%, other 1.5%, unspecified 2.5%, not religious or atheist 3.8% (2011 est.)"
Cuba,"nominally Roman Catholic 85%, Protestant, Jehovah's Witnesses, Jewish, Santeria 
      
      
        note: prior to CASTRO assuming power"
Curacao,"Roman Catholic 72.8%, Pentecostal 6.6%, Protestant 3.2%, Adventist 3%, Jehovah's Witness 2%, Evangelical 1.9%, other 3.8%, none 6%, unspecified 0.6% (2011 est.)"
Cyprus,"Greek Orthodox 78%, Muslim 18%, other (includes Maronite and Armenian Apostolic) 4%"
Czech Republic,"Roman Catholic 10.4%, Protestant (includes Czech Brethren and Hussite) 1.1%, other and unspecified 54%, none 34.5% (2011 est.)"
Denmark,"Evangelical Lutheran (official) 80%, Muslim 4%, other (denominations of less than 1% each, includes Roman Catholic, Jehovah's Witness, Serbian Orthodox Christian, Jewish, Baptist, and Buddhist) 16% (2012 est.)"
Djibouti,"Muslim 94%, Christian 6%"
Dominica,"Roman Catholic 61.4%, Protestant 20.6% (Seventh-Day Adventist 6%, Pentecostal 5.6%, Baptist 4.1%, Methodist 3.7%, Church of God 1.2%), Jehovah's Witnesses 1.2%, other Christian 7.7%, Rastafarian 1.3%, other or unspecified 1.6%, none 6.1% (2001 census)"
Dominican Republic,"Roman Catholic 95%, other 5%"
Ecuador,"Roman Catholic 95%, other 5%"
Egypt,"Muslim (predominantly Sunni) 90%, Christian (majority Coptic Orthodox, other Christians include Armenian Apostolic, Catholic, Maronite, Orthodox, and Anglican) 10% (2012 est.)"
El Salvador,"Roman Catholic 57.1%, Protestant 21.2%, Jehovah's Witnesses 1.9%, Mormon 0.7%, other religions 2.3%, none 16.8% (2003 est.)"
Equatorial Guinea,"nominally Christian and predominantly Roman Catholic, pagan practices"
Eritrea,"Muslim, Coptic Christian, Roman Catholic, Protestant"
Estonia,"Lutheran 9.9%, Orthodox 16.2%, other Christian (including Methodist, Seventh-Day Adventist, Roman Catholic, Pentecostal) 2.2%, other 0.9%, none 54.1%, unspecified 16.7% (2011 est.)"
Ethiopia,"Ethiopian Orthodox 43.5%, Muslim 33.9%, Protestant 18.5%, traditional 2.7%, Catholic 0.7%, other 0.6% (2007 est.)"
European Union,"Roman Catholic, Protestant, Orthodox, Muslim, Jewish"
Falkland Islands (Islas Malvinas),"Christian 66%, none 32%, other 2% (2012 est.)"
Faroe Islands,"Evangelical Lutheran 83.8%, other and unspecified 16.2% (2006 census)"
Fiji,"Protestant 45% (Methodist 34.6%, Assembly of God 5.7%, Seventh Day Adventist 3.9%, and Anglican 0.8%), Hindu 27.9%, other Christian 10.4%, Roman Catholic 9.1%, Muslim 6.3%, Sikh 0.3%, other 0.3%, none 0.8% (2007 est.)"
Finland,"Lutheran 78.4%, Orthodox 1.1%, other Christian 1.1%, other 0.2%, none 19.2% (2010 est.)"
France,"Roman Catholic 83%-88%, Protestant 2%, Jewish 1%, Muslim 5%-10%, unaffiliated 4% 
      
      
        overseas departments: Roman Catholic, Protestant, Hindu, Muslim, Buddhist, pagan"
French Polynesia,"Protestant 54%, Roman Catholic 30%, other 10%, no religion 6%"
Gabon,"Christian 55%-75%, animist, Muslim less than 1%"
"Gambia, The","Muslim 90%, Christian 8%, indigenous beliefs 2%"
Gaza Strip,"Muslim 98.0 - 99.0% (predominantly Sunni), Christian 
      
        note: dismantlement of Israeli settlements was completed in September 2005; Gaza has had no Jewish population since then (2012 est.)"
Georgia,"Orthodox Christian (official) 83.9%, Muslim 9.9%, Armenian-Gregorian 3.9%, Catholic 0.8%, other 0.8%, none 0.7% (2002 census)"
Germany,"Protestant 34%, Roman Catholic 34%, Muslim 3.7%, unaffiliated or other 28.3%"
Ghana,"Christian 71.2% (Pentecostal/Charismatic 28.3%, Protestant 18.4%, Catholic 13.1%, other 11.4%), Muslim 17.6%, traditional 5.2%, other 0.8%, none 5.2% (2010 census)"
Gibraltar,"Roman Catholic 78.1%, Church of England 7%, other Christian 3.2%, Muslim 4%, Jewish 2.1%, Hindu 1.8%, other or unspecified 0.9%, none 2.9% (2001 census)"
Greece,"Greek Orthodox (official) 98%, Muslim 1.3%, other 0.7%"
Greenland,"Evangelical Lutheran, traditional Inuit spiritual beliefs"
Grenada,"Roman Catholic 53%, Anglican 13.8%, other Protestant 33.2%"
Guam,"Roman Catholic 85%, other 15% (1999 est.)"
Guatemala,"Roman Catholic, Protestant, indigenous Mayan beliefs"
Guernsey,"Protestant (Anglican, Presbyterian, Baptist, Congregational, Methodist), Roman Catholic"
Guinea,"Muslim 85%, Christian 8%, indigenous beliefs 7%"
Guinea-Bissau,"Muslim 50%, indigenous beliefs 40%, Christian 10%"
Guyana,"Protestant 30.5% (Pentecostal 16.9%, Anglican 6.9%, Seventh Day Adventist 5%, Methodist 1.7%), Hindu 28.4%, Roman Catholic 8.1%, Muslim 7.2%, Jehovah's Witnesses 1.1%, other Christian 17.7%, other 1.9%, none 4.3%, unspecified 0.9% (2002 est.)"
Haiti,"Roman Catholic 80%, Protestant 16% (Baptist 10%, Pentecostal 4%, Adventist 1%, other 1%), none 1%, other 3% 
      
      
        note: roughly half of the population practices voodoo"
Holy See (Vatican City),Roman Catholic
Honduras,"Roman Catholic 97%, Protestant 3%"
Hong Kong,"eclectic mixture of local religions 90%, Christian 10%"
Hungary,"Roman Catholic 37.2%, Calvinist 11.6%, Lutheran 2.2%, Greek Catholic 1.8%, other 1.9%, none 18.2%, unspecified 27.2% (2011 est.)"
Iceland,"Evangelical Lutheran Church of Iceland (official) 76.2%, Roman Catholic 3.4%, Reykjavik Free Church 2.9%, Hafnarfjorour Free Church 1.9%, The Independent Congregation 1%, other religions 3.6% (includes Pentecostal and Asatru Association), none 5.2%, other or unspecified 5.9% (2013 est.)"
India,"Hindu 80.5%, Muslim 13.4%, Christian 2.3%, Sikh 1.9%, other 1.8%, unspecified 0.1% (2001 census)"
Indonesia,"Muslim 87.2%, Christian 7%, Roman Catholic 2.9%, Hindu 1.7%, other 0.9% (includes Buddhist and Confucian), unspecified 0.4% (2010 est.)"
Iran,"Muslim (official) 99.4% (Shia 90-95%, Sunni 5-10%), other (includes Zoroastrian, Jewish, and Christian) 0.3%, unspecified 0.4% (2011 est.)"
Iraq,"Muslim (official) 99% (Shia 60%-65%, Sunni 32%-37%), Christian 0.8%, Hindu 
      
        note: while there has been voluntary relocation of many Christian families to northern Iraq, recent reporting indicates that the overall Christian population may have dropped by as much as 50 percent since the fall of the Saddam HUSSEIN regime in 2003, with many fleeing to Syria, Jordan, and Lebanon (2010 est.)"
Ireland,"Roman Catholic 84.7%, Church of Ireland 2.7%, other Christian 2.7%, Muslim 1.1%, other 1.7%, unspecified 1.5%, none 5.7% (2011 est.)"
Isle of Man,"Protestant (Anglican, Methodist, Baptist, Presbyterian, Society of Friends), Roman Catholic"
Israel,"Jewish 75.1%, Muslim 17.4%, Christian 2%, Druze 1.6%, other 3.9% (2012 est.)"
Italy,"Christian 80% (overwhelmingly Roman Catholic with very small groups of Jehovah's Witnesses and Protestants), Muslim (about 800,000 to 1 million), Atheist and Agnostic 20%"
Jamaica,"Protestant 64.8% (includes Seventh Day Adventist 12.0%, Pentecostal 11.0%, Other Church of God 9.2%, New Testament Church of God 7.2%, Baptist 6.7%, Church of God in Jamaica 4.8%, Church of God of Prophecy 4.5%, Anglican 2.8%, United Church 2.1%, Methodist 1.6%, Revived 1.4%, Brethren .9%, and Moravian .7%), Roman Catholic 2.2%, Jehovah's Witness 1.9%, Rastafarian 1.1%, other 6.5%, none 21.3%, unspecified 2.3% (2011 est.)"
Japan,"Shintoism 83.9%, Buddhism 71.4%, Christianity 2%, other 7.8% 
      
      
        note: total adherents exceeds 100% because many people belong to both Shintoism and Buddhism (2005)"
Jersey,"Protestant (Anglican, Baptist, Congregational New Church, Methodist, Presbyterian), Roman Catholic"
Jordan,"Muslim 97.2% (official; predominantly Sunni), Christian 2.2% (majority Greek Orthodox, but some Greek and Roman Catholics, Syrian Orthodox, Coptic Orthodox, Armenian Orthodox, and Protestant denominations), Buddhist 0.4%, Hindu 0.1%, Jewish"
Kazakhstan,"Muslim 70.2%, Christian 26.2% (mainly Russian Orthodox), other 0.2%, atheist 2.8%, unspecified 0.5% (2009 est.)"
Kenya,"Christian 82.5% (Protestant 47.4%, Catholic 23.3%, other 11.8%), Muslim 11.1%, Traditionalists 1.6%, other 1.7%, none 2.4%, unspecified 0.7% (2009 census)"
Kiribati,"Roman Catholic 55.8%, Kempsville Presbyterian Church 33.5%, Mormon 4.7%, Baha'i 2.3%, Seventh-Day Adventist 2%, other 1.5%, none 0.2%, unspecified 0.05% (2010 est.)"
"Korea, North","traditionally Buddhist and Confucianist, some Christian and syncretic Chondogyo (Religion of the Heavenly Way) 
      
      
        note: autonomous religious activities now almost nonexistent; government-sponsored religious groups exist to provide illusion of religious freedom"
"Korea, South","Christian 31.6% (Protestant 24%, Roman Catholic 7.6%), Buddhist 24.2%, other or unknown 0.9%, none 43.3% (2010 survey)"
Kosovo,"Muslim, Serbian Orthodox, Roman Catholic"
Kuwait,"Muslim (official) 76.7%, Christian 17.3%, other and unspecified 5.9% 
      
      
        note: represents the total population; about 69% of the population consists of immigrants (2013 est.)"
Kyrgyzstan,"Muslim 75%, Russian Orthodox 20%, other 5%"
Laos,"Buddhist 67%, Christian 1.5%, other and unspecified 31.5% (2005 census)"
Latvia,"Lutheran 19.6%, Orthodox 15.3%, other Christian 1%, other 0.4%, unspecified 63.7% (2006)"
Lebanon,"Muslim 54% (27% Sunni, 27% Shia), Christian 40.5% (includes 21% Maronite Catholic, 8% Greek Orthodox, 5% Greek Catholic, 6.5% other Christian), Druze 5.6%, very small numbers of Jews, Baha'is, Buddhists, Hindus, and Mormons 
      
      
        note: 18 religious sects recognized (2012 est.)"
Lesotho,"Christian 80%, indigenous beliefs 20%"
Liberia,"Christian 85.6%, Muslim 12.2%, Traditional 0.6%, other 0.2%, none 1.4% (2008 Census)"
Libya,"Muslim (official; virtually all Sunni) 96.6%, Christian 2.7%, Buddhist 0.3%, Hindu 
      
        note: non-Sunni Muslims include native Ibadhi Muslims ("
Liechtenstein,"Roman Catholic (official) 75.9%, Protestant Reformed 6.5%, Muslim 5.4%, Lutheran 1.3%, other 2.9%, none 5.4%, unspecified 2.6% (2010 est.)"
Lithuania,"Roman Catholic 77.2%, Russian Orthodox 4.1%, Old Believer 0.8%, Evangelical Lutheran 0.6%, Evangelical Reformist 0.2%, other (including Sunni Muslim, Jewish, Greek Catholic, and Karaite) 0.8%, none 6.1%, unspecified 10.1% (2011 est.)"
Luxembourg,"Roman Catholic 87%, other (includes Protestant, Jewish, and Muslim) 13% (2000)"
Macau,"Buddhist 50%, Roman Catholic 15%, none or other 35% (1997 est.)"
Macedonia,"Macedonian Orthodox 64.7%, Muslim 33.3%, other Christian 0.37%, other and unspecified 1.63% (2002 census)"
Madagascar,"indigenous beliefs 52%, Christian 41%, Muslim 7%"
Malawi,"Christian 82.6%, Muslim 13%, other 1.9%, none 2.5% (2008 est.)"
Malaysia,"Muslim (official) 61.3%, Buddhist 19.8%, Christian 9.2%, Hindu 6.3%, Confucianism, Taoism, other traditional Chinese religions 1.3%, other 0.4%, none 0.8%, unspecified 1% (2010 est.)"
Maldives,Sunni Muslim (official)
Mali,"Muslim 94.8%, Christian 2.4%, Animist 2%, none 0.5%, unspecified 0.3% (2009 Census)"
Malta,Roman Catholic (official) more than 90% (2011 est.)
Marshall Islands,"Protestant 54.8%, Assembly of God 25.8%, Roman Catholic 8.4%, Bukot nan Jesus 2.8%, Mormon 2.1%, other Christian 3.6%, other 1%, none 1.5% (1999 census)"
Mauritania,Muslim (official) 100%
Mauritius,"Hindu 48.5%, Roman Catholic 26.3%, Muslim 17.3%, other Christian 6.4%, other 0.6%, none 0.7%, unspecified 0.1% (2011 est.)"
Mexico,"Roman Catholic 82.7%, Pentecostal 1.6%, Jehovah's Witnesses 1.4%, other Evangelical Churches 5%, other 1.9%, none 4.7%, unspecified 2.7% (2010 est.)"
"Micronesia, Federated States of","Roman Catholic 54.7%, Protestant 41.1% (includes Congregational 38.5%, Baptist 1.1%, Seventh Day Adventist 0.8%, Assembly of God .7%), Mormon 1.5%, other 1.9%, none 0.7%, unspecified 0.1% (2010 est.)"
Moldova,"Orthodox 93.3%, Baptist 1%, other Christian 1.2%, other 0.9%, atheist 0.4%, none 1%, unspecified 2.2% (2004 est.)"
Monaco,"Roman Catholic 90% (official), other 10%"
Mongolia,"Buddhist 53%, Muslim 3%, Christian 2.2%, Shamanist 2.9%, other 0.4%, none 38.6% (2010 est.)"
Montenegro,"Orthodox 72.1%, Muslim 19.1%, Catholic 3.4%, atheist 1.2%, other 1.5%, unspecified 2.6% (2011 est.)"
Montserrat,"Protestant 67.1% (includes Anglican 21.8%, Methodist 17%, Pentecostal 14.1%, Seventh Day Adventist 10.5%, and Church of God 3.7%), Roman Catholic 11.6%, Rastafarian 1.4%, other 6.5%, none 2.6%, unspecified 10.8% (2001 est.)"
Morocco,"Muslim 99% (official; virtually all Sunni,"
Mozambique,"Roman Catholic 28.4%, Muslim 17.9%, Zionist Christian 15.5%, Protestant 12.2% (includes Pentecostal 10.9% and Anglican 1.3%), other 6.7%, none 18.7%, unspecified 0.7% (2007 est.)"
Namibia,"Christian 80% to 90% (at least 50% Lutheran), indigenous beliefs 10% to 20%"
Nauru,"Protestant 60.4% (includes Nauru Congregational 35.7%, Assembly of God 13%, Nauru Independent Church 9.5%, Baptist 1.5%, and Seventh Day Adventist .7%), Roman Catholic 33%, other 3.7%, none 1.8%, unspecified 1.1% (2011 est.)"
Nepal,"Hindu 81.3%, Buddhist 9%, Muslim 4.4%, Kirant 3.1%, Christian 1.4%, other 0.5%, unspecifed 0.2% (2011 est.)"
Netherlands,"Roman Catholic 28%, Protestant 19% (includes Dutch Reformed 9%, Protestant Church of The Netherlands, 7%, Calvinist 3%), other 11% (includes about 5% Muslim and lesser numbers of Hindu, Buddhist, Jehovah's Witness, and Orthodox), none 42% (2009 est.)"
New Caledonia,"Roman Catholic 60%, Protestant 30%, other 10%"
New Zealand,"Christian 44.3% (Catholic 11.6%, Anglican 10.8%, Presbyterian and Congregational 7.8%, Methodist, 2.4%, Pentecostal 1.8%, other 9.9%), Hindu 2.1%, Buddhist 1.4%, Maori Christian 1.3%, Islam 1.1%, other religion 1.4% (includes Judaism, Spiritualism and New Age religions, Baha'i, Asian religions other than Buddhism), no religion 38.5%, not stated or unidentified 8.2%, objected to answering 4.1% 
      
      
        note: based on the 2013 census of the usually resident population; percentages add up to more than 100% because people were able to identify more than one religion (2013 est.)"
Nicaragua,"Roman Catholic 58.5%, Protestant 23.2% (Evangelical 21.6%, Moravian 1.6%), Jehovah's Witnesses 0.9%, other 1.6%, none 15.7% (2005 est.)"
Niger,"Muslim 80%, other (includes indigenous beliefs and Christian) 20%"
Nigeria,"Muslim 50%, Christian 40%, indigenous beliefs 10%"
Niue,"Ekalesia Niue (Congregational Christian Church of Niue - a Protestant church founded by missionaries from the London Missionary Society) 67%, other Protestant 3% (includes Seventh Day Adventist 1%, Presbyterian 1%, and Methodist 1%), Mormon 10%, Roman Catholic 10%, Jehovah's Witnesses 2%, other 6%, none 2% (2011 est.)"
Norfolk Island,"Protestant 49.6% (Anglican 31.8%, Uniting Church in Australia 10.6%, Seventh-Day Adventist 3.2%), Roman Catholic 11.7%, other 8.6%, none 23.5%, unspecified 6.6% (2011 est.)"
Northern Mariana Islands,"Christian (Roman Catholic majority, although traditional beliefs and taboos may still be found)"
Norway,"Church of Norway (Evangelical Lutheran - official) 82.1%, other Christian 3.9%, Muslim 2.3%, Roman Catholic 1.8%, other 2.4%, unspecified 7.5% (2011 est.)"
Oman,"Muslim (official; majority are Ibadhi, lesser numbers of Sunni and Shia)) 85.9%, Christian 6.5%, Hindu 5.5%, Buddhist 0.8%, Jewish 
      
        note: approximately 75% of Omani citizens, who compose almost 70% of the country's total population, are Ibadhi Muslims; the Omani government does not keep statistics on religious affiliation (2013) (2010 est.)"
Pakistan,"Muslim (official) 96.4% (Sunni 85-90%, Shia 10-15%), other (includes Christian and Hindu) 3.6% (2010 est.)"
Palau,"Roman Catholic 49.4%, Protestant 30.9% (includes Protestant (general) 23.1%, Seventh Day Adventist 5.3%, and other Protestant 2.5%), Modekngei 8.7% (indigenous to Palau), Jehovah's Witnesses 1.1%, other 8.8%, none or unspecified 1.1% (2005 est.)"
Panama,"Roman Catholic 85%, Protestant 15%"
Papua New Guinea,"Roman Catholic 27%, Protestant 69.4% (Evangelical Lutheran 19.5%, United Church 11.5%, Seventh-Day Adventist 10%, Pentecostal 8.6%, Evangelical Alliance 5.2%, Anglican 3.2%, Baptist 2.5%, other Protestant 8.9%), Baha'i 0.3%, indigenous beliefs and other 3.3% (2000 census)"
Paraguay,"Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census)"
Peru,"Roman Catholic 81.3%, Evangelical 12.5%, other 3.3%, none 2.9% (2007 est.)"
Philippines,"Catholic 82.9% (Roman Catholic 80.9%, Aglipayan 2%), Muslim 5%, Evangelical 2.8%, Iglesia ni Kristo 2.3%, other Christian 4.5%, other 1.8%, unspecified 0.6%, none 0.1% (2000 census)"
Pitcairn Islands,Seventh-Day Adventist 100%
Poland,"Catholic 87.2% (includes Roman Catholic 86.9% and Greek Catholic, Armenian Catholic, and Byzantine-Slavic Catholic .3%), Orthodox 1.3% (almost all are Polish Autocephalous Orthodox), Protestant 0.4% (mainly Augsburg Evangelical and Pentacostal), other 0.4% (includes Jehovah's Witness, Buddhist, Hare Krishna, Gaudiya Vaishnavism, Muslim, Jewish, Mormon), unspecified 10.8% (2012 est.)"
Portugal,"Roman Catholic 81%, other Christian 3.3%, other (includes Jewish, Muslim, other) 0.6%, none 6.8%, unspecified 8.3% 
      
      
        notes: represents population 15 years of age and older (2011 est.)"
Puerto Rico,"Roman Catholic 85%, Protestant and other 15%"
Qatar,"Muslim 77.5%, Christian 8.5%, other (includes mainly Hindu and other Indian religions) 14% (2004 est.)"
Romania,"Eastern Orthodox (including all sub-denominations) 81.9%, Protestant (various denominations including Reformed and Pentecostal) 6.4%, Roman Catholic 4.3%, other (includes Muslim) 0.9%, none or atheist 0.2%, unspecified 6.3% (2011 est.)"
