Afghanistan,2.29% (2014 est.)
Spain,0.81% (2014 est.)
Sri Lanka,0.86% (2014 est.)
Sudan,1.78% (2014 est.)
Suriname,1.12% (2014 est.)
Svalbard,-0.03% (2014 est.)
Swaziland,1.14% (2014 est.)
Sweden,0.79% (2014 est.)
Switzerland,0.78% (2014 est.)
Syria,-9.73% (2014 est.)
Taiwan,0.25% (2014 est.)
Tajikistan,1.75% (2014 est.)
Tanzania,2.8% (2014 est.)
Thailand,0.35% (2014 est.)
Timor-Leste,2.44% (2014 est.)
Togo,2.71% (2014 est.)
Tokelau,-0.01% (2014 est.)
Tonga,0.09% (2014 est.)
Trinidad and Tobago,-0.11% (2014 est.)
Tunisia,0.92% (2014 est.)
Turkey,1.12% (2014 est.)
Turkmenistan,1.14% (2014 est.)
Turks and Caicos Islands,2.58% (2014 est.)
Tuvalu,0.8% (2014 est.)
Uganda,3.24% (2014 est.)
Ukraine,-0.64% (2014 est.)
United Arab Emirates,2.71% (2014 est.)
United Kingdom,0.54% (2014 est.)
United States,0.77% (2014 est.)
Uruguay,0.26% (2014 est.)
Uzbekistan,0.93% (2014 est.)
Vanuatu,2.01% (2014 est.)
Venezuela,1.42% (2014 est.)
Vietnam,1% (2014 est.)
Virgin Islands,-0.56% (2014 est.)
Wallis and Futuna,0.33% (2014 est.)
West Bank,1.99% (2014 est.)
Western Sahara,2.89% (2014 est.)
World,"1.064% 
      
      
        note: this rate results in about 145 net additions to the worldwide population every minute or 2.4 every second (2014 est.)"
Yemen,2.72% (2014 est.)
Zambia,2.88% (2014 est.)
Zimbabwe,4.36% (2014 est.)
