Afghanistan,65.33 cu km (2011)
Lesotho,3.02 cu km (2011)
Liberia,232 cu km (2011)
Libya,0.7 cu km (2011)
Lithuania,24.9 cu km (2011)
Luxembourg,3.1 cu km (2011)
Macedonia,6.4 cu km (2011)
Madagascar,337 cu km (2011)
Malawi,17.28 cu km (2011)
Malaysia,580 cu km (2011)
Maldives,0.03 cu km (2011)
Mali,100 cu km (2011)
Malta,0.05 cu km (2011)
Mauritania,11.4 cu km (2011)
Mauritius,2.75 cu km (2011)
Mexico,457.2 cu km (2011)
Moldova,11.65 cu km (2011)
Mongolia,34.8 cu km (2011)
Morocco,29 cu km (2011)
Mozambique,217.1 cu km (2011)
Namibia,17.72 cu km (2011)
Nepal,210.2 cu km (2011)
Netherlands,91 cu km (2011)
New Zealand,327 cu km (2011)
Nicaragua,196.6 cu km (2011)
Niger,33.65 cu km (2011)
Nigeria,286.2 cu km (2011)
Norway,382 cu km (2011)
Oman,1.4 cu km (2011)
Pakistan,246.8 cu km (2011)
Panama,148 cu km (2011)
Papua New Guinea,801 cu km (2011)
Paraguay,336 cu km (2011)
Peru,"1,913 cu km (2011)"
Philippines,479 cu km (2011)
Poland,61.6 cu km (2011)
Portugal,68.7 cu km (2011)
Qatar,0.06 cu km (2011)
Romania,211.9 cu km (2011)
Russia,"4,508 cu km (2011)"
Rwanda,9.5 cu km (2011)
Saint Kitts and Nevis,0.02 cu km (2011)
Saudi Arabia,2.4 cu km (2011)
Senegal,38.8 cu km (2011)
Serbia,162.2 cu km (note - includes Kosovo) (2011)
Sierra Leone,160 cu km (2011)
Singapore,0.6 cu km (2011)
Slovakia,50.1 cu km (2011)
Slovenia,31.87 cu km (2011)
Solomon Islands,44.7 cu km (2011)
Somalia,14.7 cu km (2011)
South Africa,51.4 cu km (2011)
Spain,111.5 cu km (2011)
Sri Lanka,52.8 cu km (2011)
Sudan,64.5 cu km (2011)
Suriname,122 cu km (2011)
Swaziland,4.51 cu km (2011)
Sweden,174 cu km (2011)
Switzerland,53.5 cu km (2011)
Syria,16.8 cu km (2011)
Taiwan,67 cu km (2011)
Tajikistan,21.91 cu km (2011)
Tanzania,96.27 cu km (2011)
Thailand,438.6 cu km (2011)
Togo,14.7 cu km (2011)
Trinidad and Tobago,3.84 cu km (2011)
Tunisia,4.6 cu km (2011)
Turkey,211.6 cu km (2011)
Turkmenistan,24.77 cu km (2011)
Uganda,66 cu km (2011)
Ukraine,139.6 cu km (2011)
United Arab Emirates,0.15 cu km (2011)
United Kingdom,147 cu km (2011)
United States,"3,069 cu km (2011)"
Uruguay,139 cu km (2011)
Uzbekistan,48.87 cu km (2011)
Venezuela,"1,233 cu km (2011)"
Vietnam,884.1 cu km (2011)
World,"53,789.29 cu km (2011)"
Yemen,2.1 cu km (2011)
Zambia,105.2 cu km (2011)
Zimbabwe,20 cu km (2011)
