Afghanistan,Islamic republic
Eritrea,"transitional government 
      
      
        note: following a successful referendum on independence for the Autonomous Region of Eritrea on 23-25 April 1993, a National Assembly composed entirely of the People's Front for Democracy and Justice or PFDJ was established as a transitional legislature, and a Constitutional Commission was established to draft a constitution; ISAIAS Afworki was named president by the transitional legislature; the constitution, ratified in May 1997, did not enter into effect, pending parliamentary and presidential elections; parliamentary elections were scheduled in December 2001 but were postponed indefinitely"
Estonia,parliamentary republic
Ethiopia,federal republic
Falkland Islands (Islas Malvinas),NA
Faroe Islands,NA
Fiji,republic
Finland,republic
France,republic
French Polynesia,parliamentary representative democratic French overseas collectivity
Gabon,republic; multiparty presidential regime
"Gambia, The",republic
Georgia,republic
Germany,federal republic
Ghana,constitutional democracy
Gibraltar,NA
Greece,parliamentary republic
Greenland,parliamentary democracy within a constitutional monarchy
Grenada,parliamentary democracy and a Commonwealth realm
Guam,NA
Guatemala,constitutional democratic republic
Guernsey,parliamentary democracy
Guinea,republic
Guinea-Bissau,republic
Guyana,republic
Haiti,republic
Holy See (Vatican City),ecclesiastical
Honduras,democratic constitutional republic
Hong Kong,limited democracy
Hungary,parliamentary democracy
Iceland,constitutional republic
India,federal republic
Indonesia,republic
Iran,theocratic republic
Iraq,parliamentary democracy
Ireland,"republic, parliamentary democracy"
Isle of Man,parliamentary democracy
Israel,parliamentary democracy
Italy,republic
Jamaica,constitutional parliamentary democracy and a Commonwealth realm
Japan,a parliamentary government with a constitutional monarchy
Jersey,parliamentary democracy
Jordan,constitutional monarchy
Kazakhstan,"republic; authoritarian presidential rule, with little power outside the executive branch"
Kenya,republic
Kiribati,republic
"Korea, North",Communist state one-man dictatorship
"Korea, South",republic
Kosovo,republic
Kuwait,constitutional emirate
Kyrgyzstan,republic
Laos,Communist state
Latvia,parliamentary democracy
Lebanon,republic
Lesotho,parliamentary constitutional monarchy
Liberia,republic
Libya,operates under a transitional government
Liechtenstein,hereditary constitutional monarchy
Lithuania,parliamentary democracy
Luxembourg,constitutional monarchy
Macau,limited democracy
Macedonia,parliamentary democracy
Madagascar,republic
Malawi,multiparty democracy
Malaysia,"constitutional monarchy 
      
      
        note: nominally headed by paramount ruler (commonly referred to as the king) and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls)"
Maldives,republic
Mali,republic
Malta,republic
Marshall Islands,constitutional government in free association with the US; the Compact of Free Association entered into force on 21 October 1986 and the Amended Compact entered into force in May 2004
Mauritania,military junta
Mauritius,parliamentary democracy
Mexico,federal republic
"Micronesia, Federated States of",constitutional government in free association with the US; the Compact of Free Association entered into force on 3 November 1986 and the Amended Compact entered into force in May 2004
Moldova,republic
Monaco,constitutional monarchy
Mongolia,parliamentary
Montenegro,republic
Montserrat,NA
Morocco,constitutional monarchy
Mozambique,republic
Namibia,republic
Nauru,republic
Nepal,federal democratic republic
Netherlands,constitutional monarchy
New Caledonia,parliamentary representative democracy
New Zealand,parliamentary democracy and a Commonwealth realm
Nicaragua,republic
Niger,republic
Nigeria,federal republic
Niue,self-governing parliamentary democracy
Norfolk Island,NA
Northern Mariana Islands,"commonwealth; self-governing with locally elected governor, lieutenant governor, and legislature"
Norway,constitutional monarchy
Oman,monarchy
Pakistan,federal republic
Palau,constitutional government in free association with the US; the Compact of Free Association entered into force on 1 October 1994
Panama,constitutional democracy
Papua New Guinea,constitutional parliamentary democracy and a Commonwealth realm
Paraguay,constitutional republic
Peru,constitutional republic
Philippines,republic
Pitcairn Islands,NA
Poland,republic
Portugal,republic; parliamentary democracy
Puerto Rico,commonwealth
Qatar,emirate
Romania,republic
Russia,federation
Rwanda,"republic; presidential, multiparty system"
"Saint Helena, Ascension, and Tristan da Cunha",NA
Saint Kitts and Nevis,parliamentary democracy and a Commonwealth realm
Saint Lucia,parliamentary democracy and a Commonwealth realm
Saint Pierre and Miquelon,parliamentary representative democracy
Saint Vincent and the Grenadines,parliamentary democracy and a Commonwealth realm
Samoa,parliamentary democracy
San Marino,republic
Sao Tome and Principe,republic
Saudi Arabia,monarchy
Senegal,republic
Serbia,republic
Seychelles,republic
Sierra Leone,constitutional democracy
Singapore,parliamentary republic
Sint Maarten,parliamentary
Slovakia,parliamentary democracy
Slovenia,parliamentary republic
Solomon Islands,parliamentary democracy and a Commonwealth realm
Somalia,in the process of building a federal parliamentary republic
South Africa,republic
South Sudan,republic
Spain,parliamentary monarchy
Sri Lanka,republic
Sudan,"federal republic ruled by the National Congress Party (NCP), which seized power by military coup in 1989; the CPA-mandated Government of National Unity, which between 2005 and 2011 provided a percentage of leadership posts to the southern Sudan-based Sudan People's Liberation Movement (SPLM), was disbanded following the secession of South Sudan"
Suriname,constitutional democracy
Svalbard,NA
Swaziland,monarchy
Sweden,constitutional monarchy
Switzerland,formally a confederation but similar in structure to a federal republic
Syria,republic under an authoritarian regime
Taiwan,multiparty democracy
Tajikistan,republic
Tanzania,republic
Thailand,constitutional monarchy
Timor-Leste,republic
Togo,republic under transition to multiparty democratic rule
Tokelau,NA
Tonga,constitutional monarchy
Trinidad and Tobago,parliamentary democracy
Tunisia,republic
Turkey,republican parliamentary democracy
Turkmenistan,defines itself as a secular democracy and a presidential republic; in actuality displays authoritarian presidential rule with power concentrated within the presidential administration
Turks and Caicos Islands,NA
Tuvalu,parliamentary democracy and a Commonwealth realm
Uganda,republic
Ukraine,republic
United Arab Emirates,federation with specified powers delegated to the UAE federal government and other powers reserved to member emirates
United Kingdom,constitutional monarchy and Commonwealth realm
United States,constitution-based federal republic; strong democratic tradition
Uruguay,constitutional republic
Uzbekistan,republic; authoritarian presidential rule with little power outside the executive branch
Vanuatu,parliamentary republic
Venezuela,federal republic
Vietnam,Communist state
Virgin Islands,NA
Wallis and Futuna,parliamentary representive democratic French overseas collectivity
Western Sahara,"legal status of territory and issue of sovereignty unresolved; territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile, the Sahrawi Arab Democratic Republic (SADR), based out of refugee camps near Tindouf, Algeria, led by President Mohamed ABDELAZIZ"
Yemen,republic
Zambia,republic
Zimbabwe,parliamentary democracy
