Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Australia,"Australian Greens Party [Christine MILNE] 
      
      Australian Labor Party [Bill SHORTEN] 
      
      Country Liberal Party [Terry MILLS] 
      
      Family First Party [Steve FIELDING] 
      
      Katter's Australian Party [Bob KATTER] 
      
      Liberal National Party of Queensland [Campbell NEWMAN] 
      
      Liberal Party [Tony ABBOTT] 
      
      National Party of Australia [Warren TRUSS] 
      
      Palmer United Party [Clive PALMER]"
Austria,"Alliance for the Future of Austria or BZOe [Josef BUCHER] 
      
      Austrian People's Party or OeVP [Michael SPINDELEGGER] 
      
      Communist Party of Austria or KPOe [Mirko MESSNER] 
      
      Freedom Party of Austria or FPOe [Heinz Christian STRACHE] 
      
      The Greens [Eva GLAWISCHNIG] 
      
      NEOS - The New Austria [Matthias STROLZ] 
      
      Social Democratic Party of Austria or SPOe [Werner FAYMANN] 
      
      ""Team Stronach for Austria"" [Frank STRONACH]"
Azerbaijan,"Azerbaijan Democratic Party or ADP [Sardar JALALOGLU] 
      
      Azerbaijan Popular Front or AXCP [Ali KARIMLI] 
      
      Civil Solidarity Party or CSP [Sabir RUSTAMKHANLI] 
      
      Civil Unity Party [Sabir HACIYEV] 
      
      Classical Popular Front Party of Azerbaijan [Mirmahmud MIRALI-OGLU] 
      
      Democratic Reforms Party [Asim MOLLAZADE] 
      
      Great Creation Party [Fazil Gazanfaroglu MUSTAFAYEV] 
      
      Hope (Umid) Party [Igbal AGAZADE] 
      
      Justice Party [Ilyas ISMAILOV] 
      
      Liberal Party of Azerbaijan [Lala Shovkat HACIYEVA, Avaz TEMIRKHAN] 
      
      Motherland Party [Fazail AGAMALI] 
      
      Musavat (Equality) [Isa GAMBAR] 
      
      Open Society Party [Sulhaddin AKBAR] 
      
      Social Democratic Party of Azerbaijan or SDP [Araz ALIZADE] 
      
      Social Welfare Party [Khanhusein KAZIMLI] 
      
      Whole Azerbaijan Popular Front Party [Gudrat HASANGULIYEV] 
      
      Yeni (New) Azerbaijan Party or YAP [President Ilham ALIYEV]"
"Bahamas, The","Free National Movement or FNM [Hubert MINNIS] 
      
      Progressive Liberal Party or PLP [Perry CHRISTIE]"
Bahrain,"note: political parties are prohibited but political societies were legalized per a July 2005 law 
      
      
        progovernment: 
      
      Arab Islamic Center Society [Ahmad Sanad AL-BENALI] 
      
      Constitutional Gathering Society 
      
      Islamic Asalah [Abd al-Halim MURAD] 
      
      Islamic Saff Society [Abdullah Khalil BU GHAMAR] 
      
      Islamic Shura Society 
      
      Movement of National Justice Society [Muhi al-Din KHAN] 
      
      National Action Charter Society [Muhammad AL-BUAYNAYN] 
      
      National Dialogue Society 
      
      National Islamic Minbar [Ali AHMAD] 
      
      National Unity Gathering [Abdullah AL-HUWAYHI] 
      
      
        oppositon: 
      
      National Democratic Action Society [Ibrahim SHARIF] 
      
      National Democratic Assembly [Hasan AL-ALI] 
      
      National Fraternity Society [Musa AL-ANSARI] 
      
      National Progressive Tribune [Abd al-Nabi SALMAN] 
      
      Unitary National Democratic Assemblage [Fadhil ABBAS] 
      
      Wifaq National Islamic Society [Ali SALMAN]"
Bangladesh,"Awami League or AL [Sheikh HASINA] 
      
      Communist Party of Bangladesh or CPB [Manjurul A. KHAN] 
      
      Bangladesh Nationalist Front or BNF [Abdul Kalam AZADI] 
      
      Bangladesh Nationalist Party or BNP [Khaleda ZIA] 
      
      Bikalpa Dhara Bangladesh or BDB [Badrudozza CHOWDHURY] 
      
      Islami Oikya Jote or IOJ [multiple leaders] 
      
      Jatiya Party or JP (Ershad faction) [Hussain Mohammad ERSHAD] 
      
      Liberal Democratic Party or LDP [Oli AHMED] 
      
      National Socialist Party or JSD [KHALEQUZZAMAN] 
      
      Tarikat Foundation [Syed Nozibul Bashar MAIZBHANDARI] 
      
      Workers Party or WP [Rashed Khan MENON]"
Barbados,"Barbados Labor Party or BLP [Owen ARTHUR] 
      
      Democratic Labor Party or DLP [Freundel STUART] 
      
      People's Empowerment Party or PEP [David COMISSIONG]"
Belarus,"pro-government parties:  
      
      Belarusian Agrarian Party or AP [Mikhail SHIMANSKY] 
      
      Belarusian Patriotic Movement (Belarusian Patriotic Party) or BPR [Nikolay ULAKHOVICH, chairman] 
      
      Communist Party of Belarus or KPB [Igor KARPENKO] 
      
      Liberal Democratic Party or LDP [Sergey GAYDUKEVICH] 
      
      Republican Party of Labor and Justice [Vasiliy ZADNEPRYANYY] 
      
      
        opposition parties: 
      
      Belarusian Christian Democracy Party [Pavel SEVERINETS] (unregistered) 
      
      Belarusian Party of the Left ""Fair World"" [Sergey KALYAKIN] 
      
      Belarusian Popular Front or BPF [Aleksey YANUKEVICH] 
      
      Belarusian Social-Democratic Hramada [Stanislav SHUSHKEVICH] 
      
      Belarusian Social Democratic Party Hramada (""Assembly"") or BSDPH [Irina VESHTARD] 
      
      Belarusian Social Democratic Party People's Assembly (""Narodnaya Hramada"") [Nikolay STATKEVICH] (unregistered) 
      
      Christian Conservative Party or BPF [Zyanon PAZNIAK] 
      
      European Belarus Campaign [Andrey SANNIKOV] 
      
      Party of Freedom and Progress [Vladimir NOVOSYAD] (unregistered) 
      
      ""Tell the Truth"" Campaign [Vladimir NEKLYAYEV] 
      
      United Civic Party or UCP [Anatoliy LEBEDKO]"
Belgium,"Flemish parties:  
      
      Christian Democratic and Flemish or CD&V [Wouter BEKE] 
      
      Flemish Liberals and Democrats or Open VLD [Gwendolyn RUTTEN] 
      
      Groen! [Wouter VAN BESIEN] (formerly AGALEV, Flemish Greens) 
      
      Libertarian, Direct, Democratic or LDD (formerly Dedecker's List) [Jean-Marie DEDECKER] 
      
      New Flemish Alliance or N-VA [Bart DE WEVER] 
      
      People's Party [Mischael MODRIKAMEN] 
      
      Social Progressive Alternative or SP.A [Bruno TOBBACK] 
      
      Vlaams Belang (Flemish Interest) or VB [Gerolf ANNEMANS] 
      
      
        Francophone parties: 
      
      Ecolo (Francophone Greens) [Olivier DELEUZE, Emily HOYOS] 
      
      Francophone Federalist Democrats [Olivier MAINGAIN] 
      
      Humanist and Democratic Center or CDH [Benoit LUTGEN] 
      
      Reform Movement or MR [Charles MICHEL] 
      
      Socialist Party or PS [Elio DI RUPO] 
      
      Workers' Party [Peter Mertens] 
      
      other minor parties"
Belize,"National Alliance for Belizean Rights or NABR 
      
      National Reform Party or NRP [Cornelius DUECK] 
      
      People's National Party or PNP [Wil MAHEIA] 
      
      People's United Party or PUP [John BRICENO] 
      
      United Democratic Party or UDP [Dean Oliver BARROW] 
      
      Vision Inspired by the People or VIP [Paul MORGAN] 
      
      We the People Reform Movement or WTP [Hipolito BAUTISTA]"
Benin,"Be African Movement for Democracy and Progress or MADEP [Sefou FAGBOHOUN]; Alliance of Progress Forces or AFP; Benin Renaissance or RB [Rosine SOGLO]; Democratic Renewal Party or PRD [Adrien HOUNGBEDJI]; Force Cowrie for an Emerging Benin or FCBE [Yayi BONI]; Impulse for Progress and Democracy or IPD [Theophile NATA]; Key Force or FC [Lazare SHOUTO]; Movement for the People's Alternative or MAP [Olivier CAPO-CHICHI]; Rally for Democracy and Progress or RDP [Dominique HOUNGNINOU]; Social Democrat Party or PSD [Emmanuel GOLOU]; Union for Democracy and National Solidarity or UDS [Sacca LAFIA]; Union for the Relief or UPR [Issa SALIFOU]; Union Makes the Nation or UN [Adrien HOUNGBEDJI] (superceded Alliance for Dynamic Democracy or ADD) 
      
      
        note: approximately 20 additional minor parties"
Bermuda,Progressive Labor Party or PLP [Marc BEAN]; One Bermuda Alliance or OBA [Thad HOLLIS]
Bhutan,Bhutan Peace and Prosperity Party (Druk Phuensum Tshogpa) or DPT [Jigme THINLEY]; Bhutan Kuen-Nyam Party or BNK [Sonam TOBGAY]; People's Democratic Party or PDP [Tshering TOBGAY]; Druk Nymrub Tshogpa or DNT; Druck Chirwang Tshogpa or DCT
Bolivia,"Bacada Indigena or BI 
      
      Bolivia-National Convergence or PPB-CN [Adrian OLIVA] 
      
      Fearless Movement or MSM [Juan DE GRANADO Cosio] 
      
      Movement Toward Socialism or MAS [Juan Evo MORALES Ayma] 
      
      National Unity or UN [Samuel DORIA MEDINA Arana] 
      
      People or Gente [Roman LOAYZA] 
      
      Social Alliance or AS [Rene JOAQUINO] 
      
      Social Democratic Movement or MDS [Ruben COSTAS]"
Bosnia and Herzegovina,"Activist Democratic Party or A-SDA 
      
      Alliance for a Better Future of BiH or SBB BiH [Fahrudin RADONCIC] 
      
      Alliance of Independent Social Democrats or SNSD [Milorad DODIK] 
      
      Bosnian Party or BOSS [Mirnes AJANOVIC] 
      
      Bosnian Patriotic Party or BPS [Sefer HALILOVIC] 
      
      Civic Democratic Party or GDS [Ibrahim SPAHIC] 
      
      Croat Peasants' Party-New Croat Initiative or HSS-NHI [Ante COLAK] 
      
      Croatian Christian Democratic Union of Bosnia and Herzegovina or HKDU [Ivan MUSA] 
      
      Croatian Democratic Union of Bosnia and Herzegovina or HDZ-BiH [Dragan COVIC] 
      
      Croatian Democratic Union 1990 or HDZ-1990 [Martin RAGUZ] 
      
      Croatian Party of Rights of Bosnia and Herzegovina or HSP BiH [Zvonko JURISIC] 
      
      Democratic National Union or DNZ [Rifat DOLIC] 
      
      Democratic Peoples' Alliance or DNS [Marko PAVIC] 
      
      Liberal Democratic Party or LDS [Amir HUSARIC] 
      
      Nasa Stranka or NS [Denis GRATZ] 
      
      National Democratic Party or NDS 
      
      New Socialist Party or NSP [Zdravko KRSMANOVIC] 
      
      Party for Bosnia and Herzegovina or SBiH [Amer JERLAGIC] 
      
      Party of Democratic Action or SDA [Sulejman TIHIC] 
      
      Party of Democratic Progress or PDP [Mladen IVANIC] 
      
      Party of Justice and Trust or SPP [Zivko BUDIMIR] 
      
      People's Democratic Movement or NDP [Dragan CAVIC and Krsto JANDRIC] (unification of the Democratic Party or DP and the People's Democratic Party or NDS) 
      
      'People's' Party of Work for Progress or NSRzB [Mladen IVANKOVIC-LIJANOVIC] 
      
      Serb Democratic Party or SDS [Mladen BOSIC] 
      
      Serb Radical Party of the Republika Srpska or SRS-RS [Milanko MIHAJLICA] 
      
      Serb Radical Party-Dr. Vojislav Seselj or SRS-VS [Dejan SANTIC] 
      
      Social Democratic Party of BiH or SDP BiH [Zlatko LAGUMDZIJA] 
      
      Social Democratic Union or SDU [Miro LAZOVIC] 
      
      Socialist Party of Republika Srpska or SPRS [Petar DJOKIC]"
Botswana,"Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO]; Botswana Congress Party or BCP [Dumelang SALESHANDO]; Botswana Democratic Party or BDP [Ian KHAMA]; Botswana Movement for Democracy or BMD [Gomolemo MOTSWALEDI]; Botswana National Front or BNF [Duma BOKO]; Botswana Peoples Party or BPP [Motlatsi MOLAPISI]; MELS Movement of Botswana or MELS [Themba JOINA]; New Democratic Front or NDF [Dick BAYFORD] 
      
      
        note: a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats - includes the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; the Botswana Progressive Union [D. K. KWELE]"
Brazil,"Brazilian Communist Party or PCB [Ivan Martins PINHEIRO] 
      
      Brazilian Democratic Movement Party or PMDB [Michel TEMER] 
      
      Brazilian Labor Party or PTB [Benito GAMA] 
      
      Brazilian Renewal Labor Party or PRTB [Jose Levy FIDELIX da Cruz] 
      
      Brazilian Republican Party or PRB [Marcos Antonio PEREIRA] 
      
      Brazilian Social Democracy Party or PSDB [Aecio NEVES] 
      
      Brazilian Socialist Party or PSB [Eduardo CAMPOS] 
      
      Christian Labor Party or PTC [Daniel TOURINHO] 
      
      Christian Social Democratic Party or PSDC [Jose Maria EYMAEL] 
      
      Communist Party of Brazil or PCdoB [Jose Renato RABELO] 
      
      Democratic Labor Party or PDT [Carlos Roberto LUPI] 
      
      the Democrats or DEM [Jose AGRIPINO] (formerly Liberal Front Party or PFL) 
      
      Free Homeland Party or PPL [Sergio RUBENS] 
      
      Green Party or PV [Jose Luiz PENNA] 
      
      Humanist Party of Solidarity or PHS [Eduardo MACHADO] 
      
      Labor Party of Brazil or PTdoB [Luis Henrique de Oliveira RESENDE] 
      
      National Ecologic Party or PEN [Adilson Barroso OLIVEIRA] 
      
      National Labor Party or PTN [Jose Masci de ABREU] 
      
      National Mobilization Party or PMN [Oscar Noronha FILHO] 
      
      Party of the Republic or PR [Alfredo NASCIMENTO] 
      
      Popular Socialist Party or PPS [Roberto Joao Pereira FREIRE] 
      
      Progressive Party or PP [Ciro NOGUEIRA] 
      
      Progressive Republican Party or PRP [Ovasco Roma Altimari RESENDE] 
      
      Social Christian Party or PSC [Vitor Jorge Abdala NOSSEIS] 
      
      Social Democratic Party or PSD [Gilberto KASSAB] 
      
      Social Liberal Party or PSL [Luciano Caldas BIVAR] 
      
      Socialism and Freedom Party or PSOL [Luiz ARAUJO] 
      
      United Socialist Workers' Party or PSTU [Jose Maria DE ALMEIDA] 
      
      Workers' Cause Party or PCO [Rui Costa PIMENTA] 
      
      Workers' Party or PT [Rui FALCAO]"
British Virgin Islands,Concerned Citizens Movement or CCM [Ethlyn SMITH]; National Democratic Party or NDP [Orlando SMITH]; United Party or UP [Gregory MADURO]; Virgin Islands Party or VIP [Ralph T. O'NEAL]
Brunei,"National Development Party or NDP [YASSIN Affendi] 
      
      
        note: Brunei National Solidarity Party or PPKB [Abdul LATIF bin Chuchu] and People's Awareness Party or PAKAR [Awang Haji MAIDIN bin Haji Ahmad] were deregistered in 2007; parties are small and have limited activity"
Bulgaria,"Attack (Ataka) [Volen Nikolov SIDEROV] 
      
      Bulgarian Socialist Party or BSP [Sergei STANISHEV] 
      
      Bulgaria of the Citizens [Meglena KUNEVA] 
      
      Citizens for the European Development of Bulgaria or GERB [Boyko BORISOV] 
      
      Coalition for Bulgaria or CfB [Sergei STANISHEV] (coalition of parties dominated by BSP) 
      
      Democrats for a Strong Bulgaria or DSB [Radan KANEV] 
      
      Internal Macedonian Revolutionary Organization or IMRO [Krasimir KARAKACHANOV] 
      
      Movement for Rights and Freedoms or MRF [Lyutvi MESTAN] 
      
      National Front for the Salvation of Bulgaria or NFSB [Valeri SIMEONOV] 
      
      National Movement for Stability and Progress or NDSV [Hristina HRISTOVA] (formerly National Movement Simeon II or NMS2) 
      
      Order, Law, and Justice or RZS [Yane YANEV] 
      
      Union of Democratic Forces or UDF [Bozhidar LUKARSKI]"
Burkina Faso,"African Democratic Rally-Alliance for Democracy and Federation or ADF-RDA [Gilbert OUEDRAOGO] 
      
      Citizen's Popular Rally or RPC [Antoine QUARE] 
      
      Coalition of Democratic Forces of Burkina or CFD-B [Zio Eric FRANCOIS] 
      
      Congress for Democracy and Progress or CDP [Assimi KOUANDA] 
      
      Democratic and Popular Rally or RDP [Nana THIBAUT] 
      
      Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE] 
      
      Party for African Independence or PAI [Soumane TOURE] 
      
      Party for Democracy and Progress-Socialist Party or PDP-PS [Francois O. KABORE] 
      
      Party for Democracy and Socialism/Metba or PDS/Metba [Hama Arba DIALLO] 
      
      Party for National Rebirth or PAREN [Barry TAHIROU] 
      
      People's Movement for Progress or MPP [Roch March KABORE] 
      
      Rally for the Development of Burkina or RDB [Celestin Saidou COMPAORE] 
      
      Rally of Ecologists of Burkina Faso or RDEB [Ram OUEDRAGO] 
      
      Republican Party for Integration and Solidarity or PARIS 
      
      Union for Democracy and Social Progress or UDPS [Fidele HIEN] 
      
      Union for Progress and Change or UPC [Zephirin DIABRE] 
      
      Union for Rebirth - Sankarist Movement or UNIR-MS [Benewende Stanislas SANKARA] 
      
      Union for the Republic or UPR [Toussaint Abel COULIBALY] 
      
      Union of Sankarist Parties or UPS [Ernest Nongma OUEDRAOGO]"
Burma,"All Mon Region Democracy Party or AMRDP [NAING NGWE THEIN] 
      
      National Democratic Force or NDF [KHIN MAUNG SWE, Dr.THAN NYEIN] 
      
      National League for Democracy or NLD [AUNG SAN SUU KYI] 
      
      National Unity Party or NUP [TUN YE] 
      
      Rakhine Nationalities Development Party or RNDP [Dr. AYE MG] 
      
      Shan Nationalities Democratic Party or SNDP [SAI AIKE PAUNG] 
      
      Shan Nationalities League for Democracy or SNLD [HKUN HTUN OO] 
      
      Union Solidarity and Development Party or USDP [SHWE MANN, HTAY OO] 
      
      numerous smaller parties"
Burundi,"governing parties:  
      
      Burundi Democratic Front or FRODEBU [Leonce NGENDAKUMANA] 
      
      National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Jeremie NGENDAKUMANA] 
      
      Union for National Progress (Union pour le Progress Nationale) or UPRONA [Bonaventure NIYOYANKANA] 
      
      
        note: a multiparty system introduced in 1998 includes: 
      
      National Council for the Defense of Democracy or CNDD [Leonard NYANGOMA] 
      
      National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI] 
      
      Party for National Redress or PARENA [Jean-Baptiste BAGAZA]"
Cabo Verde,"African Party for Independence of Cabo Verde or PAICV [Jose Maria Pereira NEVES, chairman] 
      
      Democratic and Independent Cabo Verdean Union or UCID [Antonio MONTEIRO] 
      
      Democratic Christian Party or PDC [Manuel RODRIGUES] 
      
      Democratic Renovation Party or PRD [Victor FIDALGO] 
      
      Movement for Democracy or MPD [Carlos VEIGA] 
      
      Party for Democratic Convergence or PCD [Dr. Eurico MONTEIRO] 
      
      Party of Work and Solidarity or PTS [Anibal MEDINA] 
      
      Social Democratic Party or PSD [Joao ALEM]"
Cambodia,"Cambodian People's Party or CPP [CHEA SIM] 
      
      Cambodian National Rescue Party or CNRP [SAM RANGSI also spelled SAM RAINSY] 
      
      National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia or FUNCINPEC [KEV PUT REAKSMEI] 
      
      Nationalist Party or NP former Norodom Ranariddh Party or NRP [SAO RANY] 
      
      
        note: the CNRP is a merger between the former Human Rights Party or HRP [KHEM SOKHA, also spelled KEM SOKHA] and the Sam Rangsi Party or SRP"
Cameroon,"Cameroon People's Democratic Movement or CPDM [Paul BIYA] 
      
      Cameroon People's Party or CPP [Edith Kah WALLA] 
      
      Cameroonian Democratic Union or UDC [Adamou Ndam NJOYA] 
      
      Movement for the Defense of the Republic or MDR [Dakole DAISSALA] 
      
      Movement for the Liberation and Development of Cameroon or MLDC [Marcel YONDO] 
      
      National Union for Democracy and Progress or UNDP [Maigari BELLO BOUBA] 
      
      Progressive Movement or MP [Jean-Jacques EKINDI] 
      
      Social Democratic Front or SDF [John FRU NDI] 
      
      Union of Peoples of Cameroon or UPC [The PMB, provisionary management bureau]"
Canada,"Bloc Quebecois [Daniel PAILLE] 
      
      Conservative Party of Canada [Stephen HARPER] 
      
      Green Party [Elizabeth MAY] 
      
      Liberal Party [Justin TRUDEAU] 
      
      New Democratic Party or NDP [Thomas MULCAIR]"
Cayman Islands,"People's Progressive Movement or PPM [Kurt TIBBETTS] 
      
      United Democratic Party or UDP [McKeeva BUSH]"
Central African Republic,"Alliance for Democracy and Progress or ADP [Clement BELIBANGA] 
      
      Central African Democratic Rally or RDC [Louis-Pierre GAMBA] 
      
      Civic Forum or FC 
      
      Democratic Forum for Modernity or FODEM [Saturnin NDOMBY] 
      
      Liberal Democratic Party or PLD 
      
      Londo Association or LONDO 
      
      Movement for Democracy and Development or MDD 
      
      MaMovement for the Liberation of the Central African People or MLPC [Martin ZIGUELE ] 
      
      National Convergence or KNK [Francois BOZIZE] 
      
      National Unity Party or PUN 
      
      New Alliance for Progress or NAP [Jean-Jacques DEMAFOUTH] 
      
      Patriotic Front for Progress or FPP [Alexandre Philippe GOUMBA] 
      
      People's Union for the Republic or UPR [Pierre Sammy MAKFOY] 
      
      Social Democratic Party or PSD [Enoch LAKOUE]"
Chad,"Alliance for the Renaissance of Chad or ART, an alliance among the ruling MPS, RDP, and Viva-RNDP 
      
      Federation Action for the Republic or FAR [Ngarledjy YORONGAR] 
      
      National Rally for Development and Progress or Viva-RNDP [Dr. Nouradine Delwa Kassire COUMAKOYE] 
      
      National Union for Democracy and Renewal or UNDR [Saleh KEBZABO] 
      
      Party for Liberty and Development or PLD [Jean-Baptiste LAOKOLE] 
      
      Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] 
      
      Rally for Democracy and Progress or RDP [Lol Mahamat CHOUA] 
      
      Union for Renewal and Democracy or URD [Sande NGARYIMBE]"
Chile,"Broad Social Movement or MAS [Alejandro NAVARRO Brain] 
      
      Citizen Left or IC 
      
      Equality Party [Lautaro GUANCA Vallejos] 
      
      Coalition for Change or CC (also known as the Alliance for Chile (Alianza) or APC) (including National Renewal or RN [Carlos LARRAIN Pena], and Independent Democratic Union or UDI [Patricio MELERO] 
      
      Coalition of Parties for Democracy (Concertacion) or CPD (including Christian Democratic Party or PDC [Ignacio WALKER Prieto], Party for Democracy or PPD [Jaime Daniel QUINTANA Leal], Radical Social Democratic Party or PRSD [Jose Antonio GOMEZ Urrutia], and Socialist Party or PS [Osvaldo ANDRADE Lara]) 
      
      Communist Party of Chile (Partido Comunista de Chile) or PC [Guillermo TEILLIER del Valle] 
      
      Ecological Green Party [Cristian VILLAROEL Novoa] 
      
      Humanist Party or PH [Danilo MONTEVERDE Reyes] 
      
      Independent Regionalist Party or PRI [Carlos OLIVARES Zepeda] 
      
      Progressive Party or PRO [Marco ENRIQUEZ-OMINAMI Gumucio]"
China,"Chinese Communist Party or CCP [XI Jinping] 
      
      eight nominally independent small parties ultimately controlled by the CCP"
Christmas Island,none
Cocos (Keeling) Islands,none
