Afghanistan,7.512 million (2012 est.)
Hong Kong,3.873 million (2013 est.)
Hungary,4.263 million (2013 est.)
Iceland,"181,100 (2013 est.)"
India,487.3 million (2013 est.)
Indonesia,120 million (2013 est.)
Iran,"27.72 million 
      
      
        note: shortage of skilled labor (2013 est.)"
Iraq,8.9 million (2010 est.)
Ireland,2.161 million (2013 est.)
Isle of Man,"41,790 (2006)"
Israel,3.493 million (2013 est.)
Italy,25.74 million (2013 est.)
Jamaica,1.261 million (2013 est.)
Japan,65.62 million (2013 est.)
Jersey,"53,380 (June 2012)"
Jordan,1.898 million (2013 est.)
Kazakhstan,9.022 million (2013 est.)
Kenya,19.67 million (2013 est.)
Kiribati,"7,870 
      
      
        note: economically active, not including subsistence farmers (2001)"
"Korea, North","12.6 million 
      
      
        note: estimates vary widely (2012 est.)"
"Korea, South",25.86 million (2013 est.)
Kosovo,"800,000 
      
      
        note: includes those estimated to be employed in the grey economy (2011 est.)"
Kuwait,"2.38 million 
      
      
        note: non-Kuwaitis represent about 60% of the labor force (2013 est.)"
Kyrgyzstan,2.344 million (2007)
Laos,3.373 million (2013 est.)
Latvia,1.022 million (2013 est.)
Lebanon,"1.481 million 
      
      
        note: does not include as many as 1 million foreign workers (2007 est.)"
Lesotho,"874,200 (2013 est.)"
Liberia,1.372 million (2007)
Libya,1.644 million (2013 est.)
Liechtenstein,"35,830 (2012) 
      
      
        note: 51% of the labor force in Liechtenstein commuted daily from Austria, Switzerland, or Germany (2012)"
Lithuania,1.452 million (2013 est.)
Luxembourg,"208,800 
      
      
        note: data exclude foreign workers; in addition to the figure for domestic labor force, about 150,000 workers commute daily from France, Belgium, and Germany (2013 est.)"
Macau,"367,800 (2013 est.)"
Macedonia,"960,700 (2013 est.)"
Madagascar,9.504 million (2007)
Malawi,5.747 million (2007 est.)
Malaysia,13.19 million (2013 est.)
Maldives,"159,700 (2012)"
Mali,3.241 million (2007 est.)
Malta,"190,400 (2013 est.)"
Marshall Islands,"10,480 (2011 est.)"
Mauritania,1.318 million (2007)
Mauritius,"637,600 (2013 est.)"
Mexico,51.48 million (2013 est.)
"Micronesia, Federated States of","15,920 (2011)"
Moldova,1.206 million (2013 est.)
Monaco,"52,490 
      
      
        note: includes all foreign workers (2012 est.)"
Mongolia,1.037 million (2011 est.)
Montenegro,"251,300 (2011 est.)"
Montserrat,"4,521 (2012)"
Morocco,11.73 million (2013 est.)
Mozambique,10.55 million (2013 est.)
Namibia,"880,400 (2013 est.)"
Nepal,"16 million 
      
      
        note: severe lack of skilled labor (2011 est.)"
Netherlands,7.939 million (2013 est.)
New Caledonia,"106,400 (2010)"
New Zealand,2.413 million (2013 est.)
Nicaragua,3.039 million (2013 est.)
Niger,4.688 million (2007)
Nigeria,51.53 million (2011 est.)
Niue,663 (2001)
Norfolk Island,978 (2006)
Northern Mariana Islands,"38,450 
      
      
        note: includes nearly 29,000 foreign workers (2005 est.)"
Norway,2.707 million (2014 est.)
Oman,"968,800 
      
      
        note: about 60% of the labor force is non-national (2007)"
Pakistan,"59.21 million 
      
      
        note: extensive export of labor, mostly to the Middle East, and use of child labor (2012 est.)"
Palau,"9,777 (2005)"
Panama,"1.54 million 
      
      
        note: shortage of skilled labor, but an oversupply of unskilled labor (2013 est.)"
Papua New Guinea,4.077 million (2013 est.)
Paraguay,3.19 million (2013 est.)
Peru,"16.16 million 
      
      
        note: individuals older than 14 years of age (2012 est.)"
Philippines,41.33 million (2013 est.)
Pitcairn Islands,15 (2004)
Poland,18.22 million (2013 est.)
Portugal,5.395 million (2013 est.)
Puerto Rico,1.286 million (March 2012)
Qatar,1.424 million (2013 est.)
Romania,9.451 million (2013 est.)
Russia,75.29 million (2013 est.)
Rwanda,4.446 million (2007)
"Saint Helena, Ascension, and Tristan da Cunha","2,486 (1998 est.)"
Saint Kitts and Nevis,"18,170 (June 1995)"
Saint Lucia,"79,700 (2012)"
Saint Martin,"17,300 (2008 est.)"
Saint Pierre and Miquelon,"3,194 (2006)"
Saint Vincent and the Grenadines,"57,520 (2007 est.)"
Samoa,"47,930 (2011 est.)"
San Marino,"21,960 (September 2013)"
Sao Tome and Principe,"52,490 (2007)"
Saudi Arabia,"8.412 million 
      
      
        note: about 80% of the labor force is non-national (2013 est.)"
Senegal,6.096 million (2013 est.)
Serbia,1.703 million (2013 est.)
Seychelles,"39,560 (2006)"
Sierra Leone,2.207 million (2007 est.)
Singapore,"3.444 million 
      
      
        note: excludes non-residents (2013 est.)"
Sint Maarten,"23,200 (2008 est.)"
Slovakia,2.727 million (2013 est.)
Slovenia,"913,400 (2013 est.)"
Solomon Islands,"202,500 (2007)"
Somalia,3.447 million (2007)
South Africa,18.54 million (2013 est.)
Spain,23.2 million (2013 est.)
Sri Lanka,8.528 million (2013 est.)
Sudan,11.92 million (2007 est.)
Suriname,"165,600 (2007)"
Svalbard,"1,234 (2003)"
Swaziland,"424,100 (2011 est.)"
Sweden,5.107 million (2013 est.)
Switzerland,4.976 million (2013 est.)
Syria,5.014 million (2013 est.)
Taiwan,11.55 million (2013 est.)
Tajikistan,2.209 million (2013 est.)
Tanzania,25.59 million (2013 est.)
Thailand,39.38 million (2013 est.)
Timor-Leste,"418,200 (2009)"
Togo,2.595 million (2007)
Tokelau,440 (2001)
Tonga,"39,960 (2007)"
Trinidad and Tobago,"621,000 (2013 est.)"
Tunisia,3.974 million (2013 est.)
Turkey,"27.91 million 
      
      
        note: about 1.2 million Turks work abroad (2013 est.)"
Turkmenistan,2.3 million (2008 est.)
Turks and Caicos Islands,"4,848 (1990 est.)"
Tuvalu,"3,615 (2004 est.)"
Uganda,17.4 million (2013 est.)
Ukraine,22.17 million (2013 est.)
United Arab Emirates,"4.588 million 
      
      
        note: expatriates account for about 85% of the work force (2013 est.)"
United Kingdom,30.15 million (2013 est.)
United States,"155.4 million 
      
      
        note: includes unemployed (2013 est.)"
Uruguay,1.7 million (2013 est.)
Uzbekistan,16.99 million (2013 est.)
Vanuatu,"115,900 (2007)"
Venezuela,14.01 million (2013 est.)
Vietnam,52.93 million (2013 est.)
Virgin Islands,"49,820 (2007 est.)"
Wallis and Futuna,"3,104 (2003)"
West Bank,1.025 million (2013 est.)
Western Sahara,"144,000 (2010 est.)"
World,3.308 billion (2013 est.)
Yemen,7.1 million (2013 est.)
Zambia,6.275 million (2013 est.)
Zimbabwe,3.939 million (2013 est.)
