Afghanistan,"name: Kabul 
      
      
        geographic coordinates: 34 31 N, 69 11 E 
      
      
        time difference: UTC+4.5 (9.5 hours ahead of Washington, DC, during Standard Time)"
Mali,"name: Bamako 
      
      
        geographic coordinates: 12 39 N, 8 00 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Malta,"name: Valletta 
      
      
        geographic coordinates: 35 53 N, 14 30 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Marshall Islands,"name: Majuro 
      
      
        geographic coordinates: 7 06 N, 171 23 E 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time)"
Mauritania,"name: Nouakchott 
      
      
        geographic coordinates: 18 04 N, 15 58 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Mauritius,"name: Port Louis 
      
      
        geographic coordinates: 20 09 S, 57 29 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
Mexico,"name: Mexico City (Distrito Federal) 
      
      
        geographic coordinates: 19 26 N, 99 08 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins first Sunday in April; ends last Sunday in October 
      
      
        note: Mexico has three time zones"
"Micronesia, Federated States of","name: Palikir 
      
      
        geographic coordinates: 6 55 N, 158 09 E 
      
      
        time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time)"
Moldova,"name: Chisinau in Romanian (Kishinev in Russian) 
      
      
        note: pronounced KEE-shee-now (KIH-shi-nyev) 
      
      
        geographic coordinates: 47 00 N, 28 51 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Monaco,"name: Monaco 
      
      
        geographic coordinates: 43 44 N, 7 25 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Mongolia,"name: Ulaanbaatar 
      
      
        geographic coordinates: 47 55 N, 106 55 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Montenegro,"name: Podgorica; note - the Old Royal Capital is Cetinje mentioned in the constitution 
      
      
        geographic coordinates: 42 26 N, 19 16 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1 hr, begins last Sunday in March; ends last Sunday in October"
Montserrat,"name: Plymouth; note - Plymouth was abandoned in 1997 because of volcanic activity; interim government buildings have been built at Brades Estate in the Carr's Bay/Little Bay vicinity at the northwest end of Montserrat 
      
      
        geographic coordinates: 16 42 N, 62 13 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Morocco,"name: Rabat 
      
      
        geographic coordinates: 34 01 N, 6 49 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1 hr, begins last Sunday in April; ends last Sunday in September"
Mozambique,"name: Maputo 
      
      
        geographic coordinates: 25 57 S, 32 35 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Namibia,"name: Windhoek 
      
      
        geographic coordinates: 22 34 S, 17 05 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins first Sunday in September; ends first Sunday in April"
Nauru,"no official capital; government offices in Yaren District 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time)"
Nepal,"name: Kathmandu 
      
      
        geographic coordinates: 27 43 N, 85 19 E 
      
      
        time difference: UTC+5.75 (10.75 hours ahead of Washington, DC, during Standard Time)"
Netherlands,"name: Amsterdam; note - The Hague is the seat of government 
      
      
        geographic coordinates: 52 21 N, 4 55 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: time descriptions apply to the continental Netherlands only, not to the Caribbean components"
New Caledonia,"name: Noumea 
      
      
        geographic coordinates: 22 16 S, 166 27 E 
      
      
        time difference: UTC+11 (16 hours ahead of Washington, DC during Standard Time)"
New Zealand,"name: Wellington 
      
      
        geographic coordinates: 41 18 S, 174 47 E 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in September; ends first Sunday in April 
      
      
        note: New Zealand has two time zones - New Zealand standard time (12 hours in advance of UTC), and Chatham Islands time (45 minutes in advance of New Zealand standard time)"
Nicaragua,"name: Managua 
      
      
        geographic coordinates: 12 08 N, 86 15 W 
      
      
        time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time)"
Niger,"name: Niamey 
      
      
        geographic coordinates: 13 31 N, 2 07 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Nigeria,"name: Abuja 
      
      
        geographic coordinates: 9 05 N, 7 32 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Niue,"name: Alofi 
      
      
        geographic coordinates: 19 01 S, 169 55 W 
      
      
        time difference: UTC-11 (6 hours behind Washington, DC, during Standard Time)"
Norfolk Island,"name: Kingston 
      
      
        geographic coordinates: 29 03 S, 167 58 E 
      
      
        time difference: UTC+11.5 (16.5 hours ahead of Washington, DC, during Standard Time)"
Northern Mariana Islands,"name: Saipan 
      
      
        geographic coordinates: 15 12 N, 145 45 E 
      
      
        time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time)"
Norway,"name: Oslo 
      
      
        geographic coordinates: 59 55 N, 10 45 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Oman,"name: Muscat 
      
      
        geographic coordinates: 23 37 N, 58 35 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
Pakistan,"name: Islamabad 
      
      
        geographic coordinates: 33 41 N, 73 03 E 
      
      
        time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time)"
Palau,"name: Melekeok 
      
      
        geographic coordinates: 7 29 N, 134 38 E 
      
      
        time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time)"
Panama,"name: Panama City 
      
      
        geographic coordinates: 8 58 N, 79 32 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Papua New Guinea,"name: Port Moresby 
      
      
        geographic coordinates: 9 27 S, 147 11 E 
      
      
        time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time)"
Paraguay,"name: Asuncion 
      
      
        geographic coordinates: 25 16 S, 57 40 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins first Sunday in October; ends fourth Sunday in March"
Peru,"name: Lima 
      
      
        geographic coordinates: 12 03 S, 77 03 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time)"
Philippines,"name: Manila 
      
      
        geographic coordinates: 14 36 N, 120 58 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Pitcairn Islands,"name: Adamstown 
      
      
        geographic coordinates: 25 04 S, 130 05 W 
      
      
        time difference: UTC-9 (4 hours behind Washington, DC, during Standard Time)"
Poland,"name: Warsaw 
      
      
        geographic coordinates: 52 15 N, 21 00 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Portugal,"name: Lisbon 
      
      
        geographic coordinates: 38 43 N, 9 08 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Puerto Rico,"name: San Juan 
      
      
        geographic coordinates: 18 28 N, 66 07 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Qatar,"name: Doha 
      
      
        geographic coordinates: 25 17 N, 51 32 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Romania,"name: Bucharest 
      
      
        geographic coordinates: 44 26 N, 26 06 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Russia,"name: Moscow 
      
      
        geographic coordinates: 55 45 N, 37 36 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr; note - Russia has announced that it will remain on daylight saving time permanently, which began on 27 March 2011 
      
      
        note: Russia has 9 time zones"
Rwanda,"name: Kigali 
      
      
        geographic coordinates: 1 57 S, 30 03 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Saint Barthelemy,"name: Gustavia 
      
      
        geographic coordinates: 17 53 N, 62 51 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
"Saint Helena, Ascension, and Tristan da Cunha","name: Jamestown 
      
      
        geographic coordinates: 15 56 S, 5 43 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Saint Kitts and Nevis,"name: Basseterre 
      
      
        geographic coordinates: 17 18 N, 62 43 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Saint Lucia,"name: Castries 
      
      
        geographic coordinates: 14 00 N, 61 00 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Saint Martin,"name: Marigot 
      
      
        geographical coordinates: 18 04 N, 63 05 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Saint Pierre and Miquelon,"name: Saint-Pierre 
      
      
        geographic coordinates: 46 46 N, 56 11 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November"
Saint Vincent and the Grenadines,"name: Kingstown 
      
      
        geographic coordinates: 13 08 N, 61 13 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Samoa,"name: Apia 
      
      
        geographic coordinates: 13 49 S, 171 46 W 
      
      
        time difference: UTC+13 (18 hours ahead of Washington, DC, during Standard Time) 
      
      +1hr, begins last Sunday in September; ends first Sunday in April"
San Marino,"name: San Marino 
      
      
        geographic coordinates: 43 56 N, 12 25 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Sao Tome and Principe,"name: Sao Tome 
      
      
        geographic coordinates: 0 20 N, 6 44 E 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Saudi Arabia,"name: Riyadh 
      
      
        geographic coordinates: 24 39 N, 46 42 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Senegal,"name: Dakar 
      
      
        geographic coordinates: 14 44 N, 17 38 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Serbia,"name: Belgrade (Beograd) 
      
      
        geographic coordinates: 44 50 N, 20 30 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Seychelles,"name: Victoria 
      
      
        geographic coordinates: 4 37 S, 55 27 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
Sierra Leone,"name: Freetown 
      
      
        geographic coordinates: 8 29 N, 13 14 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Singapore,"name: Singapore 
      
      
        geographic coordinates: 1 17 N, 103 51 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Sint Maarten,"name: Philipsburg 
      
      
        geographic coordinates: 18 1 N, 63 2 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Slovakia,"name: Bratislava 
      
      
        geographic coordinates: 48 09 N, 17 07 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC,. during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Slovenia,"name: Ljubljana 
      
      
        geographic coordinates: 46 03 N, 14 31 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Solomon Islands,"name: Honiara 
      
      
        geographic coordinates: 9 26 S, 159 57 E 
      
      
        time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time)"
Somalia,"name: Mogadishu 
      
      
        geographic coordinates: 2 04 N, 45 20 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
South Africa,"name: Pretoria (administrative capital); Cape Town (legislative capital); Bloemfontein (judicial capital) 
      
      
        geographic coordinates: 25 42 S, 28 13 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
South Sudan,"name: Juba 
      
      
        geographic coordinates: 04 51 N 31 37 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Spain,"name: Madrid 
      
      
        geographic coordinates: 40 24 N, 3 41 W 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: Spain has two time zones including the Canary Islands"
Sri Lanka,"name: Colombo; note - Sri Jayewardenepura Kotte is the legislative capital 
      
      
        geographic coordinates: 6 55 N, 79 50 E 
      
      
        time difference: UTC+5.5 (10.5 hours ahead of Washington, DC, during Standard Time)"
Sudan,"name: Khartoum 
      
      
        geographic coordinates: 15 36 N, 32 32 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Suriname,"name: Paramaribo 
      
      
        geographic coordinates: 5 50 N, 55 10 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time)"
Svalbard,"name: Longyearbyen 
      
      
        geographic coordinates: 78 13 N, 15 38 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Swaziland,"name: Mbabane; note - Lobamba is the royal and legislative capital 
      
      
        geographic coordinates: 26 19 S, 31 08 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Sweden,"name: Stockholm 
      
      
        geographic coordinates: 59 20 N, 18 03 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Switzerland,"name: Bern 
      
      
        geographic coordinates: 46 55 N, 7 28 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Syria,"name: Damascus 
      
      
        geographic coordinates: 33 30 N, 36 18 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins midnight on the last Friday in March; ends at midnight on the first Friday in November"
Taiwan,"name: Taipei 
      
      
        geographic coordinates: 25 02 N, 121 31 E 
      
      
        time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time)"
Tajikistan,"name: Dushanbe 
      
      
        geographic coordinates: 38 33 N, 68 46 E 
      
      
        time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time)"
Tanzania,"name: Dar es Salaam; note - legislative offices have been transferred to Dodoma, which is planned as the new national capital, and the National Assembly now meets there on a regular basis; the executive branch with all ministries and diplomatic representation remains in Dar es Salaam 
      
      
        geographic coordinates: 6 48 S, 39 17 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Thailand,"name: Bangkok 
      
      
        geographic coordinates: 13 45 N, 100 31 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time)"
Timor-Leste,"name: Dili 
      
      
        geographic coordinates: 8 35 S, 125 36 E 
      
      
        time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time)"
Togo,"name: Lome 
      
      
        geographic coordinates: 6 07 N, 1 13 E 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time)"
Tokelau,"none; each atoll has its own administrative center 
      
      
        time difference: UTC+13 (18 hours ahead of Washington, DC during Standard Time)"
Tonga,"name: Nuku'alofa 
      
      
        geographic coordinates: 21 08 S, 175 12 W 
      
      
        time difference: UTC+13 (18 hours ahead of Washington, DC, during Standard Time)"
Trinidad and Tobago,"name: Port of Spain 
      
      
        geographic coordinates: 10 39 N, 61 31 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Tunisia,"name: Tunis 
      
      
        geographic coordinates: 36 48 N, 10 11 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Turkey,"name: Ankara 
      
      
        geographic coordinates: 39 56 N, 32 52 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Turkmenistan,"name: Ashgabat (Ashkhabad) 
      
      
        geographic coordinates: 37 57 N, 58 23 E 
      
      
        time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time)"
Turks and Caicos Islands,"name: Grand Turk (Cockburn Town) 
      
      
        geographic coordinates: 21 28 N, 71 08 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November"
Tuvalu,"name: Funafuti; note - administrative offices are in Vaiaku Village on Fongafale Islet 
      
      
        geographic coordinates: 8 31 S, 179 13 E 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time)"
Uganda,"name: Kampala 
      
      
        geographic coordinates: 0 19 N, 32 33 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Ukraine,"name: Kyiv (Kiev) 
      
      
        note: pronounced KAY-yiv 
      
      
        geographic coordinates: 50 26 N, 30 31 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
United Arab Emirates,"name: Abu Dhabi 
      
      
        geographic coordinates: 24 28 N, 54 22 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
United Kingdom,"name: London 
      
      
        geographic coordinates: 51 30 N, 0 05 W 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October 
      
      
        note: applies to the United Kingdom proper, not to its overseas dependencies or territories"
United States,"name: Washington, DC 
      
      
        geographic coordinates: 38 53 N, 77 02 W 
      
      
        time difference: UTC-5 (during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November 
      
      
        note: the 50 United States cover six time zones"
Uruguay,"name: Montevideo 
      
      
        geographic coordinates: 34 51 S, 56 10 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins first Sunday in October; ends second Sunday in March"
Uzbekistan,"name: Tashkent (Toshkent) 
      
      
        geographic coordinates: 41 19 N, 69 15 E 
      
      
        time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time)"
Vanuatu,"name: Port-Vila (on Efate) 
      
      
        geographic coordinates: 17 44 S, 168 19 E 
      
      
        time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time)"
Venezuela,"name: Caracas 
      
      
        geographic coordinates: 10 29 N, 66 52 W 
      
      
        time difference: UTC-4.5 (a half hour ahead of Washington, DC, during Standard Time)"
Vietnam,"name: Hanoi (Ha Noi) 
      
      
        geographic coordinates: 21 02 N, 105 51 E 
      
      
        time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time)"
Virgin Islands,"name: Charlotte Amalie 
      
      
        geographic coordinates: 18 21 N, 64 56 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Wallis and Futuna,"name: Mata-Utu (on Ile Uvea) 
      
      
        geographic coordinates: 13 57 S, 171 56 W 
      
      
        time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time)"
Western Sahara,"Laayoune (administrative center) 
      
      
        time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in April; ends last Sunday in September"
Yemen,"name: Sanaa 
      
      
        geographic coordinates: 15 21 N, 44 12 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Zambia,"name: Lusaka 
      
      
        geographic coordinates: 15 25 S, 28 17 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
Zimbabwe,"name: Harare 
      
      
        geographic coordinates: 17 49 S, 31 02 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
