Afghanistan,18 million (2012)
Suriname,"977,000 (2012)"
Swaziland,"805,000 (2012)"
Sweden,11.643 million (2012)
Switzerland,10.46 million (2012)
Syria,12.928 million (2012)
Taiwan,29.455 million (2012)
Tajikistan,6.528 million (2012)
Tanzania,27.22 million (2012)
Thailand,84.075 million (2012)
Timor-Leste,"621,000 (2012)"
Togo,3.518 million (2012)
Tonga,"56,000 (2012)"
Trinidad and Tobago,1.884 million (2012)
Tunisia,12.84 million (2012)
Turkey,67.68 million (2012)
Turkmenistan,3.953 million (2012)
Tuvalu,"2,800 (2012)"
Uganda,16.355 million (2012)
Ukraine,59.344 million (2012)
United Arab Emirates,13.775 million (2012)
United Kingdom,82.109 million (2012)
United States,310 million (2012)
Uruguay,5 million (2012)
Uzbekistan,20.274 million (2012)
Vanuatu,"137,000 (2012)"
Venezuela,30.52 million (2012)
Vietnam,134.066 million (2012)
Virgin Islands,"80,300 (2005)"
West Bank,3.041 million (includes Gaza Strip) (2012)
World,6 billion (2011)
Yemen,13.9 million (2012)
Zambia,10.525 million (2012)
Zimbabwe,12.614 million (2012)
