Afghanistan,"0.19 physicians/1,000 population (2010)"
El Salvador,"1.6 physicians/1,000 population (2008)"
Equatorial Guinea,"0.3 physicians/1,000 population (2004)"
Eritrea,"0.05 physicians/1,000 population (2004)"
Estonia,"3.34 physicians/1,000 population (2010)"
Ethiopia,"0.03 physicians/1,000 population (2009)"
Fiji,"0.43 physicians/1,000 population (2009)"
Finland,"2.9 physicians/1,000 population (2010)"
France,"3.38 physicians/1,000 population (2011)"
Gabon,"0.29 physicians/1,000 population (2004)"
"Gambia, The","0.11 physicians/1,000 population (2008)"
Georgia,"4.24 physicians/1,000 population (2011)"
Germany,"3.69 physicians/1,000 population (2010)"
Ghana,"0.09 physicians/1,000 population (2009)"
Greece,"6.04 physicians/1,000 population (2008)"
Greenland,"1.67 physicians/1,000 population (2009)"
Grenada,"0.66 physicians/1,000 population (2006)"
Guatemala,"0.93 physicians/1,000 population (2009)"
Guinea,"0.1 physicians/1,000 population (2005)"
Guinea-Bissau,"0.07 physicians/1,000 population (2009)"
Guyana,"0.21 physicians/1,000 population (2010)"
Haiti,"0.25 physicians/1,000 population (1998)"
Honduras,"0.37 physicians/1,000 population (2005)"
Hungary,"3.41 physicians/1,000 population (2010)"
Iceland,"3.46 physicians/1,000 population (2011)"
India,"0.65 physicians/1,000 population (2009)"
Indonesia,"0.2 physicians/1,000 population (2012)"
Iran,"0.89 physicians/1,000 population (2005)"
Iraq,"0.61 physicians/1,000 population (2010)"
Ireland,"3.19 physicians/1,000 population (2008)"
Israel,"3.11 physicians/1,000 population (2011)"
Italy,"3.8 physicians/1,000 population (2009)"
Jamaica,"0.41 physicians/1,000 population (2008)"
Japan,"2.14 physicians/1,000 population (2008)"
Jordan,"2.56 physicians/1,000 population (2010)"
Kazakhstan,"3.84 physicians/1,000 population (2011)"
Kenya,"0.18 physicians/1,000 population (2011)"
Kiribati,"0.38 physicians/1,000 population (2010)"
"Korea, North","3.29 physicians/1,000 population (2003)"
"Korea, South","2.02 physicians/1,000 population (2010)"
Kuwait,"1.79 physicians/1,000 population (2009)"
Kyrgyzstan,"2.47 physicians/1,000 population (2011)"
Laos,"0.19 physicians/1,000 population (2009)"
Latvia,"2.9 physicians/1,000 population (2010)"
Lebanon,"3.54 physicians/1,000 population (2009)"
Lesotho,"0.05 physicians/1,000 population (2003)"
Liberia,"0.01 physicians/1,000 population (2008)"
Libya,"1.9 physicians/1,000 population (2009)"
Lithuania,"3.64 physicians/1,000 population (2010)"
Luxembourg,"2.78 physicians/1,000 population (2011)"
Macedonia,"2.62 physicians/1,000 population (2009)"
Madagascar,"0.16 physicians/1,000 population (2007)"
Malawi,"0.02 physicians/1,000 population (2008)"
Malaysia,"1.2 physicians/1,000 population (2010)"
Maldives,"1.6 physicians/1,000 population (2007)"
Mali,"0.08 physicians/1,000 population (2010)"
Malta,"3.23 physicians/1,000 population (2011)"
Marshall Islands,"0.44 physicians/1,000 population (2010)"
Mauritania,"0.13 physicians/1,000 population (2009)"
Mauritius,"1.06 physicians/1,000 population (2004)"
Mexico,"1.96 physicians/1,000 population (2009)"
"Micronesia, Federated States of","0.18 physicians/1,000 population (2009)"
Moldova,"3.64 physicians/1,000 population (2011)"
Monaco,"7.06 physicians/1,000 population (2011)"
Mongolia,"2.76 physicians/1,000 population (2008)"
Montenegro,"2.03 physicians/1,000 population (2010)"
Morocco,"0.62 physicians/1,000 population (2009)"
Mozambique,"0.03 physicians/1,000 population (2008)"
Namibia,"0.37 physicians/1,000 population (2007)"
Nauru,"0.71 physicians/1,000 population (2010)"
Nepal,"0.21 physicians/1,000 population (2004)"
Netherlands,"3.92 physicians/1,000 population (2007)"
New Zealand,"2.74 physicians/1,000 population (2010)"
Nicaragua,"0.37 physicians/1,000 population (2003)"
Niger,"0.02 physicians/1,000 population (2008)"
Nigeria,"0.4 physicians/1,000 population (2008)"
Niue,"6 physicians/1,000 population (2008)"
Norway,"3.7 physicians/1,000 population (2011)"
Oman,"2.05 physicians/1,000 population (2010)"
Pakistan,"0.81 physicians/1,000 population (2009)"
Palau,"1.38 physicians/1,000 population (2010)"
Panama,"1.5 physicians/1,000 population (2000)"
Papua New Guinea,"0.05 physicians/1,000 population (2008)"
Paraguay,"1.11 physicians/1,000 population (2002)"
Peru,"0.92 physicians/1,000 population (2009)"
Philippines,"1.15 physicians/1,000 population (2004)"
Poland,"2.07 physicians/1,000 population (2010)"
Portugal,"3.76 physicians/1,000 population (2009)"
Qatar,"2.76 physicians/1,000 population (2006)"
Romania,"2.39 physicians/1,000 population (2010)"
Russia,"4.31 physicians/1,000 population (2006)"
Rwanda,"0.06 physicians/1,000 population (2010)"
Saint Kitts and Nevis,"1.17 physicians/1,000 population (2001)"
Saint Lucia,"0.47 physicians/1,000 population (2002)"
Saint Vincent and the Grenadines,"0.53 physicians/1,000 population (2001)"
Samoa,"0.48 physicians/1,000 population (2008)"
San Marino,"4.88 physicians/1,000 population (2011)"
Sao Tome and Principe,"0.49 physicians/1,000 population (2004)"
Saudi Arabia,"0.94 physicians/1,000 population (2008)"
Senegal,"0.06 physicians/1,000 population (2008)"
Serbia,"2.11 physicians/1,000 population (2009)"
Seychelles,"1.51 physicians/1,000 population (2004)"
Sierra Leone,"0.02 physicians/1,000 population (2010)"
Singapore,"1.92 physicians/1,000 population (2010)"
Slovakia,"3 physicians/1,000 population (2007)"
Slovenia,"2.54 physicians/1,000 population (2010)"
Solomon Islands,"0.22 physicians/1,000 population (2009)"
Somalia,"0.04 physicians/1,000 population (2006)"
South Africa,"0.76 physicians/1,000 population (2011)"
Spain,"3.96 physicians/1,000 population (2011)"
Sri Lanka,"0.49 physicians/1,000 population (2006)"
Sudan,"0.28 physicians/1,000 population (2008)"
Suriname,"0.91 physicians/1,000 population (2004)"
Swaziland,"0.17 physicians/1,000 population (2009)"
Sweden,"3.8 physicians/1,000 population (2010)"
Switzerland,"4.08 physicians/1,000 population (2010)"
Syria,"1.5 physicians/1,000 population (2008)"
Tajikistan,"1.9 physicians/1,000 population (2011)"
Tanzania,"0.01 physicians/1,000 population (2006)"
Thailand,"0.3 physicians/1,000 population (2004)"
Timor-Leste,"0.1 physicians/1,000 population (2004)"
Togo,"0.05 physicians/1,000 population (2008)"
Tonga,"0.56 physicians/1,000 population (2010)"
Trinidad and Tobago,"1.18 physicians/1,000 population (2007)"
Tunisia,"1.22 physicians/1,000 population (2010)"
Turkey,"1.71 physicians/1,000 population (2011)"
Turkmenistan,"2.44 physicians/1,000 population (2007)"
Tuvalu,"1.09 physicians/1,000 population (2009)"
Uganda,"0.12 physicians/1,000 population (2005)"
Ukraine,"3.52 physicians/1,000 population (2011)"
United Arab Emirates,"1.93 physicians/1,000 population (2007)"
United Kingdom,"2.77 physicians/1,000 population (2011)"
United States,"2.42 physicians/1,000 population (2009)"
Uruguay,"3.74 physicians/1,000 population (2008)"
Uzbekistan,"2.54 physicians/1,000 population (2010)"
Vanuatu,"0.12 physicians/1,000 population (2008)"
Venezuela,"1.94 physicians/1,000 population (2001)"
Vietnam,"1.22 physicians/1,000 population (2008)"
Yemen,"0.2 physicians/1,000 population (2010)"
Zambia,"0.07 physicians/1,000 population (2010)"
Zimbabwe,"0.06 physicians/1,000 population (2009)"
