Afghanistan,$20.65 billion (2013 est.)
Georgia,$15.95 billion (2013 est.)
Germany,$3.593 trillion (2013 est.)
Ghana,$45.55 billion (2013 est.)
Gibraltar,$1.106 billion (2006 est.)
Greece,$243.3 billion (2013 est.)
Greenland,$2.16 billion (2011 est.)
Grenada,$811 million (2013 est.)
Guam,$4.6 billion (2010 est.)
Guatemala,$53.9 billion (2013 est.)
Guernsey,$2.742 billion (2005 est.)
Guinea,$6.544 billion (2013 est.)
Guinea-Bissau,$880 million (2013 est.)
Guyana,$3.02 billion (2013 est.)
Haiti,$8.287 billion (2013 est.)
Honduras,$18.88 billion (2013 est.)
Hong Kong,$272.1 billion (2013 est.)
Hungary,$130.6 billion (2013 est.)
Iceland,$14.59 billion (2013 est.)
India,$1.67 trillion (2013 est.)
Indonesia,$867.5 billion (2013 est.)
Iran,$411.9 billion (2013 est.)
Iraq,$221.8 billion (2013 est.)
Ireland,$220.9 billion (2013 est.)
Isle of Man,$4.076 billion (2007 est.)
Israel,$272.7 billion (2013 est.)
Italy,$2.068 trillion (2013 est.)
Jamaica,$14.39 billion (2013 est.)
Japan,$5.007 trillion (2013 est.)
Jersey,$5.1 billion (2005 est.)
Jordan,$34.08 billion (2013 est.)
Kazakhstan,$224.9 billion (2013 est.)
Kenya,$45.31 billion (2013 est.)
Kiribati,$173 million (2013 est.)
"Korea, North",$28 billion (2009 est.)
"Korea, South",$1.198 trillion (2013 est.)
Kosovo,$7.15 billion (2013 est.)
Kuwait,$179.5 billion (2013 est.)
Kyrgyzstan,$7.234 billion (2013 est.)
Laos,$10.1 billion (2013 est.)
Latvia,$30.38 billion (2013 est.)
Lebanon,$43.49 billion (2013 est.)
Lesotho,$2.457 billion (2013 est.)
Liberia,$1.977 billion (2013 est.)
Libya,$70.92 billion (2013 est.)
Liechtenstein,$5.113 billion (2010 est.)
Lithuania,$46.71 billion (2013 est.)
Luxembourg,$60.54 billion (2013 est.)
Macau,$51.68 billion (2013 est.)
Macedonia,$10.65 billion (2013 est.)
Madagascar,$10.53 billion (2013 est.)
Malawi,$3.683 billion (2013 est.)
Malaysia,$312.4 billion (2013 est.)
Maldives,$2.27 billion (2013 est.)
Mali,$11.37 billion (2013 est.)
Malta,$9.541 billion (2013 est.)
Marshall Islands,$193 million (2013 est.)
Mauritania,$4.183 billion (2013 est.)
Mauritius,$11.9 billion (2013 est.)
Mexico,$1.327 trillion (2013 est.)
"Micronesia, Federated States of",$339 million (2013 est.)
Moldova,$7.932 billion (2013 est.)
Monaco,$5.748 billion (2011 est.)
Mongolia,$11.14 billion (2013 est.)
Montenegro,$4.518 billion (2013 est.)
Montserrat,$NA
Morocco,$104.8 billion (2013 est.)
Mozambique,$14.67 billion (2013 est.)
Namibia,$12.3 billion (2013 est.)
Nauru,$NA
Nepal,$19.34 billion (2013 est.)
Netherlands,$722.3 billion (2013 est.)
New Caledonia,$9.28 billion (2008 est.)
New Zealand,$181.1 billion (2013 est.)
Nicaragua,$11.26 billion (2013 est.)
Niger,$7.304 billion (2013 est.)
Nigeria,$502 billion (2013 est.)
Niue,$10.01 million (2003)
Northern Mariana Islands,$733 million (2010 est.)
Norway,$515.8 billion (2013 est.)
Oman,$81.95 billion (2013 est.)
Pakistan,$236.5 billion (2013 est.)
Palau,$221 million (2011 est.)
Panama,$40.62 billion (2013 est.)
Papua New Guinea,$16.1 billion (2013 est.)
Paraguay,$30.56 billion (2013 est.)
Peru,$210.3 billion (2013 est.)
Philippines,$272.2 billion (2013 est.)
Poland,$513.9 billion (2013 est.)
Portugal,$219.3 billion (2013 est.)
Puerto Rico,$93.52 billion (2010 est.)
Qatar,$213.1 billion (2013 est.)
Romania,$188.9 billion (2013 est.)
Russia,$2.113 trillion (2013 est.)
Rwanda,$7.7 billion (2013 est.)
"Saint Helena, Ascension, and Tristan da Cunha",$NA
Saint Kitts and Nevis,$767 million (2013 est.)
Saint Lucia,$1.377 billion (2013 est.)
Saint Martin,$561.5 million (2005 est.)
Saint Pierre and Miquelon,$215.3 million (2006 est.)
Saint Vincent and the Grenadines,$742 million (2013 est.)
Samoa,$705 million (2013 est.)
San Marino,$1.866 billion (2013 est.)
Sao Tome and Principe,$311 million (2013 est.)
Saudi Arabia,$718.5 billion (2013 est.)
Senegal,$15.36 billion (2013 est.)
Serbia,$43.68 billion (2013 est.)
Seychelles,$1.271 billion (2013 est.)
Sierra Leone,$4.607 billion (2013 est.)
Singapore,$295.7 billion (2013 est.)
Sint Maarten,$794.7 million (2008)
Slovakia,$96.96 billion (2013 est.)
Slovenia,$46.82 billion (2013 est.)
Solomon Islands,$1.099 billion (2013 est.)
Somalia,$2.372 billion (2010 est.)
South Africa,$353.9 billion (2013 est.)
South Sudan,$11.77 billion (2013 est.)
Spain,$1.356 trillion (2013 est.)
Sri Lanka,$65.12 billion (2013 est.)
Sudan,$52.5 billion (2013 est.)
Suriname,$5.009 billion (2013 est.)
Swaziland,$3.807 billion (2013 est.)
Sweden,$552 billion (2013 est.)
Switzerland,$646.2 billion (2013 est.)
Syria,$64.7 billion (2011 est.)
Taiwan,$484.7 billion (2013 est.)
Tajikistan,$8.513 billion (2013 est.)
Tanzania,$31.94 billion (2013 est.)
Thailand,$400.9 billion (2013 est.)
Timor-Leste,"$6.129 billion 
      
      
        note: non-oil GDP (2013 est.)"
Togo,$4.299 billion (2013 est.)
Tokelau,$NA
Tonga,$477 million (2013 est.)
Trinidad and Tobago,$27.13 billion (2013 est.)
Tunisia,$48.38 billion (2013 est.)
Turkey,$821.8 billion (2013 est.)
Turkmenistan,$40.56 billion (2013 est.)
Turks and Caicos Islands,$NA
Tuvalu,$38 million (2013 est.)
Uganda,$22.6 billion (2013 est.)
Ukraine,$175.5 billion (2013 est.)
United Arab Emirates,$390 billion (2013 est.)
United Kingdom,$2.49 trillion (2013 est.)
United States,$16.72 trillion (2013 est.)
Uruguay,$57.11 billion (2013 est.)
Uzbekistan,$55.18 billion (2013 est.)
Vanuatu,$828 million (2013 est.)
Venezuela,$367.5 billion (2013 est.)
Vietnam,$170 billion (2013 est.)
Virgin Islands,$NA
Wallis and Futuna,$NA
West Bank,"$6.641 billion 
      
      
        note: includes Gaza Strip (2008 est.)"
Western Sahara,$NA
World,GWP (gross world product): $74.31 trillion (2013 est.)
Yemen,$43.89 billion (2013 est.)
Zambia,$22.24 billion (2013 est.)
Zimbabwe,$10.48 billion (2013 est.)
