Afghanistan,"Afghan Armed Forces: Afghan National Army (ANA, includes Afghan Air Force (AAF)) (2011)"
Botswana,"Botswana Defense Force (BDF): Ground Forces Command, Air Wing Command, Defense Logistics Command, Special Forces Group (2013)"
Brazil,"Brazilian Army (Exercito Brasileiro, EB), Brazilian Navy (Marinha do Brasil (MB), includes Naval Air and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB) (2011)"
British Indian Ocean Territory,no regular military forces (2014)
Brunei,"Royal Brunei Armed Forces: Royal Brunei Land Forces, Royal Brunei Navy, Royal Brunei Air Force (Tentera Udara Diraja Brunei) (2013)"
Bulgaria,"Bulgarian Armed Forces: Ground Forces, Naval Forces, Bulgarian Air Forces (Bulgarski Voennovazdyshni Sily, BVVS) (2011)"
Burkina Faso,"Army, Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie (2011)"
Burma,"Myanmar Armed Forces (Tatmadaw): Army (Tatmadaw Kyi), Navy (Tatmadaw Yay), Air Force (Tatmadaw Lay) (2013)"
Burundi,"National Defense Forces (Forces de Defense Nationale, FDN): Army (includes maritime wing, Air Wing), National Gendarmerie (2013)"
Cabo Verde,"Armed Forces: Army (also called the National Guard, GN), Cabo Verde Coast Guard (Guardia Costeira de Cabo Verde, GCCV; includes naval infantry) (2013)"
Cambodia,"Royal Cambodian Armed Forces: Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force (2013)"
Cameroon,"Cameroon Armed Forces (Forces Armees Camerounaises, FAC), Army (L'Armee de Terre), Navy (Marine Nationale Republique (MNR), includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC), Fire Fighter Corps, Gendarmerie (2013)"
Canada,"Canadian Forces: Canadian Army, Royal Canadian Navy, Royal Canadian Air Force, Canada Command (homeland security) (2011)"
Cayman Islands,no regular military forces; Royal Cayman Islands Police Force (2012)
Central African Republic,"Central African Armed Forces (Forces Armees Centrafricaines, FACA): Ground Forces (includes Military Air Service), General Directorate of Gendarmerie Inspection (DGIG), National Police (2011)"
Chad,"Chadian National Army (Armee Nationale du Tchad, ANT): Ground Forces (l'Armee de Terre, AdT), Chadian Air Force (l'Armee de l'Air Tchadienne, AAT), National Gendarmerie, National and Nomadic Guard of Chad (GNNT) (2013)"
Chile,"Army of the Nation, Chilean Navy (Armada de Chile, includes Naval Aviation, Marine Corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh), Carabineros Corps (Cuerpo de Carabineros) (2011)"
China,"People's Liberation Army (PLA): Ground Forces, Navy (PLAN; includes marines and naval aviation), Air Force (Zhongguo Renmin Jiefangjun Kongjun, PLAAF; includes Airborne Forces), and Second Artillery Corps (strategic missile force); People's Armed Police (Renmin Wuzhuang Jingcha Budui, PAP); PLA Reserve Force (2012)"
Colombia,"National Army (Ejercito Nacional), Republic of Colombia Navy (Armada Republica de Colombia, ARC, includes Naval Aviation, Naval Infantry (Infanteria de Marina, IM), and Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC) (2012)"
Comoros,"Army of National Development (l'Armee du Developpement Nationale, AND): Comoran Security Force (also called Comoran Defense Force (Force Comorienne de Defense, FCD), includes Gendarmerie), Comoran Coast Guard, Comoran Federal Police (2013)"
"Congo, Democratic Republic of the","Armed Forces of the Democratic Republic of the Congo (Forces d'Armees de la Republique Democratique du Congo, FARDC): Army, National Navy (La Marine Nationale), Congolese Air Force (Force Aerienne Congolaise, FAC) (2011)"
"Congo, Republic of the","Congolese Armed Forces (Forces Armees Congolaises, FAC): Army (Armee de Terre), Navy, Congolese Air Force (Armee de l'Air Congolaise); Gendarmerie; Special Presidential Security Guard (GSSP) (2013)"
Cook Islands,no regular military forces; National Police Department (2009)
Costa Rica,"no regular military forces; Ministry of Public Security, Government, and Police (2011)"
Cote d'Ivoire,"Republican Forces of Cote d'Ivoire (Force Republiques de Cote d'Ivoire, FRCI): Army, Navy, Cote d'Ivoire Air Force (Force Aerienne de la Cote d'Ivoire) 
      
      
        note: FRCI is the former Armed Forces of the New Forces (FAFN) (2013)"
Croatia,"Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH) consists of five major commands directly subordinate to a General Staff: Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM; includes coast guard), Air Force and Air Defense Command (Hrvatsko Ratno Zrakoplovstvo I Protuzracna Obrana), Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2012)"
Cuba,"Revolutionary Armed Forces (Fuerzas Armadas Revolucionarias, FAR): Revolutionary Army (Ejercito Revolucionario, ER, includes Territorial Militia Troops (Milicia de Tropas de Territoriales, MTT)); Revolutionary Navy (Marina de Guerra Revolucionaria, MGR, includes Marine Corps); Revolutionary Air and Air Defense Forces (Defensas Anti-Aereas y Fuerza Aerea Revolucionaria, DAAFAR), Youth Labor Army (Ejercito Juvenil del Trabajo, EJT) (2013)"
Curacao,no regular military forces; the Dutch Government controls foreign and defense policy (2012)
Cyprus,"Republic of Cyprus: Cypriot National Guard (Ethniki Froura, EF; includes naval and air elements); Northern Cyprus: Turkish Cypriot Security Force (GKK) (2014)"
Czech Republic,Army of the Czech Republic (Armada Ceske Republiky): Joint Forces Command (Spolocene Sily; includes Land Forces (Pozemni Sily) and Air Forces (Vzdusne Sily)) (2013)
Denmark,"Defense Command: Army Operational Command, Admiral Danish Fleet, Arctic Command, Tactical Air Command, Home Guard (2010)"
Djibouti,"Djibouti Armed Forces (Forces Armees Djiboutiennes, FAD): Djibouti National Army (includes Navy, Djiboutian Air Force (Force Aerienne Djiboutienne, FAD), National Gendarmerie (GN)) (2013)"
Dominica,no regular military forces; Commonwealth of Dominica Police Force (includes Coast Guard) (2012)
Dominican Republic,"Army (Ejercito Nacional, EN), Navy (Marina de Guerra, MdG; includes naval infantry), Dominican Air Force (Fuerza Aerea Dominicana, FAD) (2013)"
Ecuador,"Ecuadorian Armed Forces: Ecuadorian Land Force (Fuerza Terrestre Ecuatoriana, FTE), Ecuadorian Navy (Fuerza Naval del Ecuador (FNE), includes Naval Infantry, Naval Aviation, Coast Guard), Ecuadorian Air Force (Fuerza Aerea Ecuatoriana, FAE) (2012)"
Egypt,"Army, Navy, Egyptian Air Force (Al-Quwwat al-Jawwiya il-Misriya), Egyptian Air Defense Command (2013)"
El Salvador,"Salvadoran Armed Forces (Fuerza Armada de El Salvador, FAES): Salvadoran Army (Ejercito de El Salvador, ES), Salvadoran Navy (Fuerza Naval de El Slavador, FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2013)"
Equatorial Guinea,"Equatorial Guinea Armed Forces (FAGE): Equatorial Guinea National Guard (Guardia Nacional de Guinea Ecuatorial, GNGE (Army); Navy; Air Force (2013)"
Eritrea,"Eritrean Armed Forces: Eritrean Ground Forces, Eritrean Navy, Eritrean Air Force (includes Air Defense Force) (2011)"
Estonia,"Estonian Defense Forces (Eesti Kaitsevagi): Land Force (Maavagi), Navy (Merevagi), Air Force (Ohuvagi), Defense League (Kaitseliit) (2012)"
Ethiopia,"Ethiopian National Defense Force (ENDF): Ground Forces, Ethiopian Air Force (Ye Ityopya Ayer Hayl, ETAF) (2013)"
Falkland Islands (Islas Malvinas),no regular military forces
Faroe Islands,no regular military forces (2012)
Fiji,"Republic of Fiji Military Forces (RFMF): Land Forces, Naval Forces (2011)"
Finland,"Finnish Defense Forces (FDF): Army (Puolustusvoimat), Navy (Merivoimat; includes Coastal Defense Forces), Air Force (Ilmavoimat) (2013)"
France,"Army (Armee de Terre; includes Marines, Foreign Legion, Army Light Aviation), Navy (Marine Nationale), Air Force (Armee de l'Air (AdlA); includes Air Defense) (2011)"
French Polynesia,no regular military forces (2011)
Gabon,"Gabonese Defense Forces (Forces de Defense Gabonaise): Land Force (Force Terrestre), Gabonese Navy (Marine Gabonaise), Gabonese Air Forces (Forces Aerienne Gabonaises, FAG) (2012)"
"Gambia, The","Office of the Chief of Defense Staff: Gambian National Army (GNA), Gambian Navy (GN), Republican National Guard (RNG) (2010)"
Gaza Strip,"Hamas does not have a conventional military in the Gaza Strip, but maintains security forces in addition to its military wing, the 'Izz al-Din al-Qassam Brigades; the military wing reports to the external Hamas Political Bureau leadership, which has been in exile in Cairo and Doha since closing its Damascus headquarters in late 2011 (2013)"
Georgia,"Georgian Armed Forces: Land Forces (include Air and Air Defense Forces); separatist Abkhazia Armed Forces: Ground Forces, Air Forces; separatist South Ossetia Armed Forces 
      
      
        note: Georgian naval forces have been incorporated into the coast guard, which is not part of the Defense Ministry (2011)"
Germany,"Federal Armed Forces (Bundeswehr): Army (Heer); Navy (Deutsche Marine, includes naval air arm); Air Force (Luftwaffe); Joint Support Services (Streitkraeftebasis, SKB); Central Medical Service (Zentraler Sanitaetsdienst, ZSanDstBw) (2013)"
Ghana,"Ghana Army, Ghana Navy, Ghana Air Force (2012)"
Gibraltar,Royal Gibraltar Regiment (2013)
Greece,"Hellenic Army (Ellinikos Stratos, ES), Hellenic Navy (Elliniko Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polemiki Aeroporia, EPA) (2013)"
Greenland,no regular military forces
Grenada,no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2010)
Guatemala,"National Army of Guatemala (Ejercito Nacional de Guatemala, ENG; includes Guatemalan Navy (Fuerza de Mar, including Marines) and Guatemalan Air Force (Fuerza Aerea Guatemalteca, FAG)) (2013)"
Guinea,"National Armed Forces: Army, Guinean Navy (Armee de Mer or Marine Guineenne, includes Marines), Guinean Air Force (Force Aerienne de Guinee) (2009)"
Guinea-Bissau,"People's Revolutionary Armed Force (FARP): Army, Navy, National Air Force (Forca Aerea Nacional); Presidential Guard (2012)"
Guyana,"Guyana Defense Force: Army (includes Air Corps, Coast Guard) (2012)"
Haiti,"no regular military forces - small Coast Guard; a Ministry of National Defense established May 2012; the regular Haitian Armed Forces (FAdH) - Army, Navy, and Air Force - have been demobilized but still exist on paper until or unless they are constitutionally abolished (2011)"
Holy See (Vatican City),Pontifical Swiss Guard Corps (Corpo della Guardia Svizzera Pontificia) (2013)
Honduras,"Honduran Armed Forces (Fuerzas Armadas de Honduras, FFAA): Army, Navy (includes Naval Infantry), Honduran Air Force (Fuerza Aerea Hondurena, FAH) (2012)"
Hong Kong,"no regular indigenous military forces; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of the PLA Ground Forces, PLA Navy, and PLA Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Guangzhou Military Region (2012)"
Hungary,"Hungarian Defense Forces: Land Forces, Hungarian Air Force (Magyar Legiero, ML) (2011)"
Iceland,no regular military forces; Icelandic National Police; Icelandic Coast Guard (2013)
India,Army; Navy (includes naval air arm); Air Force; Coast Guard (2011)
Indonesia,"Indonesian Armed Forces (Tentara Nasional Indonesia, TNI): Army (TNI-Angkatan Darat (TNI-AD)), Navy (TNI-Angkatan Laut (TNI-AL); includes marines (Korps Marinir, KorMar), naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Kommando Pertahanan Udara Nasional (Kohanudnas)) (2013)"
Iran,"Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force (IRIAF), Khatemolanbia Air Defense Headquarters; Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Resistance Forces, Navy, Aerospace Force, Quds Force (special operations); Law Enforcement Forces (2011)"
Iraq,"Counterterrorism Service Forces: Counterterrorism Command; Iraqi Special Operations Forces (ISOF); Ministry of Defense Forces: Iraqi Army (includes Army Aviation Directorate, former National Guard Iraqi Intervention Forces, and Strategic Infrastructure Battalions), Iraqi Navy (former Iraqi Coastal Defense Force, includes Iraq Marine Force), Iraqi Air Force (Al-Quwwat al-Jawwiya al-Iraqiya) (2011)"
Ireland,"Irish Defence Forces (Oglaigh na h-Eireannn), Permanent Defence Forces (PDF): Army, Naval Service, Air Corps; Reserve Defence Forces (RDF): Army, Naval Service Reserves (2014)"
Israel,"Israel Defense Forces (IDF), Israel Naval Force (IN), Israel Air Force (IAF) (2010)"
Italy,"Italian Armed Forces: Army (Esercito Italiano, EI), Navy (Marina Militare Italiana, MMI), Italian Air Force (Aeronautica Militare Italiana, AMI), Carabinieri Corps (Arma dei Carabinieri, CC) (2011)"
Jamaica,"Jamaica Defense Force: Ground Forces, Coast Guard, Air Wing (2010)"
Japan,"Japanese Ministry of Defense (MOD): Ground Self-Defense Force (Rikujou Jieitai, GSDF); Maritime Self-Defense Force (Kaijou Jieitai, MSDF); Air Self-Defense Force (Koukuu Jieitai, ASDF) (2011)"
Jordan,"Jordanian Armed Forces (JAF): Royal Jordanian Land Force (RJLF), Royal Jordanian Navy, Royal Jordanian Air Force (Al-Quwwat al-Jawwiya al-Malakiya al-Urduniya, RJAF), Special Operations Command (Socom); Public Security Directorate (normally falls under Ministry of Interior, but comes under JAF in wartime or crisis) (2013)"
Kazakhstan,"Kazakhstan Armed Forces: Ground Forces, Navy, Air Mobile Forces, Air Defense Forces (2013)"
Kenya,"Kenya Defence Forces: Kenya Army, Kenya Air Force, Kenya Navy (2012)"
Kiribati,no regular military forces (establishment prevented by the constitution); Police Force (2011)
"Korea, North","North Korean People's Army: Ground Forces, Navy, Air Force; civil security forces (2005)"
"Korea, South",Republic of Korea Army; Navy (includes Marine Corps); Air Force (2011)
Kosovo,Kosovo Security Force (FSK) (2010)
Kuwait,"Kuwaiti Land Forces (KLF), Kuwaiti Navy, Kuwaiti Air Force (Al-Quwwat al-Jawwiya al-Kuwaitiya; includes Kuwaiti Air Defense Force, KADF), Kuwaiti National Guard (KNG) (2013)"
Kyrgyzstan,"Ground Forces, Air Force (includes Air Defense Forces) (2013)"
Laos,"Lao People's Armed Forces (LPAF): Lao People's Army (LPA; includes Riverine Force), Air Force (2011)"
Latvia,"National Armed Forces (Nacionalo Brunoto Speku): Land Forces (Latvijas Sauszemes Speki), Navy (Latvijas Juras Speki; includes Coast Guard (Latvijas Kara Flotes)), Latvian Air Force (Latvijas Gaisa Speki), Latvian Home Guard (Latvijas Zemessardze) (2011)"
Lebanon,"Lebanese Armed Forces (LAF): Lebanese Army ((Al Jaysh al Lubnani) includes Lebanese Navy (Al Quwwat al Bahiriyya al Lubnaniya), Lebanese Air Force (Al Quwwat al Jawwiya al Lubnaniya)) (2013)"
Lesotho,Lesotho Defense Force (LDF): Army (includes Air Wing) (2012)
Liberia,"Armed Forces of Liberia (AFL): Army, Navy, Air Force"
Libya,note - in transition; government attempting to staff a new national army with anti-QADAFI militia fighters and former members of QADAFI's military (2008)
Liechtenstein,no regular military forces; National Police maintains close relations with neighboring forces (2013)
Lithuania,"Lithuanian Armed Forces (Lietuvos Ginkluotosios Pajegos): Land Forces (Sausumos Pajegos), Naval Forces (Karines Juru Pajegos), Air Forces (Karines Oro Pajegos) (2013)"
Luxembourg,Luxembourg Army (L'Armee Luxembourgeoises) (2013)
Macau,no regular indigenous military forces
Macedonia,"Army of the Republic of Macedonia (ARM; includes General Staff and subordinate Joint Operational Command, Training and Doctrine Command, Special Operations Regiment) (2012)"
Madagascar,"People's Armed Forces: Intervention Force, Development Force, and Aeronaval Force (navy and air); National Gendarmerie"
Malawi,"Malawi Defense Forces (MDF): Army (includes Air Wing, Marine Unit) (2012)"
Malaysia,"Malaysian Armed Forces (Angkatan Tentera Malaysia, ATM): Malaysian Army (Tentera Darat Malaysia), Royal Malaysian Navy (Tentera Laut Diraja Malaysia, TLDM), Royal Malaysian Air Force (Tentera Udara Diraja Malaysia, TUDM) (2013)"
Maldives,"Maldives National Defense Force (MNDF): Marine Corps, Security Protection Group, Coast Guard (2010)"
Mali,"Malian Armed Forces: Army (Armee de Terre), Republic of Mali Air Force (Force Aerienne de la Republique du Mali, FARM), National Guard (Garde National du Mali) (2013)"
Malta,"Armed Forces of Malta (AFM; includes land, maritime, and air elements) (2013)"
Marshall Islands,no regular military forces; Marshall Islands Police (2012)
Mauritania,"Mauritanian Armed Forces: Army, Mauritanian Navy (Marine Mauritanienne; includes naval infantry), Islamic Republic of Mauritania Air Group (Groupement Aerienne Islamique de Mauritanie, GAIM) (2013)"
Mauritius,"no regular military forces; Mauritius Police Force, Special Mobile Force, National Coast Guard (2011)"
Mexico,"Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito), Mexican Air Force (Fuerza Aerea Mexicana, FAM); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico (ARM); includes Naval Air Force (FAN), Mexican Naval Infantry Corps (Cuerpo de Infanteria de Marina, Mexmar or CIM)) (2013)"
"Micronesia, Federated States of",no regular military forces (2012)
Moldova,"National Army: Land Forces Command, Air Forces Command (includes air defense unit), Logistics Command (2013)"
Monaco,no regular military forces; Directorate of Public Security (2012)
Mongolia,"Mongolian Armed Forces (Mongol ulsyn zevsegt huchin): Mongolian Army (includes Mongolian Air and Air Defense, which is to become a separate service in 2015); there is no navy (2013)"
Montenegro,"Armed Forces of the Republic of Montenegro: Army of Montenegro (includes Montenegrin Navy (Mornarica Crne Gore, MCG)), Air Force (2011)"
Montserrat,no regular military forces; Royal Montserrat Police Force (2011)
Morocco,"Royal Armed Forces (Forces Armees Royales, FAR): Royal Moroccan Army (includes Air Defense), Royal Moroccan Navy (includes Coast Guard, Marines), Royal Moroccan Air Force (Al Quwwat al Jawyiya al Malakiya Marakishiya; Force Aerienne Royale Marocaine) (2010)"
Mozambique,"Mozambique Armed Defense Forces (Forcas Armadas de Defesa de Mocambique, FADM): Mozambique Army, Mozambique Navy (Marinha de Guerra de Mocambique, MGM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2012)"
Namibia,"Namibian Defense Force (NDF): Army, Navy, Air Force (2013)"
Nauru,no regular military forces (2012)
Nepal,Nepal Army (2012)
Netherlands,"Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Military Police (2012)"
New Caledonia,"no regular military forces; French military, police, and gendarmerie (2012)"
New Zealand,"New Zealand Defense Force (NZDF): New Zealand Army; Royal New Zealand Navy; Royal New Zealand Air Force (Te Hokowhitu o Kahurangi, RNZAF) (2013)"
Nicaragua,"National Army of Nicaragua (Ejercito Nacional de Nicaragua, ENN; includes Navy, Air Force) (2013)"
Niger,"Nigerien Armed Forces (Forces Armees Nigeriennes, FAN): Army, Nigerien Air Force (Force Aerienne du Niger) (2012)"
Nigeria,"Nigerian Armed Forces: Army, Navy, Air Force (2013)"
Niue,no regular indigenous military forces; Police Force
Norway,"Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret, RNoN; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret, RNoAF), Home Guard (Heimevernet, HV) (2013)"
Oman,"Sultan's Armed Forces (SAF): Royal Army of Oman, Royal Navy of Oman, Royal Air Force of Oman (al-Quwwat al-Jawwiya al-Sultanat Oman) (2013)"
Pakistan,"Pakistan Army (includes National Guard), Pakistan Navy (includes Marines and Maritime Security Agency), Pakistan Air Force (Pakistan Fiza'ya) (2013)"
Palau,no regular military forces; Palau National Police (2009)
Panama,"no regular military forces; Panamanian Public Security Forces (subordinate to the Ministry of Public Security), comprising the National Police (PNP), National Air-Naval Service (SENAN), National Border Service (SENAFRONT) (2013)"
Papua New Guinea,"Papua New Guinea Defense Force (PNGDF; includes Maritime Operations Element, Air Operations Element) (2013)"
Paraguay,"Armed Forces Command (Commando de las Fuerzas Militares): Army, National Navy (Armada Nacional, includes Marine Corps, Naval Aviation, and Coast Guard), Paraguayan Air Force (Fuerza Aerea Paraguay, FAP), Logistics Command, War Materiel Directorate (2012)"
Peru,"Peruvian Army (Ejercito Peruano), Peruvian Navy (Marina de Guerra del Peru, MGP; includes naval air, naval infantry, and Coast Guard), Air Force of Peru (Fuerza Aerea del Peru, FAP) (2013)"
Philippines,"Armed Forces of the Philippines (AFP): Army, Navy (includes Marine Corps), Air Force (2013)"
Poland,"Polish Armed Forces: Land Forces, Navy, Air and Air Defense Aviation Forces, Special Forces (2013)"
Portugal,"Portuguese Army (Exercito Portuguesa), Portuguese Navy (Marinha Portuguesa; includes Marine Corps), Portuguese Air Force (Forca Aerea Portuguesa, FAP) (2013)"
Puerto Rico,"no regular indigenous military forces; paramilitary National Guard, Police Force"
Qatar,"Qatari Emiri Land Force (QELF), Qatari Emiri Navy (QEN), Qatari Emiri Air Force (QEAF) (2013)"
Romania,"Land Forces, Naval Forces (Fortele Naval, FN), Romanian Air Force (Fortele Aeriene Romane, FAR) (2013)"
Russia,"Ground Troops (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Air Forces (Voyenno-Vozdushniye Sily, VVS); Airborne Troops (Vozdushno-Desantnyye Voyska, VDV), Missile Troops of Strategic Purpose (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN) referred to commonly as Strategic Rocket Forces, and Aerospace Defense Troops (Voyska Vozdushno-Kosmicheskoy Oborony or Voyska VKO) are independent ""combat arms,"" not subordinate to any of the three branches; Russian Ground Troops include the following combat arms: motorized-rifle troops, tank troops, missile and artillery troops, air defense of the Ground Troops (2014)"
Rwanda,"Rwanda Defense Force (RDF): Rwanda Army (Rwanda Land Force), Rwanda Air Force (Force Aerienne Rwandaise, FAR) (2013)"
Saint Kitts and Nevis,"Ministry of Foreign Affairs, National Security, Labour, Immigration, and Social Security: Royal Saint Kitts and Nevis Defense Force (includes Coast Guard), Royal Saint Kitts and Nevis Police Force (2013)"
Saint Lucia,"no regular military forces; Royal Saint Lucia Police Force (includes Special Service Unit, Marine Unit) (2012)"
Saint Vincent and the Grenadines,no regular military forces; Royal Saint Vincent and the Grenadines Police Force (RSVPF) (2013)
Samoa,no regular military forces; Samoa Police Force (2008)
San Marino,no regular military forces; voluntary Military Corps (Corpi Militari) performs ceremonial duties and limited police support functions (2010)
Sao Tome and Principe,"Armed Forces of Sao Tome and Principe (Forcas Armadas de Sao Tome e Principe, FASTP): Army, Coast Guard of Sao Tome e Principe (Guarda Costeira de Sao Tome e Principe, GCSTP); also called ""Navy""), Presidential Guard (2013)"
Saudi Arabia,"Ministry of Defense and Aviation Forces: Royal Saudi Land Forces, Royal Saudi Naval Forces (includes Marine Forces and Special Forces), Royal Saudi Air Force (Al-Quwwat al-Jawwiya al-Malakiya as-Sa'udiya), Royal Saudi Air Defense Forces, Royal Saudi Strategic Rocket Forces, Saudi Arabian National Guard (SANG)"
Senegal,"Senegalese Armed Forces: Army, Senegalese National Navy (Marine Senegalaise, MNS), Senegalese Air Force (Armee de l'Air du Senegal) (2013)"
Serbia,"Serbian Armed Forces (Vojska Srbije, VS): Land Forces Command (includes Riverine Component, consisting of a river flotilla on the Danube), Air and Air Defense Forces Command (2012)"
Seychelles,"Seychelles Defense Force: Army, Coast Guard (includes Naval Wing, Air Wing), National Guard (2005)"
Sierra Leone,Republic of Sierra Leone Armed Forces (RSLAF): Army (includes Maritime Wing and Air Wing) (2013)
Singapore,"Singapore Armed Forces: Army, Navy, Air Force (includes Air Defense) (2013)"
Sint Maarten,no regular military forces (2012)
Slovakia,"Armed Forces of the Slovak Republic (Ozbrojene Sily Slovenskej Republiky): Land Forces (Pozemne Sily), Air Forces (Vzdusne Sily) (2010)"
Slovenia,"Slovenian Armed Forces (Slovenska Vojska, SV): Forces Command (with ground units, naval element, air and air defense brigade); Administration for Civil Protection and Disaster Relief (ACPDR) (2013)"
Solomon Islands,no regular military forces; Royal Solomon Islands Police Force (2013)
Somalia,National Security Force (NSF): Somali Army (2011)
South Africa,"South African National Defense Force (SANDF): South African Army, South African Navy (SAN), South African Air Force (SAAF), South African Military Health Services (2013)"
South Sudan,Sudan People's Liberation Army (SPLA)
Spain,"Spanish Armed Forces: Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE; includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA) (2013)"
Sri Lanka,"Sri Lanka Army, Sri Lanka Navy, Sri Lanka Air Force (2013)"
Sudan,"Sudanese Armed Forces (SAF): Land Forces, Navy (includes Marines), Sudanese Air Force (Sikakh al-Jawwiya as-Sudaniya), Popular Defense Forces (2011)"
Suriname,"Suriname Armed Forces: Ground Forces, Naval Forces, Air Forces (2010)"
Svalbard,no regular military forces
Swaziland,Umbutfo Swaziland Defense Force (USDF): Ground Force (includes Air Wing (no operational aircraft)) (2013)
