Afghanistan,9.6% of GDP (2011)
Iraq,8.3% of GDP (2011)
Ireland,9.4% of GDP (2011)
Israel,7.7% of GDP (2011)
Italy,9.5% of GDP (2011)
Jamaica,5.2% of GDP (2010)
Japan,9.3% of GDP (2011)
Jordan,8.4% of GDP (2011)
Kazakhstan,3.9% of GDP (2011)
Kenya,4.5% of GDP (2011)
Kiribati,10.1% of GDP (2011)
"Korea, South",7.2% of GDP (2011)
Kuwait,2.7% of GDP (2011)
Kyrgyzstan,6.2% of GDP (2010)
Laos,2.8% of GDP (2011)
Latvia,6.7% of GDP (2010)
Lebanon,6.3% of GDP (2011)
Lesotho,12.8% of GDP (2011)
Liberia,19.5% of GDP (2011)
Libya,4.4% of GDP (2011)
Lithuania,7% of GDP (2010)
Luxembourg,7.7% of GDP (2011)
Macedonia,6.6% of GDP (2011)
Madagascar,4.1% of GDP (2011)
Malawi,8.4% of GDP (2011)
Malaysia,3.6% of GDP (2011)
Maldives,8.5% of GDP (2011)
Mali,6.8% of GDP (2011)
Malta,8.5% of GDP (2010)
Marshall Islands,16.5% of GDP (2011)
Mauritania,5.4% of GDP (2011)
Mauritius,5.9% of GDP (2011)
Mexico,6.4% of GDP (2009)
"Micronesia, Federated States of",13.4% of GDP (2011)
Moldova,11.4% of GDP (2011)
Monaco,4.3% of GDP (2011)
Mongolia,5.3% of GDP (2011)
Montenegro,9.3% of GDP (2011)
Morocco,6% of GDP (2011)
Mozambique,6.6% of GDP (2011)
Namibia,5.3% of GDP (2011)
Nauru,9.8% of GDP (2011)
Nepal,5.4% of GDP (2011)
Netherlands,12% of GDP (2011)
New Zealand,10.1% of GDP (2011)
Nicaragua,10.1% of GDP (2009)
Niger,5.3% of GDP (2011)
Nigeria,5.3% of GDP (2011)
Niue,14.6% of GDP (2011)
Norway,9.1% of GDP (2011)
Oman,2.3% of GDP (2011)
Pakistan,2.5% of GDP (2011)
Palau,10.6% of GDP (2011)
Panama,8.2% of GDP (2011)
Papua New Guinea,4.3% of GDP (2011)
Paraguay,9.7% of GDP (2011)
Peru,4.8% of GDP (2011)
Philippines,4.1% of GDP (2011)
Poland,6.7% of GDP (2011)
Portugal,10.4% of GDP (2011)
Qatar,1.9% of GDP (2011)
Romania,5.9% of GDP (2010)
Russia,6.2% of GDP (2011)
Rwanda,10.8% of GDP (2011)
Saint Kitts and Nevis,4.4% of GDP (2011)
Saint Lucia,7.2% of GDP (2011)
Saint Vincent and the Grenadines,4.9% of GDP (2011)
Samoa,7% of GDP (2011)
San Marino,7.2% of GDP (2010)
Sao Tome and Principe,7.7% of GDP (2011)
Saudi Arabia,3.7% of GDP (2011)
Senegal,6% of GDP (2011)
Serbia,10.4% of GDP (2011)
Seychelles,3.8% of GDP (2011)
Sierra Leone,18.8% of GDP (2011)
Singapore,4.6% of GDP (2011)
Slovakia,9% of GDP (2010)
Slovenia,9% of GDP (2010)
Solomon Islands,8.8% of GDP (2011)
South Africa,8.5% of GDP (2011)
Spain,9.6% of GDP (2010)
Sri Lanka,3.4% of GDP (2011)
Sudan,8.4% of GDP (2011)
Suriname,5.3% of GDP (2011)
Swaziland,8% of GDP (2011)
Sweden,9.4% of GDP (2011)
Switzerland,10.9% of GDP (2011)
Syria,3.7% of GDP (2011)
Tajikistan,5.8% of GDP (2011)
Tanzania,7.3% of GDP (2011)
Thailand,4.1% of GDP (2011)
Timor-Leste,5.1% of GDP (2011)
Togo,8% of GDP (2011)
Tonga,5.3% of GDP (2011)
Trinidad and Tobago,5.7% of GDP (2011)
Tunisia,6.2% of GDP (2011)
Turkey,6.7% of GDP (2011)
Turkmenistan,2.7% of GDP (2011)
Tuvalu,17.3% of GDP (2011)
Uganda,9.5% of GDP (2011)
Ukraine,7.3% of GDP (2011)
United Arab Emirates,3.3% of GDP (2011)
United Kingdom,9.3% of GDP (2011)
United States,17.9% of GDP (2011)
Uruguay,8% of GDP (2011)
Uzbekistan,5.4% of GDP (2011)
Vanuatu,4.1% of GDP (2011)
Venezuela,5.2% of GDP (2011)
Vietnam,6.8% of GDP (2011)
Yemen,5.5% of GDP (2011)
Zambia,6.1% of GDP (2011)
