Afghanistan,21.8% (2010)
Mozambique,11.6% (2011)
Namibia,55.1% (2006/07)
Nauru,35.6% (2007)
Nepal,49.7% (2011)
Netherlands,"69% 
      
      
        note: percent of women aged 18-45 (2008)"
Nicaragua,72.4% (2006/07)
Niger,13.9% (2012)
Nigeria,14.1% (2011)
Norway,"88.4% 
      
      
        note: percent of women aged 20-44 (2005)"
Oman,31.7% (2000)
Pakistan,27% (2007/08)
Palau,"32.8% 
      
      
        note: percent of women aged 15-44 (2003)"
Panama,52.2% (2009)
Papua New Guinea,32.4% (2007)
Paraguay,"79.4% 
      
      
        note: percent of women aged 15-44 (2008)"
Peru,68.9% (2011)
Philippines,48.9% (2011)
Portugal,86.8% (2005/06)
Puerto Rico,"84.1% 
      
      
        note: percent of women aged 18-44 (2002)"
Romania,"69.8% 
      
      
        note: percent of women aged 15-49 (2005)"
Russia,"79.5% 
      
      
        note: percent of women under age 50 (2007)"
Rwanda,51.6% (2010/11)
Samoa,28.7% (2009)
Sao Tome and Principe,38.4% (2008/09)
Saudi Arabia,23.8% (2007)
Senegal,13.1% (2010/11)
Serbia,60.8% (2010)
Sierra Leone,11% (2010)
Solomon Islands,34.6% (2006/07)
Somalia,14.6% (2006)
South Africa,59.9% (2003/04)
South Sudan,3.5% (2006)
Spain,65.7% (2006)
Sri Lanka,68% (2006/07)
Sudan,9% (2010)
Suriname,45.6% (2006)
Swaziland,65.2% (2010)
Syria,58.3% (2006)
Tajikistan,27.9% (2012)
Tanzania,34.4% (2009/10)
Thailand,79.6% (2009)
Timor-Leste,22.3% (2009/10)
Togo,15.2% (2010)
Trinidad and Tobago,42.5% (2006)
Tunisia,63% (2012)
Turkey,73% (2008)
Turkmenistan,61.8% (2000)
Tuvalu,30.5% (2007)
Uganda,30% (2011)
Ukraine,66.7% (2007)
United Kingdom,"84% 
      
      
        note: percent of women aged 16-49 (2008/09)"
United States,"76.4% 
      
      
        note: percent of women aged 15-44 (2010)"
Uruguay,"77% 
      
      
        note: percent of women aged 15-50 (2004)"
Uzbekistan,64.9% (2006)
Vanuatu,38.4% (2007)
Vietnam,77.8% (2010/11)
Virgin Islands,"78.4% 
      
      
        note: percent of women aged 18-44 (2002)"
Yemen,27.7% (2006)
Zambia,40.8% (2007)
Zimbabwe,58.5% (2010/11)
