Afghanistan,"machinery and other capital goods, food, textiles, petroleum products"
Saint Lucia,"food 23%, manufactured goods 21%, machinery and transportation equipment 19%, chemicals, fuels"
Saint Martin,"crude petroleum, food, manufactured items"
Saint Pierre and Miquelon,"meat, clothing, fuel, electrical equipment, machinery, building materials"
Saint Vincent and the Grenadines,"foodstuffs, machinery and equipment, chemicals and fertilizers, minerals and fuels"
Samoa,"machinery and equipment, industrial supplies, foodstuffs"
San Marino,"wide variety of consumer manufactures, food, energy"
Sao Tome and Principe,"machinery and electrical equipment, food products, petroleum products"
Saudi Arabia,"machinery and equipment, foodstuffs, chemicals, motor vehicles, textiles"
Senegal,"food and beverages, capital goods, fuels"
Seychelles,"machinery and equipment, foodstuffs, petroleum products, chemicals, other manufactured goods"
Sierra Leone,"foodstuffs, machinery and equipment, fuels and lubricants, chemicals"
Singapore,"machinery and equipment, mineral fuels, chemicals, foodstuffs, consumer goods"
Slovakia,"machinery and transport equipment 31%, mineral products 13%, vehicles 12%, base metals 9%, chemicals 8%, plastics 6% (2009 est.)"
Slovenia,"machinery and transport equipment, manufactured goods, chemicals, fuels and lubricants, food"
Solomon Islands,"food, plant and equipment, manufactured goods, fuels, chemicals"
Somalia,"manufactures, petroleum products, foodstuffs, construction materials, qat"
South Africa,"machinery and equipment, chemicals, petroleum products, scientific instruments, foodstuffs"
Spain,"machinery and equipment, fuels, chemicals, semifinished goods, foodstuffs, consumer goods, measuring and medical control instruments"
Sri Lanka,"petroleum, textiles, machinery and transportation equipment, building materials, mineral products, foodstuffs"
Sudan,"foodstuffs, manufactured goods, refinery and transport equipment, medicines and chemicals, textiles, wheat"
Suriname,"capital equipment, petroleum, foodstuffs, cotton, consumer goods"
Swaziland,"motor vehicles, machinery, transport equipment, foodstuffs, petroleum products, chemicals"
Sweden,"machinery, petroleum and petroleum products, chemicals, motor vehicles, iron and steel; foodstuffs, clothing"
Switzerland,"machinery, chemicals, vehicles, metals; agricultural products, textiles"
Syria,"machinery and transport equipment, electric power machinery, food and livestock, metal and metal products, chemicals and chemical products, plastics, yarn, paper"
Taiwan,"electronics, machinery, crude petroleum, precision instruments, organic chemicals, metals"
Tajikistan,"petroleum products, aluminum oxide, machinery and equipment, foodstuffs"
Tanzania,"consumer goods, machinery and transportation equipment, industrial raw materials, crude oil"
Thailand,"capital goods, intermediate goods and raw materials, consumer goods, fuels"
Timor-Leste,"food, gasoline, kerosene, machinery"
Togo,"machinery and equipment, foodstuffs, petroleum products"
Tokelau,"foodstuffs, building materials, fuel"
Tonga,"foodstuffs, machinery and transport equipment, fuels, chemicals"
Trinidad and Tobago,"mineral fuels, lubricants, machinery, transportation equipment, manufactured goods, food, chemicals, live animals"
Tunisia,"textiles, machinery and equipment, hydrocarbons, chemicals, foodstuffs"
Turkey,"machinery, chemicals, semi-finished goods, fuels, transport equipment"
Turkmenistan,"machinery and equipment, chemicals, foodstuffs"
Turks and Caicos Islands,"food and beverages, tobacco, clothing, manufactures, construction materials"
Tuvalu,"food, animals, mineral fuels, machinery, manufactured goods"
Uganda,"capital equipment, vehicles, petroleum, medical supplies; cereals"
Ukraine,"energy, machinery and equipment, chemicals"
United Arab Emirates,"machinery and transport equipment, chemicals, food"
United Kingdom,"manufactured goods, machinery, fuels; foodstuffs"
United States,"agricultural products 4.9%, industrial supplies 32.9% (crude oil 8.2%), capital goods 30.4% (computers, telecommunications equipment, motor vehicle parts, office machines, electric power machinery), consumer goods 31.8% (automobiles, clothing, medicines, furniture, toys)"
Uruguay,"refined oil, crude oil, passenger and other transportation vehicles, vehicle parts, cellular phones"
Uzbekistan,"machinery and equipment, foodstuffs, chemicals, ferrous and nonferrous metals"
Vanuatu,"machinery and equipment, foodstuffs, fuels"
Venezuela,"agricultural products, livestock, raw materials, machinery and equipment, transport equipment, construction materials, medical equipment, petroleum products, pharmaceuticals, chemicals, iron and steel products"
Vietnam,"machinery and equipment, petroleum products, steel products, raw materials for the clothing and shoe industries, electronics, plastics, automobiles"
Virgin Islands,"crude oil, foodstuffs, consumer goods, building materials"
Wallis and Futuna,"chemicals, machinery, consumer goods"
West Bank,"food, consumer goods, construction materials, petroleum, chemicals"
Western Sahara,"fuel for fishing fleet, foodstuffs"
World,"the whole range of industrial and agricultural goods and services 
      
      
        top ten - share of world trade: see listing for exports"
Yemen,"food and live animals, machinery and equipment, chemicals"
Zambia,"machinery, transportation equipment, petroleum products, electricity, fertilizer, foodstuffs, clothing"
Zimbabwe,"machinery and transport equipment, other manufactures, chemicals, fuels, food products"
