Afghanistan,21 December - 20 December
Malaysia,calendar year
Maldives,calendar year
Mali,calendar year
Malta,calendar year
Marshall Islands,1 October - 30 September
Mauritania,calendar year
Mauritius,1 July - 30 June
Mexico,calendar year
"Micronesia, Federated States of",1 October - 30 September
Moldova,calendar year
Monaco,calendar year
Mongolia,calendar year
Montenegro,calendar year
Montserrat,1 April - 31 March
Morocco,calendar year
Mozambique,calendar year
Namibia,1 April - 31 March
Nauru,1 July - 30 June
Nepal,16 July - 15 July
Netherlands,calendar year
New Caledonia,calendar year
New Zealand,"1 April - 31 March 
      
      
        note: this is the fiscal year for tax purposes"
Nicaragua,calendar year
Niger,calendar year
Nigeria,calendar year
Niue,1 April - 31 March
Norfolk Island,1 July - 30 June
Northern Mariana Islands,1 October - 30 September
Norway,calendar year
Oman,calendar year
Pakistan,1 July - 30 June
Palau,1 October - 30 September
Panama,calendar year
Papua New Guinea,calendar year
Paraguay,calendar year
Peru,calendar year
Philippines,calendar year
Pitcairn Islands,1 April - 31 March
Poland,calendar year
Portugal,calendar year
Puerto Rico,1 July - 30 June
Qatar,1 April - 31 March
Romania,calendar year
Russia,calendar year
Rwanda,calendar year
"Saint Helena, Ascension, and Tristan da Cunha",1 April - 31 March
Saint Kitts and Nevis,calendar year
Saint Lucia,1 April - 31 March
Saint Pierre and Miquelon,calendar year
Saint Vincent and the Grenadines,calendar year
Samoa,June 1 - May 31
San Marino,calendar year
Sao Tome and Principe,calendar year
Saudi Arabia,calendar year
Senegal,calendar year
Seychelles,calendar year
Sierra Leone,calendar year
Singapore,1 April - 31 March
Slovakia,calendar year
Slovenia,calendar year
Solomon Islands,calendar year
Somalia,NA
South Africa,1 April - 31 March
Spain,calendar year
Sri Lanka,calendar year
Sudan,calendar year
Suriname,calendar year
Swaziland,1 April - 31 March
Sweden,calendar year
Switzerland,calendar year
Syria,calendar year
Taiwan,calendar year
Tajikistan,calendar year
Tanzania,1 July - 30 June
Thailand,1 October - 30 September
Timor-Leste,calendar year
Togo,calendar year
Tokelau,1 April - 31 March
Tonga,1 July - 30 June
Trinidad and Tobago,1 October - 30 September
Tunisia,calendar year
Turkey,calendar year
Turkmenistan,calendar year
Turks and Caicos Islands,calendar year
Tuvalu,calendar year
Uganda,1 July - 30 June
Ukraine,calendar year
United Arab Emirates,calendar year
United Kingdom,6 April - 5 April
United States,1 October - 30 September
Uruguay,calendar year
Uzbekistan,calendar year
Vanuatu,calendar year
Venezuela,calendar year
Vietnam,calendar year
Virgin Islands,1 October - 30 September
Wallis and Futuna,calendar year
West Bank,calendar year
Western Sahara,calendar year
Yemen,calendar year
Zambia,calendar year
Zimbabwe,calendar year
