Afghanistan,"other: religious groups, tribal leaders, ethnically based groups, Taliban"
Belarus,"Assembly of Pro-Democratic NGOs [Sergey MATSKEVICH] (unregistered) 
      
      Belarusian Congress of Democratic Trade Unions [Aleksandr YAROSHUK] 
      
      Belarusian Association of Journalists [Zhana LITVINA] 
      
      Belarusian Helsinki Committee [Aleh HULAK] 
      
      Belarusian Independence Bloc (unregistered) and For Freedom movement [Aleksandr MILINKEVICH] 
      
      Belarusian Organization of Working Women [Irina ZHIKHAR] 
      
      BPF-Youth [Andrus KRECHKA] (unregistered) 
      
      Charter 97 [Andrey SANNIKOV] (unregistered) 
      
      Perspektiva small business association [Anatol SHUMCHENKO] 
      
      Nasha Vyasna (""Our Spring"") human rights center [Ales BYALYATSKI] (unregistered) 
      
      ""Tell the Truth"" Movement [Vladimir NEKLYAYEV] (unregistered) 
      
      Women's Independent Democratic Movement [Ludmila PETINA] 
      
      Young Belarus (Malady Belarus) [Zmitser KASPYAROVICH] (unregistered) 
      
      Youth Front (Malady Front) [Zmitser DASHKEVICH] (unregistered)"
Belgium,"Federation of Enterprises in Belgium [Pieter TIMMERMANS/Pierre Alain DE SMEDT]; Confederation of Christan Trade Unions [Luc CORTEBEECK/Claude ROLIN]; Belgian General Federation of Labor [Rudy DE LEEUW/Anne DEMELENNE] 
      
      
        other: trade unions; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations representing the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants"
Belize,"Society for the Promotion of Education and Research or SPEAR [Nicole HAYLOCK] 
      
      Association of Concerned Belizeans or ACB [David VASQUEZ] 
      
      National Trade Union Congress of Belize or NTUC/B [Rene GOMEZ]"
Benin,other: economic groups; environmentalists; political groups; teachers' unions and other educational groups
Bermuda,Association of Bermuda Insurers and Reinsurers or ABIR [Bradley KADING]; Association of Bermuda International Companies or ABIC [George HUTCHINGS]; Bermuda Employer's Council [Keith JENSEN]; Bermuda Industrial Union or BIU [Chris Furbert]; Bermuda Public Services Union or BPSU [Kevin GRANT and Ed BALL]; Bermuda Union of Teachers [Michael CHARLES]
Bhutan,"United Front for Democracy (exiled); Druk National Congress (exiled) 
      
      
        other: Buddhist clergy; ethnic Nepalese organizations leading militant antigovernment campaign; Indian merchant community"
Bolivia,"Bolivian Workers Central or COB 
      
      Federation of Neighborhood Councils of El Alto or FEJUVE 
      
      Landless Movement or MST 
      
      National Coordinator for Change or CONALCAM 
      
      Sole Confederation of Campesino Workers of Bolivia or CSUTCB 
      
      
        other: Cocalero groups; indigenous organizations (including Confederation of Indigenous Peoples of Eastern Bolivia or CIDOB and National Council of Ayullus and Markas of Quollasuyu or CONAMAQ); Interculturales union or CSCIB; labor unions (including the Central Bolivian Workers' Union or COB and Cooperative Miners Federation or FENCOMIN)"
Bosnia and Herzegovina,other: war veterans; displaced persons associations; family associations of missing persons; private media
Botswana,"First People of the Kalahari (Bushman organization); Pitso Ya Ba Tswana; Society for the Promotion of Ikalanga Language (Kalanga elites) 
      
      
        other: diamond mining companies"
Brazil,"Landless Workers' Movement or MST 
      
      
        other: industrial federations; labor unions and federations; large farmers' associations; religious groups including evangelical Christian churches and the Catholic Church"
British Virgin Islands,"The Family Support Network; The Women's Desk 
      
      
        other: environmentalists"
Brunei,NA
Bulgaria,"Confederation of Independent Trade Unions of Bulgaria or CITUB 
      
      Podkrepa Labor Confederation 
      
      
        other: numerous regional, ethnic, and national interest groups with various agendas"
Burkina Faso,"Burkinabe General Confederation of Labor or CGTB [Tole SAGNON] 
      
      Burkinabe Movement for Human Rights or MBDHP [Chrysigone ZOUGMORE] 
      
      Citizen's Resistance Front [Luc Marius IBRIGA] 
      
      Group of 14 February [Benewende Stanislas SANKARA] 
      
      National Confederation of Burkinabe Workers or CNTB [Laurent OUEDRAOGO] 
      
      National Organization of Free Unions or ONSL [Paul KABORE] 
      
      
        other: watchdog/political action groups throughout the country in both organizations and communities"
Burma,"Thai border:  
      
      Ethnic Nationalities Council or ENC 
      
      Federation of Trade Unions-Burma or FTUB (exile trade union and labor advocates) 
      
      National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) [""Prime Minister"" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form a parallel government in exile) 
      
      National Council-Union of Burma or NCUB (exile coalition of opposition groups) 
      
      United Nationalities Federal Council (UNFC) 
      
      
        Inside Burma: 
      
      Karen National Union or KNU 
      
      Karenni National People's Party or KNPP 
      
      United Wa State Army or UWSA 
      
      88 Generation Students (pro-democracy movement) 
      
      several other Chin, Karen, Mon, and Shan factions 
      
      
        note: freedom of expression has been highly restricted in Burma; the restrictions are being relaxed by the government; political groups, other than parties approved by the government, are limited in number"
Burundi,"Forum for the Strengthening of Civil Society or FORSC [Pacifique NININAHAZWE] (civil society umbrella organization) 
      
      Observatoire de lutte contre la corruption et les malversations economiques or OLUCOME [Gabriel RUFYIRI] (anti-corruption pressure group) 
      
      
        other: Hutu and Tutsi militias (loosely organized)"
Cabo Verde,other: environmentalists; political pressure groups
Cambodia,"Cambodian Freedom Fighters or CFF 
      
      Partnership for Transparency Fund or PTF (anti-corruption organization) 
      
      Students Movement for Democracy 
      
      The Committee for Free and Fair Elections or Comfrel 
      
      
        other: human rights organizations; vendors"
Cameroon,"Human Rights Defense Group [Albert MUKONG, president] 
      
      Southern Cameroon National Council [Ayamba Ette OTUN]"
Canada,other: agricultural sector; automobile industry; business groups; chemical industry; commercial banks; communications sector; energy industry; environmentalists; public administration groups; steel industry; trade unions
Cayman Islands,"Coalition for Cayman or C4C 
      
      National People's Alliance or PNA 
      
      National Trust 
      
      
        other: environmentalists"
Central African Republic,NA
Chad,rebel groups
Chile,"Roman Catholic Church, particularly conservative groups such as Opus Dei 
      
      United Labor Central or CUT includes trade unionists from the country's five largest labor confederations 
      
      
        other: university student federations at all major universities"
China,no substantial political opposition groups exist
Christmas Island,none
Cocos (Keeling) Islands,The Cocos Islands Youth Support Centre
Colombia,"Central Union of Workers or CUT 
      
      Colombian Confederation of Workers or CTC 
      
      General Confederation of Workers or CGT 
      
      National Liberation Army or ELN 
      
      Revolutionary Armed Forces of Colombia or FARC 
      
      
        note: FARC and ELN are the two largest insurgent groups active in Colombia"
Comoros,other: environmentalists
"Congo, Democratic Republic of the","FARDC (Forces Armes de la Rpublique Dmocratique du Congo) - Army of the Democratic Republic of the Congo, which commits atrocities on citizens 
      
      FDLR (Forces Democratiques de Liberation du Rwanda) - Rwandan militia group made up of some of the perpetrators of Rwanda's Genocide in 1994 
      
      CNDP (National Congress for the Defense of the People) - mainly Congolese Tutsis who want refugees returned and more representation in government 
      
      M23 - rebel group comprised largely from ex-CNDP forces"
"Congo, Republic of the","Congolese Trade Union Congress or CSC 
      
      General Union of Congolese Pupils and Students or UGEEC 
      
      Revolutionary Union of Congolese Women or URFC 
      
      Union of Congolese Socialist Youth or UJSC"
Cook Islands,"Reform Conference (lobby for political system changes) 
      
      
        other: various groups lobbying for political change"
Costa Rica,"Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate) 
      
      Chamber of Coffee Growers 
      
      Confederated Union of Workers or CUT (Communist Party affiliate) 
      
      Costa Rican Confederation of Democratic Workers or CCTD (Liberation Party affiliate) 
      
      Costa Rican Exporter's Chamber or CADEXCO 
      
      Costa Rican Solidarity Movement 
      
      Costa Rican Union of Private Sector Enterprises or UCCAEP 
      
      Federation of Public Service Workers or FTSP 
      
      National Association for Economic Development or ANFE 
      
      National Association of Educators or ANDE 
      
      National Association of Public and Private Employees or ANEP 
      
      Confederation of Workers Rerum Novarum or CTRN (PLN affiliate)"
Cote d'Ivoire,"Federation of University and High School Students of Cote d'Ivoire or FESCI [Augustin MIAN] 
      
      National Congress for the Resistance and Democracy or CNRD [Bernard DADIE] 
      
      Panafrican Congress for Justice and Peoples Equality or COJEP [Roselin BLY] 
      
      Rally of Houphouetists for Democracy and Peace or RHDP"
Croatia,other: human rights groups
Cuba,"Damas de Blanco 
      
      National Association of Small Farmers 
      
      Patriotic Union of Cuba 
      
      political dissidents and bloggers 
      
      The Cuban Commission for Human Rights and National Reconciliation"
Cyprus,"Confederation of Cypriot Workers or SEK (pro-West) 
      
      Pan-Cyprian Labor Federation or PEO (Communist controlled) 
      
      
        area administered by Turkish Cypriots: Federation of Turkish Cypriot Labor Unions or Turk-Sen 
      
      Confederation of Revolutionary Labor Unions or Dev-Is"
Czech Republic,Czech-Moravian Confederation of Trade Unions or CMKOS [Jaroslav ZAVADIL]
Denmark,"Confederation of Danish Employers or DA [President Jorn Neergaard LARSEN] 
      
      Confederation of Danish Industries [CEO Karsten DYBVAD] 
      
      Confederation of Danish Labor Unions (Landsorganisationen) or LO [President Harald BORSTING] 
      
      Danish Shipowners' Association [Chairman Carsten MORTENSEN]; Danish Bankers Association [CEO Joergen HORWITZ] 
      
      DaneAge Association [President Bjarne HASTRUP] 
      
      Danish Society for Nature Conservation [President Ella Maria BISSCHOP-LARSEN] 
      
      
        other: environmental groups; humanitarian relief; development assistance; human rights NGOs"
Djibouti,NA
Dominica,Dominica Liberation Movement or DLM (a small leftist party)
Dominican Republic,"Citizen Participation Group (Participacion Ciudadania) 
      
      Collective of Popular Organizations or COP 
      
      Foundation for Institution-Building and Justice or FINJUS"
Ecuador,"Confederation of Indigenous Nationalities of Ecuador or CONAIE [Humberto CHOLANGO] 
      
      Federation of Indigenous Evangelists of Ecuador or FEINE [Manuel CHUGCHILAN, president] 
      
      National Federation of Indigenous Afro-Ecuatorianos and Peasants or FENOCIN 
      
      National Teacher's Union or UNE [Mariana PALLASCO]"
Egypt,NA
El Salvador,"labor organizations:  
      
      Electrical Industry Union of El Salvador or SIES 
      
      Federation of the Construction Industry, Similar Transport and other activities, or FESINCONTRANS 
      
      National Confederation of Salvadoran Workers or CNTS 
      
      National Union of Salvadoran Workers or UNTS 
      
      Port Industry Union of El Salvador or SIPES 
      
      Salvadoran Union of Ex-Petrolleros and Peasant Workers or USEPOC 
      
      Salvadoran Workers Central or CTS 
      
      Workers Union of Electrical Corporation or STCEL 
      
      
      
      
        business organizations: 
      
      National Association of Small Enterprise or ANEP 
      
      Salvadoran Assembly Industry Association or ASIC 
      
      Salvadoran Industrial Association or ASI"
Equatorial Guinea,"ASODEGUE (Madrid-based pressure group for democratic reform) 
      
      EG Justice (US-based anti-corruption group)"
Eritrea,"Democratic Movement for the Liberation of Eritrean Kunama (DMLEK) 
      
      Eritrean Democratic Alliance (EDA) 
      
      Eritrean National Congress for Democratic Change (ENCDC) 
      
      Eritrean National Salvation Front (ENSF) 
      
      Eritrean Islamic Party for Justice and Development (EIPJD) (includes the Eritrean Islamic Jihad (EIJ), Eritrean Islamic Jihad Movement (EIJM), Eritrean Islamic Salvation, and the Eritrean Islamic Foundation) 
      
      Eritrean People's Democratic Party (EPDP) 
      
      Red Sea Afar Democratic Organization (RSADO)"
Ethiopia,"Ethiopian People's Patriotic Front or EPPF 
      
      Ogaden National Liberation Front or ONLF 
      
      Oromo Liberation Front or OLF [DAOUD Ibsa]"
Falkland Islands (Islas Malvinas),Falkland Islands Association (supports freedom of the people from external causes)
Faroe Islands,conservationists
Fiji,"Group Against Racial Discrimination or GARD [Dr. Anirudk SINGH] (for restoration of a democratic government) 
      
      Viti Landowners Association"
France,"Confederation Francaise Democratique du Travail (French Democratic Confederation of Labor) or CFDT, left-leaning labor union with approximately 875,000 members [Laurent BERGER, Secretary General] 
      
      Confederation francaise de l'encadrement - Confederation generale des cadres (French Confederation of Management - General Confederation of Executives) or CFE-CGC, independent white-collar union with 140,000 members [Carole COUVERT, president] 
      
      Confederation francaise des travailleurs chretiens (French Confederation of Christian Workers) or CFTC, independent labor union founded by Catholic workers that claims 142,000 members [Philippe LOUIS, president] 
      
      Confederation generale du travail (General Confederation of Labor) or CGT, historically communist labor union with approximately 710,000 members [Bernard THIBAULT, secretary general] 
      
      Confederation generale du travail - Force ouvriere (General Confederation of Labor - Worker's Force) or FO, independent labor union with an estimated 300,000 members [Jean-Claude MAILLY, secretary general] 
      
      Mouvement des entreprises de France or MEDEF, employers' union with 750,000 companies as members (claimed) [Pierre GATTAZ, president] 
      
      
      
      
        French Guiana: 
      
      conservationists 
      
      gold mining pressure groups 
      
      hunting pressure groups 
      
      
      
      
        Guadeloupe: 
      
      Christian Movement for the Liberation of Guadeloupe or KLPG 
      
      General Federation of Guadeloupe Workers or CGT-G 
      
      General Union of Guadeloupe Workers or UGTG 
      
      Movement for an Independent Guadeloupe or MPGI 
      
      The Socialist Renewal Movement 
      
      
      
      
        Martinique: 
      
      Caribbean Revolutionary Alliance or ARC 
      
      Central Union for Martinique Workers or CSTM 
      
      Frantz Fanon Circle 
      
      League of Workers and Peasants 
      
      Proletarian Action Group or GAP 
      
      
      
      
        Reunion: 
      
      NA"
French Polynesia,NA
Gabon,NA
"Gambia, The","National Environment Agency or NEA 
      
      West African Peace Building Network-Gambian Chapter or WANEB-GAMBIA 
      
      Youth Employment Network Gambia or YENGambia 
      
      
        other: special needs group advocates; teachers and principals"
Georgia,separatists in the Russian-occupied regions of Abkhazia and South Ossetia
Germany,"business associations and employers' organizations 
      
      trade unions; religious, immigrant, expellee, and veterans groups"
Ghana,"Christian Aid (water rights) 
      
      Committee for Joint Action or CJA (education reform) 
      
      National Coalition Against the Privatization of Water or CAP (water rights) 
      
      Oxfam (water rights) 
      
      Public Citizen (water rights) 
      
      Students Coalition Against EPA [Kwabena Ososukene OKAI] (education reform) 
      
      Third World Network (education reform)"
Gibraltar,"Chamber of Commerce 
      
      Gibraltar Representatives Organization 
      
      Women's Association"
Greece,"Supreme Administration of Civil Servants Unions or ADEDY [Spyros PAPASPYROS] 
      
      Federation of Greek Industries or SEV [Dimitris DASKALOPOULOS] 
      
      General Confederation of Greek Workers or GSEE [Ioannis PANAGOPOULOS]"
Greenland,conservationists; environmentalists
Grenada,"Committee for Human Rights in Grenada or CHRG 
      
      New Jewel Movement Support Group 
      
      The British Grenada Friendship Society 
      
      The New Jewel 19 Committee"
Guam,"Guam Commission on Decolonization 
      
      Guam Federation of Teachers' Union 
      
      Guam Waterworks Authority Workers 
      
      We Are Guahan"
Guatemala,"Alliance Against Impunity or AI (which includes among others Center for Legal Action on Human Rights (CALDH), and Family and Friends of the Disappeared of Guatemala (FAMDEGUA)) 
      
      Civic and Political Convergence of Women 
      
      Committee for Campesino Unity or CUC 
      
      Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF 
      
      Foundation for the Development of Guatemala or FUNDESA 
      
      Guatemala Visible 
      
      Mutual Support Group or GAM 
      
      Movimiento PRO-Justicia 
      
      National Union of Agriculture Workers or UNAGRO"
Guernsey,"Stop Traffic Endangering Pedestrian Safety or STEPS 
      
      No More Masts [Colin FALLAIZE]"
Guinea,National Confederation of Guinean Workers-Labor Union of Guinean Workers or CNTG-USTG Alliance (includes National Confederation of Guinean Workers or CNTG and Labor Union of Guinean Workers or USTG); Syndicate of Guinean Teachers and Researchers or SLECG
Guinea-Bissau,NA
Guyana,"Amerindian People's Association 
      
      Guyana Bar Association 
      
      Guyana Citizens Initiative 
      
      Guyana Human Rights Association 
      
      Guyana Public Service Union or GPSU 
      
      Private Sector Commission 
      
      Trades Union Congress"
Haiti,"Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR] 
      
      Confederation of Haitian Workers or CTH 
      
      Economic Forum of the Private Sector or EF [Reginald BOULOS] 
      
      Federation of Workers Trade Unions or FOS 
      
      General Organization of Independent Haitian Workers [Patrick NUMAS] 
      
      Grand-Anse Resistance Committee, or KOREGA 
      
      The Haitian Association of Industries or ADIH [Georges SASSINE] 
      
      National Popular Assembly or APN 
      
      Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE] 
      
      Popular Organizations Gathering Power or PROP 
      
      Protestant Federation of Haiti 
      
      Roman Catholic Church"
Holy See (Vatican City),none (exclusive of influence exercised by church officers)
Honduras,"Beverage and Related Industries Syndicate or STIBYS 
      
      Committee for the Defense of Human Rights in Honduras or CODEH 
      
      Commiittee of the Relatives of the Disappeared in Honduras or COFADEH 
      
      Confederation of Honduran Workers or CTH 
      
      Coordinating Committee of Popular Organizations or CCOP 
      
      General Workers Confederation or CGT 
      
      Honduran Council of Private Enterprise or COHEP 
      
      National Association of Honduran Campesinos or ANACH 
      
      National Union of Campesinos or UNC 
      
      Popular Bloc or BP 
      
      United Confederation of Honduran Workers or CUTH 
      
      United Farm Workers' Movement of the Aguan OR MUCA"
Hong Kong,"Chinese General Chamber of Commerce (pro-China); Chinese Manufacturers' Association of Hong Kong; Confederation of Trade Unions or CTU (pro-democracy) [LEE Cheuk-yan, general secretary]; Federation of Hong Kong Industries; Federation of Trade Unions or FTU (pro-China) [CHENG Yiu-tong, executive councilor]; Hong Kong Alliance in Support of the Patriotic Democratic Movement in China [LEE Cheuk-yan, chairman]; Hong Kong and Kowloon Trade Union Council (pro-Taiwan); Hong Kong General Chamber of Commerce; Hong Kong Professional Teachers' Union [FUNG Wai-wah, president]; Neighborhood and Workers' Service Center or NWSC [LEUNG Yiu-chung, LegCo member] (pro-democracy); Civic Act-up [Cyd HO Sau-lan, LegCo member] (pro-democracy)"
Hungary,"Air Work Group (works to reduce air pollution in towns and cities) 
      
      Danube Circle (protests the building of the Gabchikovo-Nagymaros dam) 
      
      Fourth Republic (Negyedik Koztarsasag) or 4K! (anti-Orban, pro-democracy Facebook movement emerged from a Facebook group, One Million for Freedom of the Press or ""Milla"") 
      
      Green Future (protests the impact of lead contamination of local factory on health of the people) 
      
      Hungarian Civil Liberties Union (Tarsasag a Szabadsagjogokert) or TASZ (freedom of expression, information privacy) 
      
      Hungarian Helsinki Committee (asylum seekers' rights, human rights in law enforcement and the judicial system) 
      
      Szolidaritas (""Solidarity,"" formed in October 2011 by three trade unions and an NGO - anti-Orban government) 
      
      ""Egyutt 2014-Parbeszed Magyarorszagert"" (""Together 2014-Dialogue for Hungary,"" a political electoral alliance bringing together Milla, Szolidaritas, and ""Haza es Haladas,"" an association headed by former PM Gordon BAJNAI, to contest Fidesz and Viktor ORBAN in the 2014 parliamentary elections) 
      
      Civil Osszefogas Forum (""Civil Unity Forum,"" nominally independent organization that serves as the steering committee for the pro-government mass organization Bekemenet (Peace March), supporting ORBAN government's policies) 
      
      
      
      
        environmentalists: 
      
      Hungarian Ornithological and Nature Conservation Society (Magyar Madartani Egyesulet) or MME 
      
      Green Alternative (Zold Alternativa)"
India,"All Parties Hurriyat Conference in the Kashmir Valley (separatist group) 
      
      Bajrang Dal (religious organization) 
      
      India Against Corruption [Anna HAZARE] 
      
      Jamiat Ulema-e Hind (religious organization) 
      
      Rashtriya Swayamsevak Sangh [Mohan BHAGWAT] (nationalist organization) 
      
      Vishwa Hindu Parishad [Ashok SINGHAL] (religious organization) 
      
      
      
      
        other: 
      
      numerous religious or militant/chauvinistic organizations 
      
      hundreds of social reform, anti-corruption, and environmental groups at state and local level 
      
      various separatist groups seeking greater communal and/or regional autonomy"
Indonesia,"Commission for the ""Disappeared"" and Victims of Violence or KontraS 
      
      Indonesia Corruption Watch or ICW 
      
      Indonesian Forum for the Environment or WALHI"
Iran,"groups that generally support the Islamic Republic:  
      
      Ansar-e Hizballah 
      
      Followers of the Line of the Imam and the Leader 
      
      Islamic Coalition Party (Motalefeh) 
      
      Islamic Engineers Society 
      
      Tehran Militant Clergy Association (MCA; Ruhaniyat) 
      
      
      
      
        active pro-reform student group: 
      
      Office of Strengthening Unity (OSU) 
      
      
      
      
        opposition groups: 
      
      Freedom Movement of Iran 
      
      Green Path movement [Mehdi KARUBI, Mir-Hosein MUSAVI] 
      
      Marz-e Por Gohar 
      
      National Front 
      
      various ethnic and monarchist organizations 
      
      
      
      
        armed political groups repressed by the government: 
      
      Democratic Party of Iranian Kurdistan (KDPI) 
      
      Harekat-e Ansar-e Iran (splinter faction of Jundallah) 
      
      Jaysh l-Adl (formerly known as Jundallah) 
      
      Komala 
      
      Mojahedin-e Khalq Organization (MEK or MKO) 
      
      People's Fedayeen 
      
      People's Free Life Party of Kurdistan (PJAK)"
Iraq,"Sunni militias 
      
      Shia militias, some associated with political parties"
Ireland,"Families Acting for Innocent Relatives or FAIR [Brian MCCONNELL] (seek compensation for victims of violence); 
      
      Iona Institute [David QUINN] (a conservative Catholic think tank); 
      
      Irish Anti-War Movement [Richard BOYD BARRETT] (campaigns against wars around the world); 
      
      Oglaigh na hEireann (terrorist group); 
      
      Continuity IRA (terrorist group); 
      
      New Irish Republican Army (terrorist group combining elements of the former Real IRA and Republican Action Against Drugs); 
      
      Keep Ireland Open (environmental group); 
      
      Midland Railway Action Group or MRAG [Willie ALLEN] (transportation promoters); 
      
      Peace and Neutrality Alliance [Roger COLE] (campaigns to protect Irish neutrality); 
      
      Rail Users Ireland (formerly the Platform 11 - transportation promoters); 
      
      32 Country Sovereignty Movement or 32CSM (supports unifying Northern Ireland with the rest of the island under Irish government sovereignty);"
Isle of Man,"Alliance for Progressive Government or APG (a government watchdog) 
      
      Mec Vannin (political party advocating a sovereign state and environment policies); note - has only had one member elected to the Tynwald"
Israel,"B'Tselem [Jessica MONTELL, Executive Director] monitors human rights abuses 
      
      Peace Now [Yariv OPPENHEIMER, Secretary General] supports territorial concessions in the West Bank and Gaza Strip 
      
      YESHA Council [Danny DAYAN, Chairman] promotes settler interests and opposes territorial compromise 
      
      Breaking the Silence [Yehuda SHAUL, Executive Director] collects testimonies from soldiers who served in the West Bank and Gaza Strip"
Italy,"manufacturers and merchants associations - Confcommercio; Confindustria 
      
      organized farm groups - Confcoltivatori; Confagricoltura; Roman Catholic Church 
      
      three major trade union confederations - Confederazione Generale Italiana del Lavoro or CGIL [Susanna CAMUSSO] which is left wing; Confederazione Italiana dei Sindacati Lavoratori or CISL [Raffaele BONANNI], which is Roman Catholic centrist; Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist"
Jamaica,"New Beginnings Movement or NBM 
      
      Rastafarians"
Japan,other: business groups; trade unions
Jersey,"Institute of Directors, Jersey branch (provides business support) 
      
      Jersey Hospitality Association [Robert JONES] (trade association) 
      
      Jersey Rights Association [David ROTHERHAM] (human rights) 
      
      La Societe Jersiaise (education and conservation group) 
      
      Progress Jersey [Daren O'TOOLE, Gino RISOLI] (human rights) 
      
      Royal Jersey Agriculture and Horticultural Society or RJA&HS (development and management of the Jersey breed of cattle) 
      
      Save Jersey's Heritage (protects heritage through building preservation)"
Jordan,"15 April Movement [Mohammad SUNEID, chairman] 
      
      24 March Movement [Mu'az al-KHAWALIDAH, Abdel Rahman HASANEIN, spokespersons] 
      
      1952 Constitution Movement 
      
      Anti-Normalization Committee [Hamzah MANSOUR, chairman] 
      
      Economic and Social Association of Retired Servicemen and Veterans or ESARSV [Abdulsalam al-HASSANAT, chairman] 
      
      Group of 36 
      
      Higher Coordination Committee of Opposition Parties [Said DIAB] 
      
      Higher National Committee for Military Retirees or HNCMR [Ali al-HABASHNEH, chairman] 
      
      Hirak 
      
      Jordan Bar Association [Saleh al-ARMUTI, chairman] 
      
      Jordanian Campaign for Change or Jayin 
      
      Jordanian Muslim Brotherhood [Dr. Hamam SAID, controller general] 
      
      Jordanian Press Association [Sayf al-SHARIF, president] 
      
      National Front for Reform or NFR [Ahmad OBEIDAT, chairman] 
      
      Popular Gathering for Reform 
      
      Professional Associations Council [Abd al-Hadi al-FALAHAT, chairman] 
      
      Sons of Jordan"
