Afghanistan,2.2% (2008)
Luxembourg,26% (2008)
Macedonia,21.1% (2008)
Madagascar,1.6% (2008)
Malawi,4.3% (2008)
Malaysia,14% (2008)
Maldives,12.9% (2008)
Mali,4.3% (2008)
Malta,28.8% (2008)
Marshall Islands,45.4% (2008)
Mauritania,12.7% (2008)
Mauritius,18.5% (2008)
Mexico,32.1% (2008)
"Micronesia, Federated States of",40.6% (2008)
Moldova,21.2% (2008)
Mongolia,14.4% (2008)
Montenegro,22.5% (2008)
Morocco,16.4% (2008)
Mozambique,4.9% (2008)
Namibia,9.5% (2008)
Nauru,71.1% (2008)
Nepal,1.4% (2008)
Netherlands,18.8% (2008)
New Zealand,28.3% (2008)
Nicaragua,22.2% (2008)
Niger,2.4% (2008)
Nigeria,6.5% (2008)
Norway,21.5% (2008)
Oman,20.9% (2008)
Pakistan,5.5% (2008)
Palau,48.9% (2008)
Panama,25.4% (2008)
Papua New Guinea,16.2% (2008)
Paraguay,17.9% (2008)
Peru,15.7% (2008)
Philippines,6.3% (2008)
Poland,25.3% (2008)
Portugal,24% (2008)
Qatar,33.2% (2008)
Romania,19.1% (2008)
Russia,26.5% (2008)
Rwanda,4.3% (2008)
Saint Kitts and Nevis,40.7% (2008)
Saint Lucia,21.4% (2008)
Saint Vincent and the Grenadines,23.4% (2008)
Samoa,54.1% (2008)
Sao Tome and Principe,9.5% (2008)
Saudi Arabia,33% (2008)
Senegal,6.8% (2008)
Serbia,24.8% (2008)
Seychelles,23.9% (2008)
Sierra Leone,6.8% (2008)
Singapore,7.1% (2008)
Slovakia,25.4% (2008)
Slovenia,28.6% (2008)
Solomon Islands,30% (2008)
Somalia,4.8% (2008)
South Africa,31.3% (2008)
Spain,26.6% (2008)
Sri Lanka,5.1% (2008)
Sudan,6% (2008)
Suriname,25.1% (2008)
Swaziland,19.7% (2008)
Sweden,18.6% (2008)
Switzerland,17.5% (2008)
Syria,27.1% (2008)
Tajikistan,8.6% (2008)
Tanzania,5% (2008)
Thailand,8.8% (2008)
Timor-Leste,2.7% (2008)
Togo,4.3% (2008)
Tokelau,63.4% (2007)
Tonga,57.6% (2008)
Trinidad and Tobago,29.3% (2008)
Tunisia,22.3% (2008)
Turkey,27.8% (2008)
Turkmenistan,13.2% (2008)
Uganda,4.3% (2008)
Ukraine,21.3% (2008)
United Arab Emirates,32.7% (2008)
United Kingdom,26.9% (2008)
United States,33% (2008)
Uruguay,24.8% (2008)
Uzbekistan,15.1% (2008)
Vanuatu,27.5% (2008)
Venezuela,30.3% (2008)
Vietnam,1.7% (2008)
Yemen,14.5% (2008)
Zambia,3.6% (2008)
Zimbabwe,7% (2008)
