Afghanistan,"Pashtun 42%, Tajik 27%, Hazara 9%, Uzbek 9%, Aimak 4%, Turkmen 3%, Baloch 2%, other 4%"
Israel,"Jewish 75.1% (of which Israel-born 73.6%, Europe/America/Oceania-born 17.9%, Africa-born 5.2%, Asia-born 3.2%), non-Jewish 24.9% (mostly Arab) (2012 est.)"
Italy,"Italian (includes small clusters of German-, French-, and Slovene-Italians in the north and Albanian-Italians and Greek-Italians in the south)"
Jamaica,"black 92.1%, mixed 6.1%, East Indian 0.8%, other 0.4%, unspecified 0.7% (2011 est.)"
Japan,"Japanese 98.5%, Koreans 0.5%, Chinese 0.4%, other 0.6% 
      
      
        note: up to 230,000 Brazilians of Japanese origin migrated to Japan in the 1990s to work in industries; some have returned to Brazil (2004)"
Jersey,"Jersey 46.4%, British 32.7%, Portuguese/Madeiran 8.2%, Polish 3.3%, Irish, French, and other white 7.1%, other 2.4% (2011 est.)"
Jordan,"Arab 98%, Circassian 1%, Armenian 1%"
Kazakhstan,"Kazakh (Qazaq) 63.1%, Russian 23.7%, Uzbek 2.9%, Ukrainian 2.1%, Uighur 1.4%, Tatar 1.3%, German 1.1%, other 4.4% (2009 est.)"
Kenya,"Kikuyu 22%, Luhya 14%, Luo 13%, Kalenjin 12%, Kamba 11%, Kisii 6%, Meru 6%, other African 15%, non-African (Asian, European, and Arab) 1%"
Kiribati,"I-Kiribati 89.5%, I-Kiribati/mixed 9.7%, Tuvaluan 0.1%, other 0.8% (2010 est.)"
"Korea, North",racially homogeneous; there is a small Chinese community and a few ethnic Japanese
"Korea, South","homogeneous (except for about 20,000 Chinese)"
Kosovo,"Albanians 92%, other (Serb, Bosniak, Gorani, Roma, Turk, Ashkali, Egyptian) 8% (2008)"
Kuwait,"Kuwaiti 31.3%, other Arab 27.9%, Asian 37.8%, African 1.9%, other 1.1% (includes European, North American, South American, and Australian) (2013 est.)"
Kyrgyzstan,"Kyrgyz 64.9%, Uzbek 13.8%, Russian 12.5%, Dungan 1.1%, Ukrainian 1%, Uighur 1%, other 5.7% (1999 census)"
Laos,"Lao 55%, Khmou 11%, Hmong 8%, other (over 100 minor ethnic groups) 26% (2005 census)"
Latvia,"Latvian 61.1%, Russian 26.2%, Belarusian 3.5%, Ukrainian 2.3%, Polish 2.2%, Lithuanian 1.3%, other 3.4% (2013 est.)"
Lebanon,"Arab 95%, Armenian 4%, other 1% 
      
      
        note: many Christian Lebanese do not identify themselves as Arab but rather as descendents of the ancient Canaanites and prefer to be called Phoenicians"
Lesotho,"Sotho 99.7%, Europeans, Asians, and other 0.3%,"
Liberia,"Kpelle 20.3%, Bassa 13.4%, Grebo 10%, Gio 8%, Mano 7.9%, Kru 6%, Lorma 5.1%, Kissi 4.8%, Gola 4.4%, other 20.1% (2008 Census)"
Libya,"Berber and Arab 97%, other 3% (includes Greeks, Maltese, Italians, Egyptians, Pakistanis, Turks, Indians, and Tunisians)"
Liechtenstein,"Liechtensteiner 65.6%, other 34.4% (2000 census)"
Lithuania,"Lithuanian 84.1%, Polish 6.6%, Russian 5.8%, Belarusian 1.2%, other 1.1%, unspecified 1.2% (2011 est.)"
Luxembourg,"Luxembourger 63.1%, Portuguese 13.3%, French 4.5%, Italian 4.3%, German 2.3%, other EU 7.3%, other 5.2% (2000 census)"
Macau,"Chinese 92.4%, Portuguese 0.6%, mixed 1.1%, other 5.9% (includes Macanese - mixed Portuguese and Asian ancestry) (2011 est.)"
Macedonia,"Macedonian 64.2%, Albanian 25.2%, Turkish 3.9%, Roma (Gypsy) 2.7%, Serb 1.8%, other 2.2% (2002 census)"
Madagascar,"Malayo-Indonesian (Merina and related Betsileo), Cotiers (mixed African, Malayo-Indonesian, and Arab ancestry - Betsimisaraka, Tsimihety, Antaisaka, Sakalava), French, Indian, Creole, Comoran"
Malawi,"Chewa 32.6%, Lomwe 17.6%, Yao 13.5%, Ngoni 11.5%, Tumbuka 8.8%, Nyanja 5.8%, Sena 3.6%, Tonga 2.1%, Ngonde 1%, other 3.5%"
Malaysia,"Malay 50.1%, Chinese 22.6%, indigenous 11.8%, Indian 6.7%, other 0.7%, non-citizens 8.2% (2010 est.)"
Maldives,"South Indians, Sinhalese, Arabs"
Mali,"Mande 50% (Bambara, Malinke, Soninke), Peul 17%, Voltaic 12%, Songhai 6%, Tuareg and Moor 10%, other 5%"
Malta,Maltese (descendants of ancient Carthaginians and Phoenicians with strong elements of Italian and other Mediterranean stock)
Marshall Islands,"Marshallese 92.1%, mixed Marshallese 5.9%, other 2% (2006)"
Mauritania,"black Moors (Haratines - Arab-speaking slaves, former slaves, and their descendants of African origin, enslaved by white Moors) 40%, white Moors (of Arab-Berber descent, known as Bidhan) 30%, black Africans (non-Arabic speaking, Halpulaar, Soninke, Wolof, and Bamara ethnic groups) 30%"
Mauritius,"Indo-Mauritian 68%, Creole 27%, Sino-Mauritian 3%, Franco-Mauritian 2%"
Mexico,"mestizo (Amerindian-Spanish) 60%, Amerindian or predominantly Amerindian 30%, white 9%, other 1%"
"Micronesia, Federated States of","Chuukese/Mortlockese 49.3%, Pohnpeian 29.8%, Kosraean 6.3%, Yapese 5.7%, Yap outer islanders 5.1%, Polynesian 1.6%, Asian 1.4%, other 0.8% (2010 est.)"
Moldova,"Moldovan 75.8%, Ukrainian 8.4%, Russian 5.9%, Gagauz 4.4%, Romanian 2.2%, Bulgarian 1.9%, other 1%, unspecified 0.4% 
      
      
        note: internal disputes with ethnic Slavs in the Transnistrian region (2004 est.)"
Monaco,"French 47%, Monegasque 16%, Italian 16%, other 21%"
Mongolia,"Khalkh 81.9%, Kazak 3.8%, Dorvod 2.7%, Bayad 2.1%, Buryat-Bouriates 1.7%, Zakhchin 1.2%, Dariganga 1%, Uriankhai 1%, other 4.6% (2010 est.)"
Montenegro,"Montenegrin 45%, Serbian 28.7%, Bosniak 8.7%, Albanian 4.9%, Muslim 3.3%, Roma 1%, Croat 1%, other 2.6%, unspecified 4.9% (2011 est.)"
Montserrat,"African/black 88.4%, mixed 3.7%, hispanic/Spanish 3%, caucasian/white 2.7%, East Indian/Indian 1.5%, other 0.7% (2011 est.)"
Morocco,"Arab-Berber 99%, other 1%"
Mozambique,"African 99.66% (Makhuwa, Tsonga, Lomwe, Sena, and others), Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08%"
Namibia,"black 87.5%, white 6%, mixed 6.5% 
      
      
        note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups include Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5%"
Nauru,"Nauruan 58%, other Pacific Islander 26%, Chinese 8%, European 8%"
Nepal,"Chhettri 16.6%, Brahman-Hill 12.2%, Magar 7.1%, Tharu 6.6%, Tamang 5.8%, Newar 5%, Kami 4.8%, Muslim 4.4%, Yadav 4%, Rai 2.3%, Gurung 2%, Damai/Dholii 1.8%, Thakuri 1.6%, Limbu 1.5%, Sarki 1.4%, Teli 1.4%, Chamar/Harijan/Ram 1.3%, Koiri/Kushwaha 1.2%, other 19% 
      
      
        note: 125 caste/ethnic groups were reported in the 2011 national census (2011 est.)"
Netherlands,"Dutch 80.7%, EU 5%, Indonesian 2.4%, Turkish 2.2%, Surinamese 2%, Moroccan 2%, Caribbean 0.8%, other 4.8% (2008 est.)"
New Caledonia,"Kanak 40.3%, European 29.2%, Wallisian, Futunian 8.7%, Tahitian 2%, Indonesian 1.6%, Vietnamese 1%, Ni-Vanuatu 0.9%, other 16.2% (2009 est.)"
New Zealand,"European 71.2%, Maori 14.1%, Asian 11.3%, Pacific peoples 7.6%, Middle Eastern, Latin American, African 1.1%, other 1.6%, not stated or unidentified 5.4% 
      
      
        note: based on the 2013 census of the usually resident population; percentages add up to more than 100% because respondents were able to identify more than one ethnic group (2013 est.)"
Nicaragua,"mestizo (mixed Amerindian and white) 69%, white 17%, black 9%, Amerindian 5%"
Niger,"Haoussa 55.4%, Djerma Sonrai 21%, Tuareg 9.3%, Peuhl 8.5%, Kanouri Manga 4.7%, other 1.2% (2001 census)"
Nigeria,"Nigeria, Africa's most populous country, is composed of more than 250 ethnic groups; the following are the most populous and politically influential: Hausa and Fulani 29%, Yoruba 21%, Igbo (Ibo) 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5%"
Niue,"Niuen 66.5%, part-Niuen 13.4%, non-Niuen 20.1% (includes 12% European and Asian and 8% Pacific Islanders) (2011 est.)"
Norfolk Island,"Australian 79.5%, New Zealander 13.3%, Fijian 2.5%, Filipino 1.1%, English 1%, other 1.8%, unspecified 0.8% (2011 est.)"
Northern Mariana Islands,"Asian 50% (includes Filipino 35.3%, Chinese 6.8%, Korean 4.2%, and other Asian 3.7%), Native Hawaiian or other Pacific Islander 34.9% (includes Chamorro 23.9%, Carolinian 4.6%, and other Native Hawaiian or Pacific Islander 6.4%), other 2.5%, two or more ethnicities or races 12.7% (2010 est.)"
Norway,"Norwegian 94.4% (includes Sami, about 60,000), other European 3.6%, other 2% (2007 estimate)"
Oman,"Arab, Baluchi, South Asian (Indian, Pakistani, Sri Lankan, Bangladeshi), African"
Pakistan,"Punjabi 44.68%, Pashtun (Pathan) 15.42%, Sindhi 14.1%, Sariaki 8.38%, Muhajirs 7.57%, Balochi 3.57%, other 6.28%"
Palau,"Palauan (Micronesian with Malayan and Melanesian admixtures) 72.5%, Carolinian 1%, other Micronesian 2.4%, Filipino 16.3%, Chinese 1.6%, Vietnamese 1.6%, other Asian 3.4%, white 0.9%, other 0.3% (2005 est.)"
Panama,"mestizo (mixed Amerindian and white) 70%, Amerindian and mixed (West Indian) 14%, white 10%, Amerindian 6%"
Papua New Guinea,"Melanesian, Papuan, Negrito, Micronesian, Polynesian"
Paraguay,"mestizo (mixed Spanish and Amerindian) 95%, other 5%"
Peru,"Amerindian 45%, mestizo (mixed Amerindian and white) 37%, white 15%, black, Japanese, Chinese, and other 3%"
Philippines,"Tagalog 28.1%, Cebuano 13.1%, Ilocano 9%, Bisaya/Binisaya 7.6%, Hiligaynon Ilonggo 7.5%, Bikol 6%, Waray 3.4%, other 25.3% (2000 census)"
Pitcairn Islands,descendants of the Bounty mutineers and their Tahitian wives
Poland,"Polish 96.9%, Silesian 1.1%, German 0.2%, Ukrainian 0.1%, other and unspecified 1.7% 
      
      
        note: represents ethnicity declared first (2011 est.)"
Portugal,"homogeneous Mediterranean stock; citizens of black African descent who immigrated to mainland during decolonization number less than 100,000; since 1990 East Europeans have entered Portugal"
Puerto Rico,"white 75.8%, black/African American 12.4%, other 8.5% (includes American Indian, Alaskan Native, Native Hawaiian, other Pacific Islander, and others), mixed 3.3% 
      
      
        note: 99% of the population is Latino (2010 est.)"
Qatar,"Arab 40%, Indian 18%, Pakistani 18%, Iranian 10%, other 14%"
Romania,"Romanian 83.4%, Hungarian 6.1%, Roma 3.1%, Ukrainian 0.3%, German 0.2%, other 0.7%, unspecified 6.1% (2011 est.)"
Russia,"Russian 77.7%, Tatar 3.7%, Ukrainian 1.4%, Bashkir 1.1%, Chuvash 1%, Chechen 1%, other 10.2%, unspecified 3.9% 
      
      
        note: more than 190 ethnic groups are represents in Russia's 2010 census (2010 est.)"
Rwanda,"Hutu (Bantu) 84%, Tutsi (Hamitic) 15%, Twa (Pygmy) 1%"
Saint Barthelemy,"white, Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia)"
"Saint Helena, Ascension, and Tristan da Cunha","African descent 50%, white 25%, Chinese 25%"
Saint Kitts and Nevis,"predominantly black; some British, Portuguese, and Lebanese"
Saint Lucia,"black/African descent 85.3%, mixed 10.9%, East Indian 2.2%, other 1.6%, unspecified 0.1% (2010 est.)"
Saint Martin,"Creole (mulatto), black, Guadeloupe Mestizo (French-East Asia), white, East Indian"
Saint Pierre and Miquelon,Basques and Bretons (French fishermen)
Saint Vincent and the Grenadines,"black 66%, mixed 19%, East Indian 6%, European 4%, Carib Amerindian 2%, other 3%"
Samoa,"Samoan 92.6%, Euronesians (persons of European and Polynesian blood) 7%, Europeans 0.4% (2001 census)"
San Marino,"Sammarinese, Italian"
Sao Tome and Principe,"mestico, angolares (descendants of Angolan slaves), forros (descendants of freed slaves), servicais (contract laborers from Angola, Mozambique, and Cabo Verde), tongas (children of servicais born on the islands), Europeans (primarily Portuguese), Asians (mostly Chinese)"
Saudi Arabia,"Arab 90%, Afro-Asian 10%"
Senegal,"Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4%"
Serbia,"Serb 83.3%, Hungarian 3.5%, Romany 2.1%, Bosniak 2%, other 5.7%, undeclared or unknown 3.4% (2011 est.)"
Seychelles,"mixed French, African, Indian, Chinese, and Arab"
Sierra Leone,"Temne 35%, Mende 31%, Limba 8%, Kono 5%, Kriole 2% (descendants of freed Jamaican slaves who were settled in the Freetown area in the late-18th century; also known as Krio), Mandingo 2%, Loko 2%, other 15% (includes refugees from Liberia's recent civil war, and small numbers of Europeans, Lebanese, Pakistanis, and Indians) (2008 census)"
Singapore,"Chinese 74.2%, Malay 13.3%, Indian 9.2%, other 3.3% (2013 est.)"
Slovakia,"Slovak 80.7%, Hungarian 8.5%, Roma 2%, other and unspecified 8.8% (2011 est.)"
Slovenia,"Slovene 83.1%, Serb 2%, Croat 1.8%, Bosniak 1.1%, other or unspecified 12% (2002 census)"
Solomon Islands,"Melanesian 95.3%, Polynesian 3.1%, Micronesian 1.2%, other 0.3% (2009 est.)"
Somalia,"Somali 85%, Bantu and other non-Somali 15% (including 30,000 Arabs)"
South Africa,"black African 79.2%, white 8.9%, colored 8.9%, Indian/Asian 2.5%, other 0.5% (2011 est.)"
South Sudan,"Dinka 35.8%, Nuer 15.6%, Shilluk, Azande, Bari, Kakwa, Kuku, Murle, Mandari, Didinga, Ndogo, Bviri, Lndi, Anuak, Bongo, Lango, Dungotona, Acholi (2011 est.)"
Spain,composite of Mediterranean and Nordic types
