Albania,"70.5% of GDP (2013 est.) 
      
      62.5% of GDP (2012 est.)"
Benin,"29.7% of GDP (2013 est.) 
      
      31.9% of GDP (2012 est.)"
Bhutan,"38.9% of GDP (2013 est.) 
      
      44.1% of GDP (2012 est.)"
Bolivia,"36% of GDP (2013 est.) 
      
      32.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities"
Bosnia and Herzegovina,"45.9% of GDP (2013 est.) 
      
      42.9% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions."
Botswana,"17.9% of GDP (2013 est.) 
      
      17.4% of GDP (2012 est.)"
Brazil,"59.2% of GDP (2013 est.) 
      
      58.8% of GDP (2012 est.)"
Bulgaria,"18.4% of GDP (2013 est.) 
      
      16.3% of GDP (2012 est.) 
      
      defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds"
Burundi,"47.6% of GDP (2013 est.) 
      
      50.3% of GDP (2012 est.)"
Cabo Verde,"86.2% of GDP (2012 est.) 
      
      78.1% of GDP (2011 est.)"
Cambodia,NA% of GDP
Cameroon,"16.7% of GDP (2013 est.) 
      
      16.1% of GDP (2012 est.)"
Canada,"86.3% of GDP (2013 est.) 
      
      85.4% of GDP (2012 est.) 
      
      
        note: figures are for gross general government debt, as opposed to net federal debt; gross general government debt includes both intragovernmental debt and the debt of public entities at the sub-national level"
Chad,"30.5% of GDP (2013 est.) 
      
      31.3% of GDP (2012 est.)"
Chile,"13.9% of GDP (2013 est.) 
      
      11.9% of GDP (2012 est.)"
China,"22.4% of GDP (2013 est.) 
      
      26.1% of GDP (2012) 
      
      
        note: official data; data cover both central government debt and local government debt, which China's National Audit Office estimated at RMB 10.72 trillion (approximately US$1.66 trillion) in 2011; data exclude policy bank bonds, Ministry of Railway debt, China Asset Management Company debt, and non-performing loans"
Colombia,"39.6% of GDP (2013 est.) 
      
      40.5% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities"
"Congo, Republic of the","32.1% of GDP (2013 est.) 
      
      31.8% of GDP (2012 est.)"
Costa Rica,"55% of GDP (2013 est.) 
      
      51.9% of GDP (2012 est.)"
Cote d'Ivoire,"45.2% of GDP (2013 est.) 
      
      47.8% of GDP (2012 est.)"
Croatia,"66.2% of GDP (2013 est.) 
      
      55.6% of GDP (2012 est.)"
Cuba,"35.9% of GDP (2013 est.) 
      
      35.8% of GDP (2012 est.)"
Curacao,"33.2% of GDP (2012 est.) 
      
      40.6% of GDP (2011 est.)"
Cyprus,"113.1% of GDP (2013 est.) 
      
      85.8% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment"
Czech Republic,"48.8% of GDP (2013 est.) 
      
      46.2% of GDP (2012 est.)"
Denmark,"47% of GDP (2013 est.) 
      
      45.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Djibouti,38.6% of GDP (2012 est.)
Dominica,"70% of GDP (2012 est.) 
      
      78% of GDP (2009 est.)"
Dominican Republic,"47% of GDP (2013 est.) 
      
      41.5% of GDP (2012 est.)"
Ecuador,"23.2% of GDP (2013 est.) 
      
      21% of GDP (2012 est.)"
Egypt,"92.2% of GDP (2013 est.) 
      
      88% of GDP (2012 est.) 
      
      
        note: data cover central government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions"
El Salvador,"62% of GDP (2013 est.) 
      
      59.2% of GDP (2012 est.) 
      
      
        note: El Salvador's total public debt includes non-financial public sector debt, financial public sector debt, and central bank debt"
Equatorial Guinea,"11% of GDP (2013 est.) 
      
      9.3% of GDP (2012 est.)"
Eritrea,"104.7% of GDP (2013 est.) 
      
      125.8% of GDP (2012 est.)"
Estonia,"6% of GDP (2013 est.) 
      
      5.8% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds"
Ethiopia,"50.4% of GDP (2013 est.) 
      
      39.7% of GDP (2012 est.) 
      
      
        note: official data cover central government debt, including debt instruments issued (or owned) by government entities other than the treasury and treasury debt owned by foreign entities; the data exclude debt issued by subnational entities, as well as intragovernmental debt; debt instruments for the social funds are not sold at public auctions"
Fiji,"56.2% of GDP (2013 est.) 
      
      53.5% of GDP (2012 est.)"
Finland,"56.5% of GDP (2013 est.) 
      
      53.1% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
France,"93.4% of GDP (2013 est.) 
      
      90.2% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Gabon,"23.2% of GDP (2013 est.) 
      
      22.2% of GDP (2012 est.)"
Georgia,"36.3% of GDP (2012 est.) 
      
      36.5% of GDP (2011 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities; Georgia does not maintain intra-governmental debt or social funds"
Germany,"79.9% of GDP (2013 est.) 
      
      81% of GDP (2012 est.) 
      
      
        note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the sub-sectors of central government, state government, local government and social security funds; the series are presented as a percentage of GDP and in millions of euro; GDP used as a denominator is the gross domestic product at current market prices; data expressed in national currency are converted into euro using end-of-year exchange rates provided by the European Central Bank"
Ghana,"53.1% of GDP (2013 est.) 
      
      50% of GDP (2012 est.)"
Gibraltar,"7.5% of GDP (2008 est.) 
      
      13.5% of GDP (2006 est.)"
Greece,"175% of GDP (2013 est.) 
      
      156.9% of GDP (2012 est.)"
Grenada,110% of GDP (2012 est.)
Guatemala,"31% of GDP (2013 est.) 
      
      29.5% of GDP (2012 est.)"
Guyana,"59.9% of GDP (2013 est.) 
      
      59.5% of GDP (2012 est.)"
Honduras,"40.6% of GDP (2013 est.) 
      
      35.8% of GDP (2012 est.)"
Hong Kong,"35.6% of GDP (2013 est.) 
      
      37.8% of GDP (2012 est.)"
Hungary,"79.8% of GDP (2013 est.) 
      
      79.3% of GDP (2012 est.) 
      
      
        note: general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and government, state government, local government, and social security funds."
Iceland,"130.5% of GDP (2013 est.) 
      
      131.8% of GDP (2012 est.)"
India,"51.8% of GDP (2013 est.) 
      
      51.7% of GDP (2012 est.) 
      
      
        note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Indonesia,"24.2% of GDP (2013 est.) 
      
      23% of GDP (2012 est.)"
Iran,"18.7% of GDP (2013 est.) 
      
      18.6% of GDP (2012 est.) 
      
      
        note: includes publicly guaranteed debt"
Ireland,"124.2% of GDP (2013 est.) 
      
      117.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Israel,"67.1% of GDP (2013 est.) 
      
      66.9% of GDP (2012 est.)"
Italy,"133% of GDP (2013 est.) 
      
      126.9% of GDP (2012 est.) 
      
      
        note: Italy reports its data on public debt according to guidelines set out in the Maastricht Treaty; general government gross debt is defined in the Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year, in the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); the general government sector comprises the central government, state government, local government and social security funds"
Jamaica,"123.6% of GDP (2013 est.) 
      
      132.9% of GDP (2012 est.)"
Japan,"226.1% of GDP (2013 est.) 
      
      219.1% of GDP (2012 est.)"
Jordan,"79.1% of GDP (2013 est.) 
      
      75.5% of GDP (2012 est.) 
      
      
        note: data cover central government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Kazakhstan,"15.6% of GDP (2013 est.) 
      
      13.2% of GDP (2012 est.)"
Kenya,"53.5% of GDP (2013 est.) 
      
      52.5% of GDP (2012 est.)"
"Korea, South","35.8% of GDP (2013 est.) 
      
      35.5% of GDP (2012 est.)"
Kosovo,"9.1% of GDP (2013) 
      
      8.4% of GDP (2012)"
Kuwait,"6.4% of GDP (2013 est.) 
      
      6.3% of GDP (2012 est.)"
Laos,"46.3% of GDP (2013 est.) 
      
      49.1% of GDP (2012 est.)"
Latvia,"39.2% of GDP (2013 est.) 
      
      40.7% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities, including sub-sectors of central government, state government, local government, and social security funds"
Lebanon,"120% of GDP (2013 est.) 
      
      119.6% of GDP (2012 est.) 
      
      
        note: data cover central government debt, and exclude debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment"
Lesotho,NA
Liberia,"3.3% of GDP (2013 est.) 
      
      0.4% of GDP (2012 est.)"
Libya,"4.8% of GDP (2013 est.) 
      
      4.1% of GDP (2012 est.)"
Lithuania,"40.2% of GDP (2013 est.) 
      
      41% of GDP (2012 est.) 
      
      
        note: official data; data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions"
Luxembourg,"22.9% of GDP (2013 est.) 
      
      20.8% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Macedonia,"34.3% of GDP (2013 est.) 
      
      34.1% of GDP (2012 est.) 
      
      
        note: official data from Ministry of Finance; data cover central government debt; this data excludes debt instruments issued (or owned) by government entities other than the treasury; includes treasury debt held by foreign entitites; excludes debt issued by sub-national entities, as well as intra-governmental debt; there are no debt instruments sold for social funds"
Malawi,"50.8% of GDP (2013 est.) 
      
      62.7% of GDP (2012 est.)"
Malaysia,"54.6% of GDP (2013 est.) 
      
      53.3% of GDP (2012 est.) 
      
      
        note: this figure is based on the amount of federal government debt, RM501.6 billion ($167.2 billion) in 2012; this includes Malaysian Treasury bills and other government securities, as well as loans raised externally and bonds and notes issued overseas; this figure excludes debt issued by non-financial public enterprises and guaranteed by the federal government, which was an additional $47.7 billion in 2012"
Mali,"30.5% of GDP (2013 est.) 
      
      27.5% of GDP (2012 est.)"
Malta,"75.3% of GDP (2013 est.) 
      
      70.8% of GDP (2012 est.) 
      
      
        note: Malta reports public debt at nominal value outstanding at the end of the year, according to guidelines set out in the Maastricht Treaty for general government gross debt; the data include the following categories of government liabilities (as defined in ESA95): currency and deposits (AF.2), securities other than shares excluding financial derivatives (AF.3, excluding AF.34), and loans (AF.4); general government comprises the central government, state government, local government and social security funds"
Mauritius,"58% of GDP (2013 est.) 
      
      57.7% of GDP (2012 est.)"
Mexico,"37.7% of GDP (2013 est.) 
      
      35.8% of GDP (2012 est.)"
Moldova,"16.6% of GDP (2013 est.) 
      
      17.8% of GDP (2012 est.)"
Montenegro,"52.1% of GDP (2012 est.) 
      
      45% of GDP (2011 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Morocco,"76.9% of GDP (2013 est.) 
      
      71.2% of GDP (2012 est.)"
Mozambique,"46.7% of GDP (2013 est.) 
      
      42.2% of GDP (2012 est.)"
Namibia,"27.2% of GDP (2013 est.) 
      
      25.8% of GDP (2012 est.)"
Nepal,28% of GDP (FY11/12)
Netherlands,"74.3% of GDP (2013 est.) 
      
      71.3% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions"
New Zealand,"38.4% of GDP (2013 est.) 
      
      38.1% of GDP (2012 est.)"
Nicaragua,"50.4% of GDP (2013 est.) 
      
      51.5% of GDP (2012 est.) 
      
      
        note: official data; data cover general Government Debt, and includes debt instruments issued (or owned) by Government entities other than the treasury; the data include treasury debt held by foreign entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions; Nicaragua rebased its GDP figures in 2012, which reduced the figures for debt as a percentage of GDP"
Nigeria,"19.3% of GDP (2013 est.) 
      
      17.9% of GDP (2012 est.)"
Norway,"30.1% of GDP (2013 est.) 
      
      29.1% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Oman,"4.4% of GDP (2013 est.) 
      
      4.3% of GDP (2012 est.)"
Pakistan,"54.6% of GDP (2013 est.) 
      
      52.1% of GDP (2012 est.)"
Panama,"39.8% of GDP (2013 est.) 
      
      39.6% of GDP (2012 est.)"
Papua New Guinea,"28.1% of GDP (2013 est.) 
      
      25.5% of GDP (2012 est.)"
Paraguay,"15.7% of GDP (2013 est.) 
      
      14.7% of GDP (2012 est.)"
Peru,"14.9% of GDP (2013 est.) 
      
      16.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued by government entities other than the treasury; the data exclude treasury debt held by foreign entities; the data include debt issued by subnational entities"
Philippines,"50.2% of GDP (2013 est.) 
      
      51.5% of GDP (2012 est.) 
      
      
        note: data cover debt issued by the national government, and excludes debt instruments issued by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by social security institutions, government-owned and controlled corporations, the Central Bank, and local government units"
Poland,"48.2% of GDP (2013 est.) 
      
      48.3% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Portugal,"127.8% of GDP (2013 est.) 
      
      123.6% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Puerto Rico,"96.5% of GDP (2013 est.) 
      
      93.2% of GDP (2012 est.)"
Qatar,"30.6% of GDP (2013 est.) 
      
      32.8% of GDP (2012 est.)"
Romania,"38.6% of GDP (2013 est.) 
      
      37.9% of GDP (2012 est.) 
      
      
        note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds"
Russia,"7.9% of GDP (2013 est.) 
      
      8% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions"
Rwanda,"23.5% of GDP (2013 est.) 
      
      21.7% of GDP (2012 est.)"
Saint Kitts and Nevis,"83% of GDP (2013 est.) 
      
      144% of GDP (2012 est.)"
Saint Lucia,"77% of GDP (2012 est.) 
      
      77% of GDP (2010 est.)"
Saint Vincent and the Grenadines,68% of GDP (2011 est.)
San Marino,"25.8% of GDP (2013 est.) 
      
      20.3% of GDP (2012 est.)"
Sao Tome and Principe,"65.5% of GDP (2013 est.) 
      
      75.5% of GDP (2012 est.)"
Saudi Arabia,"12.2% of GDP (2013 est.) 
      
      11.8% of GDP (2012 est.)"
Senegal,"38.4% of GDP (2013 est.) 
      
      38.8% of GDP (2012 est.)"
Serbia,"61.2% of GDP (2013 est.) 
      
      59.3% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued or owned by government entities other than the treasury (for which the GOS issued guarantees); the data include treasury debt held by foreign entities; the data include debt issued by subnational entities (for which the GOS issued guarantees), as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment, debt instruments for the social funds are not sold at public auctions"
Seychelles,"51.8% of GDP (2013 est.) 
      
      68.4% of GDP (2012 est.)"
Sierra Leone,"31.1% of GDP (2013 est.) 
      
      36.5% of GDP (2012 est.)"
Singapore,"105.5% of GDP (2013 est.) 
      
      108.4% of GDP (2012 est.) 
      
      
        note: Singapore's public debt consists largely of Singapore Government Securities (SGS) issued to assist the Central Provident Fund (CPF), which administers Singapore's defined contribution pension fund; special issues of SGS are held by the CPF, and are non-tradable; the government has not borrowed to finance deficit expenditures since the 1980s; Singapore has no external public debt"
Slovakia,"55.5% of GDP (2013 est.) 
      
      52.1% of GDP (2012 est.) 
      
      
        note: data cover general Government Gross Debt, and includes debt instruments issued (or owned) by Government entities, including sub-sectors of central government, state government, local government, and social security funds."
Slovenia,"71.7% of GDP (2013 est.) 
      
      54.4% of GDP (2012 est.) 
      
      
        note: defined by the EU's Maastricht Treaty as consolidated general government gross debt at nominal value, outstanding at the end of the year in the following categories of government liabilities: currency and deposits, securities other than shares excluding financial derivatives, and loans; general government sector comprises the subsectors: central government, state government, local government, and social security funds"
South Africa,"45.4% of GDP (2013 est.) 
      
      42.3% of GDP (2012 est.)"
Spain,"93.7% of GDP (2013 est.) 
      
      85.9% of GDP (2012 est.)"
Sri Lanka,"78.4% of GDP (2013 est.) 
      
      79.1% of GDP (2012 est.) 
      
      
        note: covers central government debt, and excludes debt instruments directly owned by government entities other than the treasury (e.g. commercial bank borrowings of a government corporation); the data includes treasury debt held by foreign entities as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement; sub-national entities are usually not permitted to sell debt instruments"
Sudan,"111% of GDP (2013 est.) 
      
      101.7% of GDP (2012 est.)"
Sweden,"41.5% of GDP (2013 est.) 
      
      38.2% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
Switzerland,"33.8% of GDP (2013 est.) 
      
      34.9% of GDP (2012) 
      
      
        note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options"
Syria,"58.9% of GDP (2013 est.) 
      
      52.4% of GDP (2012 est.)"
Taiwan,"38.9% of GDP (2013 est.) 
      
      35.8% of GDP (2012 est.) 
      
      
        note: data for central government"
Tajikistan,"6.5% of GDP 
      
      NA%"
Tanzania,"42.7% of GDP (2013 est.) 
      
      41.7% of GDP (2012 est.)"
Thailand,"45.9% of GDP (2013 est.) 
      
      45.8% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions"
Trinidad and Tobago,"37.1% of GDP (2013 est.) 
      
      37.9% of GDP (2012 est.)"
Tunisia,"51.1% of GDP (2013 est.) 
      
      46.1% of GDP (2012 est.)"
Turkey,"36.6% of GDP (2013 est.) 
      
      37.6% of GDP (2012 est.) 
      
      
        note: data cover central government debt, and excludes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data exclude debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are sold at public auctions"
Uganda,"30.7% of GDP (2013 est.) 
      
      26.3% of GDP (2012 est.)"
Ukraine,"40.6% of GDP (2013 est.) 
      
      36.6% of GDP (2012 est.) 
      
      
        note: the total public debt of $64.5 billion consists of: domestic public debt ($23.8 billion); external public debt ($26.1 billion); and sovereign guarantees ($14.6 billion)"
United Arab Emirates,"41.7% of GDP (2013 est.) 
      
      42.6% of GDP (2012 est.)"
United Kingdom,"91.1% of GDP (2013 est.) 
      
      88.7% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions"
United States,"71.8% of GDP (2013 est.) 
      
      70% of GDP (2012 est.) 
      
      
        note: data cover only what the United States Treasury denotes as ""Debt Held by the Public,"" which includes all debt instruments issued by the Treasury that are owned by non-US Government entities; the data include Treasury debt held by foreign entities; the data exclude debt issued by individual US states, as well as intra-governmental debt; intra-governmental debt consists of Treasury borrowings from surpluses in the trusts for Federal Social Security, Federal Employees, Hospital Insurance (Medicare and Medicaid), Disability and Unemployment, and several other smaller trusts; if data for intra-government debt were added, ""Gross Debt"" would increase by about one-third of GDP"
Uruguay,"62.8% of GDP (2013 est.) 
      
      59.4% of GDP (2012 est.) 
      
      
        note: data cover general government debt, and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions."
Uzbekistan,"7.6% of GDP (2013 est.) 
      
      6.2% of GDP (2012 est.)"
