Albania,"total: 17 
      
      
        by type: cargo 16, roll on/roll off 1 
      
      
        foreign-owned: 1 (Turkey 1) 
      
      
        registered in other countries: 5 (Antigua and Barbuda 1, Panama 4) (2010)"
Barbados,"total: 109 
      
      
        by type: bulk carrier 23, cargo 52, chemical tanker 13, container 6, passenger 1, passenger/cargo 1, petroleum tanker 8, refrigerated cargo 4, roll on/roll off 1 
      
      
        foreign-owned: 83 (Canada 11, Greece 14, Iran 5, Lebanon 2, Norway 38, Sweden 4, Syria 1, Turkey 1, UAE 1, UK 6) (2010)"
Belgium,"total: 87 
      
      
        by type: bulk carrier 23, cargo 15, chemical tanker 5, container 4, liquefied gas 23, passenger 2, petroleum tanker 8, roll on/roll off 7 
      
      
        foreign-owned: 15 (Denmark 4, France 7, Russia 1, UK 2, US 1) 
      
      
        registered in other countries: 107 (Bahamas 6, Cambodia 1, Cyprus 3, France 7, Gibraltar 1, Greece 17, Hong Kong 26, Liberia 1, Luxembourg 11, Malta 7, Marshall Islands 1, Mozambique 2, North Korea 1, Panama 1, Portugal 8, Russia 4, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 7, Singapore 1, Vanuatu 1) (2010)"
Belize,"total: 247 
      
      
        by type: barge carrier 1, bulk carrier 33, cargo 156, chemical tanker 2, liquefied gas 1, passenger/cargo 4, petroleum tanker 9, refrigerated cargo 30, roll on/roll off 10, specialized tanker 1 
      
      
        foreign-owned: 152 (Bulgaria 1, China 61, Croatia 1, Estonia 1, Greece 2, Iceland 1, Italy 3, Latvia 9, Lithuania 1, Netherlands 1, Norway 2, Russia 30, Singapore 4, Switzerland 1, Syria 4, Thailand 1, Turkey 16, UAE 3, UK 4, Ukraine 6) (2010)"
Bermuda,"total: 139 
      
      
        by type: bulk carrier 22, chemical tanker 3, container 14, liquefied gas 43, passenger 27, passenger/cargo 2, petroleum tanker 19, refrigerated cargo 9 
      
      
        foreign-owned: 105 (France 1, Germany 14, Greece 8, Hong Kong 4, Ireland 1, Israel 3, Japan 2, Monaco 2, Nigeria 11, Norway 5, Sweden 14, UK 14, US 26) 
      
      
        registered in other countries: 241 (Bahamas 15, Cyprus 1, France 5, Greece 3, Hong Kong 20, Isle of Man 7, Liberia 4, Malta 15, Marshall Islands 35, Netherlands 1, Norway 24, Panama 27, Philippines 47, Saint Vincent and the Grenadines 1, Singapore 25, UK 6, US 5) (2010)"
Bolivia,"total: 18 
      
      
        by type: bulk carrier 1, cargo 14, petroleum tanker 1, roll on/roll off 2 
      
      
        foreign-owned: 5 (Syria 4, UK 1, (2010)"
Brazil,"total: 109 
      
      
        by type: bulk carrier 18, cargo 16, chemical tanker 7, container 13, liquefied gas 11, petroleum tanker 39, roll on/roll off 5 
      
      
        foreign-owned: 27 (Chile 1, Denmark 3, Germany 6, Greece 1, Norway 3, Spain 12, Turkey 1) 
      
      
        registered in other countries: 36 (Argentina 1, Bahamas 1, Ghana 1, Liberia 20, Marshall Islands 1, Panama 3, Singapore 9) (2010)"
Brunei,"total: 9 
      
      
        by type: chemical tanker 1, liquefied gas 8 
      
      
        foreign-owned: 2 (UK 2) (2010)"
Bulgaria,"total: 22 
      
      
        by type: bulk carrier 9, cargo 8, liquefied gas 2, petroleum tanker 1, roll on/roll off 2 
      
      
        foreign-owned: 14 (Germany 12, Russia 2) 
      
      
        registered in other countries: 30 (Belize 1, Comoros 4, Georgia 1, Malta 8, Moldova 1, Panama 6, Saint Vincent and the Grenadines 9) (2010)"
Burma,"total: 29 
      
      
        by type: cargo 22, passenger 2, passenger/cargo 3, specialized tanker 1, vehicle carrier 1 
      
      
        foreign-owned: 2 (Germany 1, Japan 1) 
      
      
        registered in other countries: 3 (Panama 3) (2010)"
Cabo Verde,"total: 13 
      
      
        by type: cargo 3, chemical tanker 2, passenger/cargo 7, petroleum tanker 1 
      
      
        foreign-owned: 3 (Greece 1, Spain 1, UK 1) 
      
      
        registered in other countries: 1 (unknown 1) (2010)"
Cambodia,"total: 544 
      
      
        by type: bulk carrier 38, cargo 459, carrier 7, chemical tanker 4, container 4, liquefied gas 1, passenger 1, passenger/cargo 6, petroleum tanker 8, refrigerated cargo 11, roll on/roll off 4, vehicle carrier 1 
      
      
        foreign-owned: 352 (Belgium 1, Canada 2, China 177, Cyprus 4, Egypt 4, Estonia 1, French Polynesia 1, Gabon 1, Greece 2, Hong Kong 10, Indonesia 2, Ireland 1, Japan 1, Lebanon 5, Russia 50, Singapore 3, South Korea 10, Syria 22, Taiwan 1, Turkey 15, UAE 2, UK 1, Ukraine 35, Vietnam 1) (2010)"
Canada,"total: 181 
      
      
        by type: bulk carrier 62, cargo 15, carrier 1, chemical tanker 15, combination ore/oil 1, container 2, passenger 5, passenger/cargo 63, petroleum tanker 11, roll on/roll off 6 
      
      
        foreign-owned: 19 (Estonia 1, France 1, Netherlands 1, Norway 4, Sweden 2, US 10) 
      
      
        registered in other countries: 225 (Australia 5, Bahamas 96, Barbados 11, Cambodia 2, Cyprus 2, Honduras 1, Hong Kong 77, Liberia 2, Malta 5, Marshall Islands 8, Norway 1, Panama 6, Spain 4, Vanuatu 5) (2010)"
Cayman Islands,"total: 116 
      
      
        by type: bulk carrier 19, cargo 3, chemical tanker 61, liquefied gas 1, passenger 1, petroleum tanker 5, refrigerated cargo 10, vehicle carrier 16 
      
      
        foreign-owned: 102 (Germany 3, Greece 9, Italy 7, Japan 23, Switzerland 1, UK 2, US 57) (2010)"
Chile,"total: 42 
      
      
        by type: bulk carrier 13, cargo 5, chemical tanker 7, container 2, liquefied gas 1, passenger 3, passenger/cargo 2, petroleum tanker 8, roll on/roll off 1 
      
      
        foreign-owned: 1 (Norway 1) 
      
      
        registered in other countries: 52 (Argentina 6, Brazil 1, Honduras 1, Isle of Man 9, Liberia 9, Panama 14, Peru 6, Singapore 6) (2010)"
China,"total: 2,030 
      
      
        by type: barge carrier 7, bulk carrier 621, cargo 566, carrier 10, chemical tanker 140, container 206, liquefied gas 60, passenger 9, passenger/cargo 81, petroleum tanker 264, refrigerated cargo 33, roll on/roll off 8, specialized tanker 2, vehicle carrier 23 
      
      
        foreign-owned: 22 (Hong Kong 18, Indonesia 2, Japan 2) 
      
      
        registered in other countries: 1,559 (Bangladesh 1, Belize 61, Cambodia 177, Comoros 1, Cyprus 6, Georgia 10, Honduras 2, Hong Kong 500, India 1, Indonesia 1, Kiribati 26, Liberia 4, Malta 6, Marshall Islands 14, North Korea 3, Panama 534, Philippines 4, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 65, Sao Tome and Principe 1, Sierra Leone 19, Singapore 29, South Korea 6, Thailand 1, Togo 1, Tuvalu 4, UK 7, Vanuatu 1, unknown 73) (2010)"
Colombia,"total: 12 
      
      
        by type: cargo 9, chemical tanker 1, petroleum tanker 2 
      
      
        registered in other countries: 4 (Antigua and Barbuda 1, Panama 2, Portugal 1) (2010)"
Comoros,"total: 149 
      
      
        by type: bulk carrier 16, cargo 83, carrier 5, chemical tanker 5, container 2, passenger 2, passenger/cargo 1, petroleum tanker 17, refrigerated cargo 10, roll on/roll off 8 
      
      
        foreign-owned: 73 (Bangladesh 1, Bulgaria 4, China 1, Cyprus 2, Greece 4, Kenya 2, Kuwait 1, Latvia 2, Lebanon 2, Lithuania 1, Nigeria 1, Norway 1, Pakistan 5, Russia 12, Syria 5, Turkey 8, UAE 8, UK 1, Ukraine 10, US 2) (2010)"
"Congo, Democratic Republic of the","total: 1 
      
      
        by type: petroleum tanker 1 
      
      
        foreign-owned: 1 (Republic of the Congo 1) (2010)"
"Congo, Republic of the",registered in other countries: 1 (Democratic Republic of the Congo 1) (2010)
Cook Islands,"total: 35 
      
      
        by type: bulk carrier 2, cargo 25, passenger 1, refrigerated cargo 6, roll on/roll off 1 
      
      
        foreign-owned: 23 (Estonia 1, Germany 1, Lithuania 1, Norway 8, NZ 2, Russia 1, Sweden 3, Turkey 4, UK 2) (2010)"
Costa Rica,"total: 1 
      
      
        by type: passenger/cargo 1 (2010)"
Croatia,"total: 77 
      
      
        by type: bulk carrier 24, cargo 7, chemical tanker 8, passenger/cargo 27, petroleum tanker 10, refrigerated cargo 1 
      
      
        foreign-owned: 2 (Norway 2) 
      
      
        registered in other countries: 31 (Bahamas 1, Belize 1, Liberia 1, Malta 6, Marshall Islands 12, Panama 2, Saint Vincent and the Grenadines 8) (2010)"
Cuba,"total: 3 
      
      
        by type: cargo 1, passenger 1, refrigerated cargo 1 
      
      
        registered in other countries: 5 (Curacao 1, Panama 2, unknown 2) (2010)"
Cyprus,"total: 838 
      
      
        by type: bulk carrier 278, cargo 163, chemical tanker 77, container 201, liquefied gas 11, passenger 3, passenger/cargo 25, petroleum tanker 62, refrigerated cargo 5, roll on/roll off 9, vehicle carrier 4 
      
      
        foreign-owned: 622 (Angola 1, Austria 1, Belgium 3, Bermuda 1, Canada 2, China 6, Denmark 6, Estonia 6, France 16, Germany 192, Greece 201, Hong Kong 2, India 4, Iran 10, Ireland 3, Italy 6, Japan 16, Netherlands 23, Norway 14, Philippines 1, Poland 24, Portugal 2, Russia 46, Singapore 1, Slovenia 5, Spain 6, Sweden 5, Turkey 1, UAE 3, UK 7, Ukraine 3,  US 5) 
      
      
        registered in other countries: 152 (Bahamas 23, Cambodia 4, Comoros 2, Finland 1, Gibraltar 1, Greece 3, Hong Kong 3, Liberia 9, Malta 32, Marshall Islands 40, Norway 1, Panama 5, Russia 13, Saint Vincent and the Grenadines 3, Sierra Leone 2, Singapore 6, unknown 4) (2010)"
Czech Republic,registered in other countries: 1 (Saint Vincent and the Grenadines 1) (2010)
Denmark,"total: 367 
      
      
        by type: bulk carrier 4, cargo 48, carrier 1, chemical tanker 125, container 94, liquefied gas 4, passenger 1, passenger/cargo 40, petroleum tanker 36, refrigerated cargo 3, roll on/roll off 8, specialized tanker 3 
      
      
        foreign-owned: 27 (Germany 9, Greenland 1, Norway 2, Sweden 15) 
      
      
        registered in other countries: 582 (Antigua and Barbuda 20, Bahamas 69, Belgium 4, Brazil 3, Curacao 1, Cyprus 6, Egypt 1, France 11, Gibraltar 7, Hong Kong 42, Isle of Man 30, Italy 4, Jamaica 1, Liberia 8, Lithuania 8, Luxembourg 1, Malaysia 1, Malta 34, Marshall Islands 7, Moldova 1, Netherlands 27, Norway 7, Panama 41, Philippines 2, Portugal 4, Saint Vincent and the Grenadines 9, Singapore 149, Sweden 4, UK 43, Uruguay 1, US 31, Venezuela 1, unknown 4) (2010)"
Dominica,"total: 43 
      
      
        by type: bulk carrier 11, cargo 22, chemical tanker 2, petroleum tanker 4, refrigerated cargo 3, roll on/roll off 1 
      
      
        foreign-owned: 32 (Australia 1, Estonia 6, Germany 5, Greece 4, India 2, Latvia 2, Norway 1, Russia 3, Saudi Arabia 2, Syria 4, Turkey 1, Ukraine 1) 
      
      
        registered in other countries: 1 (Saint Vincent and the Grenadines 1) (2010)"
Ecuador,"total: 44 
      
      
        by type: cargo 1, chemical tanker 4, liquefied gas 1, passenger 9, petroleum tanker 28, refrigerated cargo 1 
      
      
        registered in other countries: 4 (Panama 3, Peru 1) (2010)"
Egypt,"total: 67 
      
      
        by type: bulk carrier 16, cargo 20, container 3, passenger/cargo 7, petroleum tanker 12, roll on/roll off 9 
      
      
        foreign-owned: 13 (Denmark 1, France 1, Greece 8, Jordan 2, Lebanon 1) 
      
      
        registered in other countries: 42 (Cambodia 4, Georgia 7, Honduras 2, Liberia 3, Malta 1, Marshall Islands 1, Moldova 5, Panama 11, Saint Kitts and Nevis 1, Saint Vincent and the Grenadines 2, Saudi Arabia 1, Sierra Leone 3, unknown 1) (2010)"
Equatorial Guinea,"total: 5 
      
      
        by type: cargo 1, chemical tanker 1, petroleum tanker 3 
      
      
        foreign-owned: 1 (Norway 1) (2010)"
Eritrea,"total: 4 
      
      
        by type: cargo 2, petroleum tanker 1, roll on/roll off 1 (2010)"
Estonia,"total: 25 
      
      
        by type: cargo 4, chemical tanker 1, passenger/cargo 18, petroleum tanker 2 
      
      
        foreign-owned: 3 (Germany 1, Norway 2) 
      
      
        registered in other countries: 63 (Antigua and Barbuda 10, Belize 1, Cambodia 1, Canada 1, Cook Islands 1, Cyprus 6, Dominica 6, Finland 2, Latvia 3, Malta 16, Russia 1, Saint Vincent and the Grenadines 8, Sierra Leone 2, Sweden 3, Venezuela 1, unknown 1) (2010)"
Ethiopia,"total: 8 
      
      
        by type: cargo 8 (2010)"
Faroe Islands,"total: 37 
      
      
        by type: cargo 20, chemical tanker 7, container 2, passenger/cargo 3, refrigerated cargo 3, roll on/roll off 2 
      
      
        foreign-owned: 28 (Iceland 4, Norway 13, Sweden 11) (2010)"
Fiji,"total: 11 
      
      
        by type: passenger 4, passenger/cargo 4, refrigerated cargo 1, roll on/roll off 2 
      
      
        foreign-owned: 2 (Australia 2) (2010)"
Finland,"total: 97 
      
      
        by type: bulk carrier 2, cargo 25, carrier 1, chemical tanker 6, container 3, passenger 5, passenger/cargo 16, petroleum tanker 5, roll on/roll off 31, vehicle carrier 3 
      
      
        foreign-owned: 5 (Cyprus 1, Estonia 2, Iceland 1, Sweden 1) 
      
      
        registered in other countries: 47 (Bahamas 8, Germany 3, Gibraltar 2, Malta 3, Netherlands 13, Panama 2, Sweden 16) (2010)"
France,"total: 162 
      
      
        by type: bulk carrier 3, cargo 7, chemical tanker 34, container 27, liquefied gas 12, passenger 10, passenger/cargo 41, petroleum tanker 16, refrigerated cargo 1, roll on/roll off 11 
      
      
        foreign-owned: 50 (Belgium 7, Bermuda 5, Denmark 11, French Polynesia 11, Germany 1, New Caledonia 3, Singapore 3, Sweden 4, Switzerland 5) 
      
      
        registered in other countries: 151 (Bahamas 15, Belgium 7, Bermuda 1, Canada 1, Cyprus 16, Egypt 1, Hong Kong 4, Indonesia 1, Ireland 2, Italy 2, Luxembourg 15, Malta 8, Marshall Islands 7, Mexico 1, Morocco 3, Netherlands 2, Norway 5, Panama 7, Saint Vincent and the Grenadines 2, Singapore 3, South Korea 2, Taiwan 2, UK 39, US 4, unknown 1) (2010)"
French Polynesia,"registered in other countries: 12 (Cambodia 1, France 11) (2010)"
Gabon,"registered in other countries: 2 (Cambodia 1, Panama 1) (2010)"
"Gambia, The","total: 4 
      
      
        by type: passenger/cargo 3, petroleum tanker 1 (2010)"
Georgia,"total: 142 
      
      
        by type: bulk carrier 13, cargo 114, chemical tanker 1, container 1, liquefied gas 1, passenger/cargo 1, petroleum tanker 3, refrigerated cargo 1, roll on/roll off 5, vehicle carrier 2 
      
      
        foreign-owned: 95 (Bulgaria 1, China 10, Egypt 7, Hong Kong 3, Israel 1, Italy 2, Latvia 1, Lebanon 1, Romania 7, Russia 6, Syria 24, Turkey 14, UAE 2, UK 5, Ukraine 10, US 1) 
      
      
        registered in other countries: 1 (unknown 1) (2010)"
Germany,"total: 427 
      
      
        by type: barge carrier 2, bulk carrier 6, cargo 51, carrier 1, chemical tanker 15, container 298, liquefied gas 6, passenger 4, passenger/cargo 24, petroleum tanker 10, refrigerated cargo 3, roll on/roll off 6, vehicle carrier 1 
      
      
        foreign-owned: 6 (Finland 3, Netherlands 1, Switzerland 2) 
      
      
        registered in other countries: 3,420 (Antigua and Barbuda 1094, Australia 2, Bahamas 30, Bermuda 14, Brazil 6, Bulgaria 12, Burma 1, Cayman Islands 3, Cook Islands 1, Curacao 25, Cyprus 192, Denmark 9, Dominica 5, Estonia 1, France 1, Gibraltar 123, Hong Kong 10, Isle of Man 56, Jamaica 10, Liberia 1185, Luxembourg 9, Malta 135, Marshall Islands 248, Morocco 1, Netherlands 86, NZ 2, Panama 24, Papua New Guinea 1, Philippines 2, Portugal 14, Saint Vincent and the Grenadines 3, Singapore 32, Slovakia 3, Spain 4, Sri Lanka 8, Sweden 3, UK 59, US 5, Venezuela 1) (2010)"
Ghana,"total: 4 
      
      
        by type: petroleum tanker 1, refrigerated cargo 3 
      
      
        foreign-owned: 2 (Brazil 1, South Korea 1) (2010)"
Gibraltar,"total: 267 
      
      
        by type: bulk carrier 3, cargo 146, chemical tanker 64, container 28, liquefied gas 2, petroleum tanker 14, roll on/roll off 2, vehicle carrier 8 
      
      
        foreign-owned: 254 (Belgium 1, Cyprus 1, Denmark 7, Finland 2, Germany 123, Greece 8,  Iceland 1, Italy 4, Jersey 1, Morocco 4, Netherlands 34, Norway 46, Sweden 11, UAE 5, UK 6) 
      
      
        registered in other countries: 6 (Liberia 5, Panama 1) (2010)"
Greece,"total: 860 
      
      
        by type: bulk carrier 262, cargo 49, carrier 1, chemical tanker 68, container 35, liquefied gas 13, passenger 7, passenger/cargo 109, petroleum tanker 302, roll on/roll off 14 
      
      
        foreign-owned: 42 (Belgium 17, Bermuda 3, Cyprus 3, Italy 5, UK 6, US 8) 
      
      
        registered in other countries: 2,459 (Antigua and Barbuda 4, Bahamas 225, Barbados 14, Belize 2, Bermuda 8, Brazil 1, Cabo Verde 1, Cambodia 2, Cayman Islands 9, Comoros 4, Curacao 1, Cyprus 201, Dominica 4, Egypt 8, Gibraltar 8, Honduras 4, Hong Kong 27, Indonesia 1, Isle of Man 62, Italy 7, Jamaica 3, Liberia 505, Malta 469, Marshall Islands 408, Mexico 2, Moldova 1, Panama 379, Philippines 5, Portugal 2, Saint Kitts and Nevis 2, Saint Vincent and the Grenadines 42, Sao Tome and Principe 1, Saudi Arabia 4, Singapore 22, UAE 3, Uruguay 1, Vanuatu 3, Venezuela 4, unknown 10) (2010)"
Greenland,registered in other countries: 1 (Denmark 1) (2010)
Guyana,"total: 10 
      
      
        by type: cargo 7, petroleum tanker 2, refrigerated cargo 1 
      
      
        registered in other countries: 3 (Saint Vincent and the Grenadines 2, unknown 1) (2010)"
Honduras,"total: 88 
      
      
        by type: bulk carrier 5, cargo 39, carrier 2, chemical tanker 5, container 1, passenger 4, passenger/cargo 1, petroleum tanker 21, refrigerated cargo 7, roll on/roll off 3 
      
      
        foreign-owned: 47 (Bahrain 5, Canada 1, Chile 1, China 2, Egypt 2, Greece 4, Israel 1, Japan 4, Lebanon 2, Montenegro 1, Panama 1, Singapore 11, South Korea 6, Taiwan 1, Thailand 2, UAE 1,  UK 1, US 1) (2010)"
Hong Kong,"total: 1,644 
      
      
        by type: barge carrier 2, bulk carrier 785, cargo 198, carrier 10, chemical tanker 149, container 288, liquefied gas 31, passenger 4, passenger/cargo 9, petroleum tanker 156, roll on/roll off 5, vehicle carrier 7 
      
      
        foreign-owned: 976 (Bangladesh 1, Belgium 26, Bermuda 20, Canada 77, China 500, Cyprus 3, Denmark 42, France 4,  Germany 10, Greece 27, Indonesia 10, Iran 3, Japan 79, Libya 1, Norway 48, Russia 1, Singapore 13, South Korea 3, Switzerland 5, Taiwan 25, UAE 1, UK 33, US 44) 
      
      
        registered in other countries: 341 (Bahamas 3, Bermuda 4, Cambodia 10, China 18, Curacao 1, Cyprus 2, Georgia 3, India 2, Kiribati 2, Liberia 48, Malaysia 8, Malta 4, Marshall Islands 3, NZ 1, Panama 144, Saint Vincent and the Grenadines 5, Seychelles 1, Sierra Leone 7, Singapore 46, Thailand 1, UK 12, unknown 16) (2010)"
Iceland,"total: 2 
      
      
        by type: passenger/cargo 2 
      
      
        registered in other countries: 19 (Antigua and Barbuda 10, Belize 1, Faroe Islands 4, Finland 1, Gibraltar 1, Norway 2) (2010)"
India,"total: 340 
      
      
        by type: bulk carrier 104, cargo 78, chemical tanker 22, container 14, liquefied gas 11, passenger 4, passenger/cargo 15, petroleum tanker 92 
      
      
        foreign-owned: 10 (China 1, Hong Kong 2, Jersey 2, Malaysia 1, UAE 4) 
      
      
        registered in other countries: 76 (Cyprus 4, Dominica 2, Liberia 8, Malta 3, Marshall Islands 10, Nigeria 1, Panama 24, Saint Kitts and Nevis 2, Singapore 21, unknown 1) (2010)"
Indonesia,"total: 1,340 
      
      
        by type: bulk carrier 105, cargo 618, chemical tanker 69, container 120, liquefied gas 28, passenger 49, passenger/cargo 77, petroleum tanker 244, refrigerated cargo 6, roll on/roll off 12, specialized tanker 1, vehicle carrier 11 
      
      
        foreign-owned: 69 (China 1, France 1, Greece 1, Japan 8, Jordan 1, Malaysia 1, Norway 3, Singapore 46, South Korea 2, Taiwan 1, UK 2, US 2) 
      
      
        registered in other countries: 95 (Bahamas 2, Cambodia 2, China 2, Hong Kong 10, Liberia 4, Marshall Islands 1, Mongolia 2, Panama 10, Singapore 60, Tuvalu 1, unknown 1) (2010)"
Iran,"total: 76 
      
      
        by type: bulk carrier 8, cargo 51, chemical tanker 3, container 4, liquefied gas 1, passenger/cargo 3, petroleum tanker 2, refrigerated cargo 2, roll on/roll off 2 
      
      
        foreign-owned: 2 (UAE 2) 
      
      
        registered in other countries: 71 (Barbados 5, Cyprus 10, Hong Kong 3, Malta 48, Panama 5) (2010)"
Iraq,"total: 2 
      
      
        by type: petroleum tanker 2 
      
      
        registered in other countries: 2 (Marshall Islands 2) (2010)"
Ireland,"total: 31 
      
      
        by type: cargo 28, chemical tanker 2, container 1 
      
      
        foreign-owned: 5 (France 2, Spain 1, US 2) 
      
      
        registered in other countries: 33 (Bahamas 3, Bermuda 1, Cambodia 1, Cyprus 3, Isle of Man 1, Kazakhstan 1, Malta 4, Marshall Islands 6, Netherlands 8, Panama 1, Russia 1, Slovakia 1, Sweden 1, UK 1) (2010)"
Isle of Man,"total: 321 
      
      
        by type: bulk carrier 59, cargo 55, chemical tanker 52, container 7, liquefied gas 43, passenger/cargo 2, petroleum tanker 93, roll on/roll off 5, vehicle carrier 5 
      
      
        foreign-owned: 223 (Bermuda 7, Chile 9, Denmark 30, Germany 56, Greece 62, Ireland 1, Japan 19, Malaysia 6, Norway 30, South Africa 2, US 1) (2010)"
Israel,"total: 8 
      
      
        by type: cargo 1, container 7 
      
      
        registered in other countries: 48 (Bermuda 3, Georgia 1, Honduras 1, Liberia 34, Malta 3, Moldova 2, Panama 1, Saint Vincent and the Grenadines 3) (2010)"
Italy,"total: 681 
      
      
        by type: bulk carrier 105, cargo 42, carrier 1, chemical tanker 164, container 21, liquefied gas 28, passenger 25, passenger/cargo 154, petroleum tanker 59, refrigerated cargo 4, roll on/roll off 39, specialized tanker 9, vehicle carrier 30 
      
      
        foreign-owned: 90 (Denmark 4, France 2, Greece 7, Luxembourg 14, Netherlands 2, Nigeria 1, Norway 6, Singapore 1, Sweden 1, Switzerland 13, Taiwan 10, Turkey 4, UK 2, US 23) 
      
      
        registered in other countries: 201 (Bahamas 1, Belize 3, Cayman Islands 7, Cyprus 6, Georgia 2, Gibraltar 4, Greece 5, Liberia 47, Malta 45, Marshall Islands 1, Morocco 1, Netherlands 6, Panama 25, Portugal 12, Russia 14, Saint Vincent and the Grenadines 4, Singapore 5, Slovakia 2, Spain 1, Sweden 5, Turkey 1, UK 3, unknown 1) (2010)"
Jamaica,"total: 14 
      
      
        by type: bulk carrier 4, cargo 5, container 4, roll on/roll off 1 
      
      
        foreign-owned: 14 (Denmark 1, Germany 10, Greece 3) (2010)"
Japan,"total: 684 
      
      
        by type: bulk carrier 168, cargo 34, carrier 3, chemical tanker 29, container 2, liquefied gas 58, passenger 11, passenger/cargo 117, petroleum tanker 152, refrigerated cargo 4, roll on/roll off 52, vehicle carrier 54 
      
      
        registered in other countries: 3,122 (Bahamas 88, Bermuda 2, Burma 1, Cambodia 1, Cayman Islands 23, China 2, Cyprus 16, Honduras 4, Hong Kong 79, Indonesia 8, Isle of Man 19, Liberia 110, Luxembourg 3, Malaysia 2, Malta 5, Marshall Islands 59, Mongolia 2, Netherlands 1, Panama 2372, Philippines 77, Portugal 9, Saint Kitts and Nevis 2, Saint Vincent and the Grenadines 3, Sierra Leone 4, Singapore 164, South Korea 14, Tanzania 1, UK 5, Vanuatu 39, unknown 7) (2010)"
Jersey,"registered in other countries: 14 (Gibraltar 1, India 2, Marshall Islands 11) (2010)"
